
[00:00:00.000 --> 00:00:05.600]  各位頂子妹 主內平安
[00:00:05.600 --> 00:00:11.520]  願主耶穌基督的恩惠常常與你們同在
[00:00:11.520 --> 00:00:15.240]  感謝神
[00:00:15.240 --> 00:00:22.280]  剛才主席介紹 他說最簡單就好了 我同意
[00:00:22.280 --> 00:00:26.480]  我想加一句 我是在希伯倫堂長大的
[00:00:26.480 --> 00:00:34.080]  在東方街到南京街到保發大廈
[00:00:34.080 --> 00:00:40.080]  然後我才離開79年
[00:00:40.080 --> 00:00:46.880]  回到家裡真的有回到家裡的感覺
[00:00:46.880 --> 00:00:51.280]  尤其是在年初一
[00:00:51.280 --> 00:00:55.920]  你說你是不是數錯了手指
[00:00:55.920 --> 00:00:59.320]  是 我們中國人的年初一
[00:00:59.320 --> 00:01:03.280]  就應該是一月、二月
[00:01:03.280 --> 00:01:10.280]  不過教會的年初一 你知道是今天
[00:01:10.280 --> 00:01:12.700]  回到希伯倫堂這麼久
[00:01:12.700 --> 00:01:16.320]  年年都看到花環和蠟燭
[00:01:16.320 --> 00:01:18.680]  是吧 不要告訴我你不知道
[00:01:18.680 --> 00:01:23.040]  黎本正弟兄就會
[00:01:23.040 --> 00:01:33.760]  西方教會將聖誕前的第四個主日
[00:01:33.760 --> 00:01:40.240]  定為一年的開始
[00:01:40.240 --> 00:01:42.320]  所以我們中國人其實很明白的
[00:01:42.320 --> 00:01:45.080]  因為和猶太人一樣
[00:01:45.080 --> 00:01:51.680]  我們的新年從來都不是歐洲、羅馬帝國
[00:01:51.680 --> 00:02:01.680]  那個以太陽為主要計算的方法的陽曆
[00:02:01.680 --> 00:02:09.680]  所以新年可以在一月、二月隆曆新年
[00:02:09.680 --> 00:02:12.680]  猶太人在九月
[00:02:12.680 --> 00:02:22.080]  教會的年曆是從11月最後的一個主日開始
[00:02:22.080 --> 00:02:24.000]  為什麼這樣做呢?
[00:02:24.000 --> 00:02:27.880]  就歷史上無從稽考了
[00:02:27.880 --> 00:02:30.360]  所以這個不是聖經的教導
[00:02:30.360 --> 00:02:32.280]  那我們就不用遵守了
[00:02:32.280 --> 00:02:37.320]  很多事情聖經都沒有規定我們怎麼做的
[00:02:37.320 --> 00:02:42.080]  聖誕節在12月25號
[00:02:42.080 --> 00:02:46.480]  你都知道其實是計錯數的
[00:02:46.480 --> 00:02:47.320]  知不知道的?
[00:02:47.320 --> 00:02:49.040]  啊 耶穌有沒有出世?
[00:02:49.040 --> 00:02:50.720]  不是說祂沒有出世
[00:02:50.720 --> 00:02:52.840]  不過聖經學者提醒我們
[00:02:52.840 --> 00:02:54.920]  如果是12月的話
[00:02:54.920 --> 00:02:58.160]  在伯利恆之野地裡
[00:02:58.160 --> 00:03:00.920]  大概就沒有牧羊的人
[00:03:00.920 --> 00:03:06.680]  在郊外這麼冷的時候看守羊群
[00:03:06.680 --> 00:03:09.800]  所以多數報名上冊
[00:03:09.800 --> 00:03:13.160]  人人都要出門的日子
[00:03:13.160 --> 00:03:15.760]  不會定在冬天
[00:03:15.760 --> 00:03:17.080]  明白嗎?
[00:03:17.080 --> 00:03:20.360]  那為什麼定25號12月呢?
[00:03:20.360 --> 00:03:29.240]  這個是羅馬敬拜阿波羅太陽神的日子
[00:03:29.240 --> 00:03:31.400]  為什麼定這一天呢?
[00:03:31.400 --> 00:03:32.760]  計錯數
[00:03:32.760 --> 00:03:36.360]  他們以為這一天是冬節
[00:03:36.360 --> 00:03:39.160]  就是最短的一天
[00:03:39.160 --> 00:03:41.480]  所以從這一天開始
[00:03:41.480 --> 00:03:44.280]  太陽就回來了
[00:03:44.280 --> 00:03:49.000]  你記得南迴歸線、北迴歸線
[00:03:49.000 --> 00:03:54.520]  所以我們的農曆計算得更準確
[00:03:54.520 --> 00:03:59.640]  不過錯了2000年了
[00:03:59.640 --> 00:04:02.200]  所以西方的教會
[00:04:02.200 --> 00:04:06.600]  就將這個本來是羅馬帝國
[00:04:06.600 --> 00:04:12.440]  敬拜偶像最大的日子
[00:04:12.440 --> 00:04:18.840]  就改為慶祝耶穌基督的降生
[00:04:18.840 --> 00:04:21.480]  如果用我們香港人熟悉的
[00:04:21.480 --> 00:04:26.360]  以前殖民地英女皇獸神
[00:04:26.360 --> 00:04:27.720]  放假的
[00:04:27.720 --> 00:04:30.280]  回歸之後97才取消了
[00:04:30.280 --> 00:04:32.600]  變成佛誕
[00:04:32.600 --> 00:04:37.080]  這個一定不是英女皇真正生日那天的
[00:04:37.080 --> 00:04:42.040]  是她的Official Birthday
[00:04:42.040 --> 00:04:48.680]  所有英聯邦國家都定了這一天
[00:04:48.680 --> 00:04:51.080]  你可以這樣去理解
[00:04:51.080 --> 00:04:54.280]  12月25日
[00:04:54.280 --> 00:04:58.680]  如果和東方教會比較
[00:04:58.680 --> 00:05:02.840]  東方教會的聖誕節是在1月的
[00:05:02.840 --> 00:05:06.280]  所以東方教會的章臨期
[00:05:06.280 --> 00:05:08.840]  也都不是11月底的
[00:05:08.840 --> 00:05:10.200]  有不同的計算方法
