
[00:00:00.000 --> 00:00:05.600]  各位大兄姐妹 你們好 各位朋友 你們好
[00:00:05.600 --> 00:00:10.000]  歡迎大家參加我們三藩市報道會的網上崇拜
[00:00:10.000 --> 00:00:13.500]  我們繼續思想啟示錄的訊息
[00:00:13.500 --> 00:00:18.400]  我們來到啟示錄第五章 第六節至第十四節
[00:00:18.400 --> 00:00:22.000]  未開始的時候請同心低頭 或者同禱告
[00:00:22.000 --> 00:00:26.300]  天父我們感謝你 給我們有機會去敬拜侍奉你
[00:00:26.300 --> 00:00:30.200]  思想你自己的話語 藉著你的話語去提醒
[00:00:30.200 --> 00:00:34.200]  怯面、教導、安慰、督責
[00:00:34.200 --> 00:00:37.600]  教我們懂得如何去敬拜你
[00:00:37.600 --> 00:00:42.100]  你與我們同在 奉耶穌基督名求 阿們
[00:00:42.100 --> 00:00:45.400]  中國人有句成語叫做「尋魚落雁」
[00:00:45.400 --> 00:00:48.700]  來形容一個女子的美貌
[00:00:48.700 --> 00:00:52.000]  所以我們形容一個絕世佳人的時候
[00:00:52.000 --> 00:00:54.200]  一般人都會用八個字去形容
[00:00:54.200 --> 00:00:58.500]  尋魚落雁、閉月繡花
[00:00:58.500 --> 00:01:03.000]  其實這八個字是形容中國的四大美人
[00:01:03.000 --> 00:01:07.200]  比喻他們美貌絕倫 如游在水中
[00:01:07.200 --> 00:01:12.900]  眼祥天空 也是為他們的美貌所動
[00:01:12.900 --> 00:01:16.100]  他們比花美 比月靚
[00:01:16.100 --> 00:01:18.900]  尋魚是形容西施
[00:01:18.900 --> 00:01:23.400]  相傳西施在河邊洗衣服的時候
[00:01:23.400 --> 00:01:27.600]  清澈的河水 倒影他的美貌
[00:01:27.600 --> 00:01:34.000]  美到連水中的魚都渾沌沌沉入水中
[00:01:34.000 --> 00:01:37.600]  而落雁就形容王昭君
[00:01:37.600 --> 00:01:42.800]  當昭君出塞 被漢文帝送到匈奴嫁給善淫的時候
[00:01:42.800 --> 00:01:45.700]  王昭君離鄉別井
[00:01:45.700 --> 00:01:49.200]  撥動琴弦奏起悲哀的調子
[00:01:49.200 --> 00:01:53.400]  天上的飛雁驚見絕世佳人
[00:01:53.400 --> 00:01:59.100]  嘩!看完之後暈坨坨 幾乎跌在地上
[00:01:59.100 --> 00:02:03.100]  所以昭君有落雁的代稱
[00:02:03.100 --> 00:02:05.300]  而閉月是形容雕蟬
[00:02:05.300 --> 00:02:08.000]  繡花是形容楊貴妃
[00:02:08.000 --> 00:02:12.400]  都是形容他們比月美 比花靚
[00:02:12.400 --> 00:02:14.600]  或者你會覺得奇怪
[00:02:14.600 --> 00:02:19.600]  沉魚落雁 閉月繡花和敬拜有什麼關係呢?
[00:02:19.600 --> 00:02:21.600]  當然大有關係
[00:02:21.600 --> 00:02:25.000]  什麼叫敬拜神 敬拜主?
[00:02:25.000 --> 00:02:28.200]  原來敬拜有兩個很重要的元素
[00:02:28.200 --> 00:02:31.600]  第一個元素就是目睹神的活現
[00:02:31.600 --> 00:02:37.000]  大能 智慧 尊嚴和慈愛
[00:02:37.000 --> 00:02:41.200]  第二個 見到之後這一幅震撼的意象
[00:02:41.200 --> 00:02:45.400]  作出我們的回應就是敬拜
[00:02:45.400 --> 00:02:47.800]  如果我們見到一個絕世佳人
[00:02:47.800 --> 00:02:50.600]  都有沉魚落雁的回應
[00:02:50.600 --> 00:02:52.800]  更何況我們目睹上帝的活現
[00:02:52.800 --> 00:02:55.600]  榮耀 智慧 大能 慈愛
[00:02:55.600 --> 00:02:59.400]  豈不是比見到一個美麗的女子更為震撼
[00:02:59.400 --> 00:03:03.000]  而作出適當的回應
[00:03:03.000 --> 00:03:05.800]  沒有了第一個目睹的元素
[00:03:05.800 --> 00:03:09.400]  就沒有了第二個回應的元素
[00:03:09.400 --> 00:03:12.400]  今天我們敬拜的問題在哪裡呢?
[00:03:12.400 --> 00:03:14.600]  是因為我們敬拜神的時候
[00:03:14.600 --> 00:03:18.400]  我們的腦袋裡根本就沒有神
[00:03:18.400 --> 00:03:21.400]  我們只有一個模糊的印象
[00:03:21.400 --> 00:03:26.000]  前播道會牧師Charles Rindo說過一個例子
[00:03:26.000 --> 00:03:29.600]  他說有一次教會崇拜完了之後
[00:03:29.600 --> 00:03:33.000]  李弟兄一家五口就完了
[00:03:33.000 --> 00:03:35.200]  很開心 一起去吃午飯
