
[00:00:00.000 --> 00:00:03.000]  我相信這兩年大家都經過了很多
[00:00:03.000 --> 00:00:06.000]  其實兩年多的時間 我很感恩
[00:00:06.000 --> 00:00:09.000]  我上一次離開之後
[00:00:09.000 --> 00:00:12.000]  我記得我和大家分享的訊息是叫做
[00:00:12.000 --> 00:00:15.000]  夕陽無限好 柳暗花明又一村
[00:00:15.000 --> 00:00:18.000]  我最後用一首歌來結束
[00:00:18.000 --> 00:00:21.000]  就是梅艷芳的一首夕陽之歌
[00:00:21.000 --> 00:00:25.000]  人世間很多事情是不能夠永恆的
[00:00:25.000 --> 00:00:29.000]  我還記得上次我和梅艷芳一起去
[00:00:29.000 --> 00:00:32.000]  我還記得上次在福音主日裏
[00:00:32.000 --> 00:00:35.000]  我最後提到梅姐提升她的歌迷
[00:00:35.000 --> 00:00:38.000]  她錯過了 大家如果記得
[00:00:38.000 --> 00:00:42.000]  她最後一個告別演唱會是穿著婚紗唱最後一首歌
[00:00:42.000 --> 00:00:45.000]  劉沛基幫她設計的婚紗
[00:00:45.000 --> 00:00:49.000]  她說她曾經錯過了 她說大家不要再錯過了
[00:00:49.000 --> 00:00:52.000]  同樣我們人世間都明白
[00:00:52.000 --> 00:00:55.000]  今天用這兩個主題就是歲月無情 人間悠哀
[00:00:55.000 --> 00:01:00.000]  很多事情不是像天國一方那首歌說的
[00:01:00.000 --> 00:01:03.000]  什麼是恆久又有價值呢
[00:01:03.000 --> 00:01:06.000]  很多事情我們發現我們想它持久
[00:01:06.000 --> 00:01:11.000]  它不會持久 很多事情是持久我們不知道它是持久
[00:01:11.000 --> 00:01:16.000]  人世間的生命很寶貴 人世間的愛也是很寶貴
[00:01:16.000 --> 00:01:19.000]  我自己是一個比較感性的人
[00:01:19.000 --> 00:01:24.000]  我從小就已經很懂得哭了 不用別人教的
[00:01:24.000 --> 00:01:29.000]  我小時候只要家人跟我說我很可憐我就會哭
[00:01:29.000 --> 00:01:33.000]  當有人問你有什麼可憐的事 我說不知道
[00:01:33.000 --> 00:01:36.000]  但是姐姐說我很可憐 所以我就哭了
[00:01:36.000 --> 00:01:40.000]  我哭了一哭就收不到聲音 要哭很久才停止
[00:01:40.000 --> 00:01:43.000]  我女兒和我一樣 她哭了很久
[00:01:43.000 --> 00:01:46.000]  為什麼哭這麼久 她說爸爸你的遺傳
[00:01:46.000 --> 00:01:49.000]  我很懂得哭的
[00:01:49.000 --> 00:01:52.000]  所以小時候我的綽號叫哭包 家裡六兄弟姐妹
[00:01:52.000 --> 00:01:57.000]  我就是大哭 大哭五 我是排第五 我是大哭五 整天都哭
[00:01:57.000 --> 00:02:02.000]  我對人與人之間的關係和感情是很敏感的
[00:02:02.000 --> 00:02:06.000]  但是我發現一個人太敏感的時候其實是很痛苦的
[00:02:06.000 --> 00:02:11.000]  有些人覺得有時候無知無覺 你先知先覺是更痛苦的
[00:02:11.000 --> 00:02:14.000]  愛是很痛苦 哭是很辛苦
[00:02:14.000 --> 00:02:19.000]  但是我有時候情願痛苦辛苦 比無感性甚至無人性好
[00:02:19.000 --> 00:02:24.000]  幾年前我女兒回來香港在一家銀行做暑期實習
[00:02:24.000 --> 00:02:29.000]  我剛剛分開中國 在中國要回多倫多的時候經過香港
[00:02:29.000 --> 00:02:33.000]  其實我特意留一留 想見一見女兒才走
[00:02:33.000 --> 00:02:37.000]  去到我女兒住的地方 跟她出去吃完宵夜
[00:02:37.000 --> 00:02:40.000]  回來就睡一覺 第二天早上我就要走了
[00:02:40.000 --> 00:02:44.000]  我記得我女兒睡著的時候 我在客廳睡
[00:02:44.000 --> 00:02:50.000]  我見到我女兒的背影我就很難過 因為我明天早上就要走了
[00:02:50.000 --> 00:02:55.000]  我沒辦法睡著 我記得那天晚上我進了廚房裡
[00:02:55.000 --> 00:02:58.000]  打電話給我加拿大一位牧師
[00:02:58.000 --> 00:03:00.000]  他那邊是早上 我那邊是晚上
[00:03:00.000 --> 00:03:03.000]  我打通了之後就哭了很久
[00:03:03.000 --> 00:03:08.000]  那位牧師問我什麼事 我說原來分開是這麼痛苦的
[00:03:08.000 --> 00:03:12.000]  我很不捨得我的女兒 但是第二天早上我也要離開
[00:03:12.000 --> 00:03:14.000]  我也要回多倫多
[00:03:14.000 --> 00:03:20.000]  愛是很痛苦很辛苦 但是有時候人與人之間是需要有這種感情
[00:03:20.000 --> 00:03:24.000]  有一本小說《神鵰俠侶》 我想有些人可能看過
[00:03:24.000 --> 00:03:30.000]  李莫愁說了一句話 她說世間情為何物 直教人生死相許
[00:03:30.000 --> 00:03:33.000]  人很想愛 但有時候人不懂愛
[00:03:33.000 --> 00:03:36.000]  人要愛 人也需要被愛
[00:03:36.000 --> 00:03:39.000]  愛是人的本性 是人的人性
[00:03:39.000 --> 00:03:45.000]  人不懂愛 以致產生了很多的悲劇 帶來很多的痛苦
[00:03:45.000 --> 00:03:48.000]  我自己另外看一本小說《倚天屠龍記》
[00:03:48.000 --> 00:03:51.000]  大家如果知道裡面的主角就是張無忌
[00:03:51.000 --> 00:03:55.000]  其實我看完也不明白為什麼這麼多人會喜歡他
[00:03:55.000 --> 00:03:59.000]  真的不太明白 小超 趙敏 子曰 朱怡
[00:03:59.000 --> 00:04:04.000]  哇 這麼多人喜歡他 為什麼我只有一個人喜歡我
[00:04:04.000 --> 00:04:08.000]  我不是很明白 我看到他很煩 因為他帶給人很多痛苦
[00:04:08.000 --> 00:04:12.000]  包括宋清書在內 如果你看過你就知道
[00:04:12.000 --> 00:04:17.000]  真的很淒涼 有時候我們發現愛我們很想愛 也很需要愛
[00:04:17.000 --> 00:04:22.000]  但很多時候我們不懂得被愛 以致變成了被愛
[00:04:22.000 --> 00:04:27.000]  愛是很自然 但是並不容易 因為是本性 是人性
[00:04:27.000 --> 00:04:33.000]  可惜是什麼呢 人的本性和人性當中往往參雜了一些罪性
[00:04:33.000 --> 00:04:39.000]  人因為自私和自我而傷害甚至他最親的人
[00:04:39.000 --> 00:04:43.000]  我發現傷害最親的人其實是很痛苦的一件事
[00:04:43.000 --> 00:04:48.000]  我記得我兒子很小的時候 他應該已經29歲了
[00:04:48.000 --> 00:04:51.000]  他已經不太會中文 他在加拿大出生
[00:04:51.000 --> 00:04:56.000]  他很小的時候學了一首歌 黎瑞恩的《一人有一個夢想》
[00:04:56.000 --> 00:05:00.000]  對不起我引的歌比較舊 因為我年紀差不多
[00:05:00.000 --> 00:05:05.000]  我不懂得 譬如現在在九龍香港站有12個人
[00:05:05.000 --> 00:05:10.000]  他們唱的歌我真的不懂 他們的樣子我們也不太懂得欣賞
[00:05:10.000 --> 00:05:14.000]  不過經常看到他們站在那裡拍照 我也站在那裡 但沒有人拍我
[00:05:14.000 --> 00:05:19.000]  黎瑞恩的歌《一人有一個夢想》裡面有幾句話
[00:05:19.000 --> 00:05:22.000]  一人變心會受傷 兩人願意沒惆悵
[00:05:22.000 --> 00:05:26.000]  三人痛苦戀愛 不再問事實與真相
[00:05:26.000 --> 00:05:31.000]  原來愛真的不容易 要愛與被愛 有人愛你 你接受
[00:05:31.000 --> 00:05:37.000]  你愛人 人接受 這樣的愛真的很幸福 這樣的愛真的很享受
[00:05:37.000 --> 00:05:42.000]  你愛人 如果人不愛你就很痛苦 人愛你 你不愛人就很煩
[00:05:42.000 --> 00:05:50.000]  我女兒小時候大概是一年級 我想也是六七歲左右
[00:05:50.000 --> 00:05:55.000]  有一次我每天都會接她放學 剛好那天是2月14號
[00:05:55.000 --> 00:05:59.000]  就是情人節 我也照常接她放學
[00:05:59.000 --> 00:06:04.000]  我看到她走出來 爸爸很疼愛女兒
[00:06:04.000 --> 00:06:08.000]  看到她走出來很不開心地哭
[00:06:08.000 --> 00:06:11.000]  當我看到她哭 我已經想哭了
[00:06:11.000 --> 00:06:15.000]  她上車我說 女兒你哭什麼 為什麼這麼難過
[00:06:15.000 --> 00:06:21.000]  在她的書包裡拿了一枝玫瑰花給我看
[00:06:21.000 --> 00:06:26.000]  我跟女兒說不用怕 等一下爸爸給你買一打
[00:06:26.000 --> 00:06:32.000]  情人節沒有花很沒面子 女孩子當然喜歡有人送花
[00:06:32.000 --> 00:06:35.000]  我說不要擔心 爸爸會買給你
[00:06:35.000 --> 00:06:38.000]  不用擔心 爸爸馬上給你買 情人節的花很貴的
[00:06:38.000 --> 00:06:41.000]  甚至可能買不到 爸爸一定會買給你
[00:06:41.000 --> 00:06:46.000]  她說不不不 爸爸你搞錯了 什麼事 為什麼你要哭呢
[00:06:46.000 --> 00:06:51.000]  她說了四個字 I don't love him
[00:06:51.000 --> 00:06:56.000]  我不是不喜歡花 不是他送給我的
[00:06:56.000 --> 00:07:00.000]  那個男孩很壞 追著我一定要給我一朵花
