
[00:00:00.000 --> 00:00:09.000]  我想我們問了幾天,差不多有六七十年一個問題
[00:00:09.000 --> 00:00:12.000]  這個社會裏面有什麼制度呢?
[00:00:12.000 --> 00:00:16.000]  能夠締造一個比較完美的社會呢?
[00:00:16.000 --> 00:00:20.000]  各位靈姐妹,我想問問大家
[00:00:20.000 --> 00:00:24.000]  有多少人喜歡社會主義的制度?
[00:00:24.000 --> 00:00:40.000]  大家一律都是住這樣的房子,一律都是吃這樣的飯,一律都是吃這樣的菜,喝這樣的水,坐這樣的車,沒有什麼特別,人人都是這樣的
[00:00:40.000 --> 00:00:44.000]  有多少人喜歡這樣的社會呢?舉手,有沒有?
[00:00:44.000 --> 00:00:47.000]  舉高一點看看有多少個
[00:00:47.000 --> 00:00:51.000]  怎麼這麼少?
[00:00:51.000 --> 00:00:54.000]  有多少人喜歡資本主義的社會呢?
[00:00:54.000 --> 00:01:03.000]  多勞多得,少勞少得,喜歡的舉手,你覺得這樣,你比較喜歡這樣的制度
[00:01:03.000 --> 00:01:13.000]  我自己本身是生長過在兩種完全不同的制度的底下
[00:01:13.000 --> 00:01:24.000]  在這個社會主義的制度當中,做又36,不做又36,大家就同歸於盡
[00:01:24.000 --> 00:01:26.000]  這個就是以前
[00:01:26.000 --> 00:01:30.000]  主要是什麼呢?就是因為你做得多多都是這麼多
[00:01:30.000 --> 00:01:36.000]  你做少一點也是這麼多,而帶來的結果就是得過且過
[00:01:36.000 --> 00:01:41.000]  這個就是我所經歷到的,當時的社會是這樣
[00:01:41.000 --> 00:01:48.000]  另一方面又去到一個資本主義的社會當中生活過
[00:01:48.000 --> 00:01:52.000]  資本主義的社會的理念是什麼呢?
[00:01:52.000 --> 00:01:56.000]  理念就是多勞多得,少勞少得,不勞就要乞
[00:01:56.000 --> 00:01:59.000]  這個就是資本主義的社會
[00:01:59.000 --> 00:02:08.000]  在這兩種不同的社會裡面,也有一些我們叫做微調
[00:02:08.000 --> 00:02:16.000]  微調就是一方面是一個資本主義的社會,但另一方面又是一個社會主義的制度
[00:02:16.000 --> 00:02:19.000]  到底怎麼做呢?就是增加福利
