
[00:00:00.000 --> 00:00:04.540]  各位電視節目的觀眾朋友 早安
[00:00:04.540 --> 00:00:06.540]  頭幾行沒什麼人
[00:00:06.540 --> 00:00:09.040]  我明白為什麼
[00:00:09.040 --> 00:00:11.040]  因為你鱷鱷的頭很辛苦
[00:00:11.040 --> 00:00:12.040]  對不對?
[00:00:12.040 --> 00:00:13.040]  你們說對就行了
[00:00:13.040 --> 00:00:14.040]  不要告訴我
[00:00:14.040 --> 00:00:15.040]  怕和我太近
[00:00:15.040 --> 00:00:17.540]  好 很快一個月就過了
[00:00:17.540 --> 00:00:19.540]  上一次跟大家說的是
[00:00:19.540 --> 00:00:22.540]  行在光中
[00:00:22.540 --> 00:00:25.540]  這一堂會說的是記在心中
[00:00:25.540 --> 00:00:27.540]  接著下面還有兩堂
[00:00:27.540 --> 00:00:31.540]  看在眼中和活在信中
[00:00:31.540 --> 00:00:32.540]  有四堂
[00:00:32.540 --> 00:00:35.540]  第二堂就是記在心中
[00:00:35.540 --> 00:00:38.540]  大家還記得上一堂說什麼嗎?
[00:00:38.540 --> 00:00:40.540]  記不記得?
[00:00:40.540 --> 00:00:43.540]  完全沒有人敢回答我
[00:00:43.540 --> 00:00:45.540]  記得題目嗎?
[00:00:45.540 --> 00:00:46.540]  記得的
[00:00:46.540 --> 00:00:47.540]  行在光中
[00:00:47.540 --> 00:00:49.540]  已經很好了
[00:00:49.540 --> 00:00:53.540]  其實我又不要求大家記住所有東西
[00:00:53.540 --> 00:00:56.540]  但記得一兩點都比沒有好
[00:00:56.540 --> 00:00:59.540]  希望大家多溫習
[00:00:59.540 --> 00:01:01.540]  今天是說記在心中
[00:01:01.540 --> 00:01:03.540]  上一堂說行在光中
[00:01:03.540 --> 00:01:05.540]  現在打出來你就會記得
[00:01:05.540 --> 00:01:07.540]  我現在做彼得做的事
[00:01:07.540 --> 00:01:09.540]  就是要上上提醒你們
[00:01:09.540 --> 00:01:11.540]  在穆罕默罕世代當中
[00:01:11.540 --> 00:01:15.540]  我們要行在光中
[00:01:15.540 --> 00:01:19.540]  我們需要脫離和必要馴服
[00:01:19.540 --> 00:01:21.540]  是兩個條件
[00:01:21.540 --> 00:01:22.540]  當你走路
[00:01:22.540 --> 00:01:23.540]  你走一步
[00:01:23.540 --> 00:01:24.540]  你就離開
[00:01:24.540 --> 00:01:25.540]  起點一步
[00:01:25.540 --> 00:01:27.540]  就要去的地方一步
[00:01:27.540 --> 00:01:29.540]  所以所有人在成長當中
[00:01:29.540 --> 00:01:31.540]  都是有放下有拿上的
[00:01:31.540 --> 00:01:33.540]  這是改變的過程
[00:01:33.540 --> 00:01:35.540]  第二提到行的表現
[00:01:35.540 --> 00:01:38.540]  要憤愛恩勤不斷增加
[00:01:38.540 --> 00:01:39.540]  不是隨便的
[00:01:39.540 --> 00:01:43.540]  我提到貪心和忠心是不同的
[00:01:43.540 --> 00:01:45.540]  其實貪心和愛心都是不同的
[00:01:45.540 --> 00:01:47.540]  貪心是永無止境的
[00:01:47.540 --> 00:01:49.540]  其實愛心也是一樣的
[00:01:49.540 --> 00:01:50.540]  忠心也是一樣的
