
[00:00:00.000 --> 00:00:06.400]  請求主多謝你的恩典
[00:00:06.400 --> 00:00:08.400]  如果不是你的復活
[00:00:08.400 --> 00:00:12.000]  我們今天是毫無盼望的人
[00:00:12.000 --> 00:00:15.800]  我們看到這個世界每天都是烏煙瘴氣
[00:00:15.800 --> 00:00:17.600]  不幸的事
[00:00:17.600 --> 00:00:19.600]  令到我們困惑的事
[00:00:19.600 --> 00:00:23.000]  令到我們沮喪的事
[00:00:23.000 --> 00:00:26.000]  接二連三發生
[00:00:26.000 --> 00:00:29.600]  這個世界局勢只會越來越亂
[00:00:29.600 --> 00:00:31.600]  大主我們多謝你
[00:00:31.600 --> 00:00:34.400]  你的復活、你的升天
[00:00:34.400 --> 00:00:37.400]  再加上你講明你要再來
[00:00:37.400 --> 00:00:39.200]  而再來的時候
[00:00:39.200 --> 00:00:43.600]  來建立一個尼賽亞的國度在人間
[00:00:43.600 --> 00:00:45.400]  而將來我們要接的
[00:00:45.400 --> 00:00:48.800]  是迎接一個永恆的新天新地
[00:00:48.800 --> 00:00:50.400]  我們為一切感恩
[00:00:50.400 --> 00:00:52.000]  因為在這個裏面
[00:00:52.000 --> 00:00:54.000]  世界有窮途
[00:00:54.000 --> 00:00:57.000]  但是信你的人不會有末路
[00:00:57.000 --> 00:00:58.800]  幫助我們下面的時間
[00:00:58.800 --> 00:01:00.200]  透過你的話
[00:01:00.200 --> 00:01:02.200]  堅固我們的信心
[00:01:02.200 --> 00:01:04.200]  奉耶穌基督的命求
[00:01:04.200 --> 00:01:07.200]  我很想讓大家來看一看
[00:01:07.200 --> 00:01:13.000]  最近熱辣辣的新聞
[00:01:13.000 --> 00:01:15.400]  發生的一些事
[00:01:15.400 --> 00:01:20.800]  認不認得出這個新聞是甚麼新聞?
[00:01:20.800 --> 00:01:28.800]  我相信是令全世界
[00:01:28.800 --> 00:01:33.800]  我們都感覺到憤怒
[00:01:33.800 --> 00:01:39.400]  這個新聞是發生在哪個地方呢?
[00:01:39.400 --> 00:01:44.800]  是全世界最文明、最民主的國家
[00:01:44.800 --> 00:01:51.200]  亦都是發生在美國裏面歷史悠久
[00:01:51.200 --> 00:01:56.800]  曾經一段時間最負盛名的航空公司
[00:01:56.800 --> 00:01:58.800]  聯合航空公司
[00:01:58.800 --> 00:02:05.200]  這位華籍的醫生69歲
[00:02:05.200 --> 00:02:08.200]  付了錢買了機票
[00:02:08.200 --> 00:02:11.600]  亦都是完全通過一切的東西
[00:02:11.600 --> 00:02:16.400]  合法、合情、合理地上機
[00:02:16.400 --> 00:02:20.400]  他經過一星期的辛勞
[00:02:20.400 --> 00:02:22.400]  要回到家裏
[00:02:22.400 --> 00:02:25.200]  想都想不到
[00:02:25.200 --> 00:02:27.400]  這航空公司因為有四個職員
