
[00:00:00.000 --> 00:00:07.360]  在特朗普的龍捲風暴下
[00:00:07.360 --> 00:00:14.460]  全世界的政治價值秩序被顛覆
[00:00:14.460 --> 00:00:21.120]  經濟市場也風急浪高 難以預測
[00:00:21.120 --> 00:00:25.200]  但經學者有一個幾共通的看法
[00:00:25.200 --> 00:00:33.400]  馬太效應將會更加明顯更加強烈
[00:00:33.400 --> 00:00:37.000]  什麼叫做Mathieu effect馬太效應呢?
[00:00:37.000 --> 00:00:43.480]  這就是現代經學者從馬太福音25章
[00:00:43.480 --> 00:00:51.160]  耶穌按材受跡的比喻得出來的一套經濟理論演繹
[00:00:51.160 --> 00:01:01.600]  主人將錢財分配給不同能力的僕人
[00:01:01.600 --> 00:01:04.160]  有些5000最少1000
[00:01:04.160 --> 00:01:10.000]  回來後發現拿了5000的賺了很多
[00:01:10.000 --> 00:01:17.080]  很成功地將金錢賠償給一個僕人
[00:01:17.080 --> 00:01:22.200]  最笨的是將錢埋在地裡 什麼都不動
[00:01:22.200 --> 00:01:27.320]  於是耶穌將1000的拿過來給5000的
[00:01:27.320 --> 00:01:30.600]  這就是經學上的馬太效應
[00:01:30.600 --> 00:01:34.360]  強者全拿弱者全輸
[00:01:34.360 --> 00:01:39.960]  越強越強 越弱越弱
[00:01:39.960 --> 00:01:45.400]  我們只是開場白 今天不是講經濟是講聖經
[00:01:45.400 --> 00:01:51.000]  另一個從聖經故事而出的一個很特別的學說
[00:01:51.000 --> 00:01:56.280]  不是經濟理論 這叫做若拿情義結
[00:01:56.280 --> 00:02:01.720]  是現代新學家亞伯罕馬斯洛
[00:02:01.720 --> 00:02:09.080]  美國一代宗師所設計出來的若拿情義結
[00:02:09.080 --> 00:02:14.280]  他說人過想成功 過想有幸福快樂
[00:02:14.280 --> 00:02:17.640]  但當一旦想到的時候會很害怕
[00:02:17.640 --> 00:02:19.400]  甚至會逃避
[00:02:19.400 --> 00:02:24.280]  這叫做心理學上的若拿情義結
[00:02:24.280 --> 00:02:32.200]  記得上年11月來當中分享訊息
[00:02:32.200 --> 00:02:35.480]  我講 你不記得我說什麼了
[00:02:35.480 --> 00:02:37.480]  說什麼了 記不記得
[00:02:37.480 --> 00:02:40.120]  忘記了 路德記
[00:02:40.120 --> 00:02:42.120]  為別人多走你路
[00:02:42.120 --> 00:02:45.720]  他強調聖經有幾卷書
[00:02:45.720 --> 00:02:48.440]  你不需要從頭看到尾
[00:02:48.440 --> 00:02:51.960]  你講到不可以講兩節一章就算了
[00:02:51.960 --> 00:02:55.080]  因為將整個故事完整地鋪排
[00:02:55.080 --> 00:02:58.520]  故事情節起承轉合是很有關聯性的
[00:02:58.520 --> 00:03:02.280]  我們不可以斷經取義
[00:03:02.280 --> 00:03:04.040]  路德記如是
[00:03:04.040 --> 00:03:07.320]  所以我今天延續路德記的思路
[00:03:07.320 --> 00:03:09.960]  又講一卷很奇特的書
[00:03:09.960 --> 00:03:14.440]  同樣不能講一章半章
[00:03:14.440 --> 00:03:16.440]  一講四章就講完
[00:03:16.440 --> 00:03:19.560]  因為這些經卷最初是沒有分章節的
[00:03:19.560 --> 00:03:23.560]  是一個故事的鋪排
[00:03:23.560 --> 00:03:27.000]  若拿書如果你稍稍對聖經熟悉
[00:03:27.000 --> 00:03:28.520]  不知道有沒有被人問過的問題
[00:03:28.520 --> 00:03:30.520]  或者你自己問過問題
[00:03:30.520 --> 00:03:33.080]  我小時候就問過這個問題
[00:03:33.080 --> 00:03:35.320]  若拿書是真是假的
[00:03:35.320 --> 00:03:39.560]  因為這種文學表達方式
[00:03:39.560 --> 00:03:42.360]  叫神話語言式
[00:03:42.360 --> 00:03:45.080]  其實我們看希臘文化
[00:03:45.080 --> 00:03:47.400]  希臘的神話很有名
[00:03:47.400 --> 00:03:50.680]  中國的神話也有名
[00:03:50.680 --> 00:03:51.720]  最有名的是誰?
[00:03:51.720 --> 00:03:53.720]  最近很紅的那個是誰?
[00:03:53.720 --> 00:03:55.240]  拿渣亞 沒錯
[00:03:55.240 --> 00:03:57.400]  拿渣亞的《西遊記》也是神話
[00:03:57.400 --> 00:03:58.840]  但神話鋪排也有一種
[00:03:58.840 --> 00:04:05.640]  其實是借神話故事帶出某種意義
[00:04:05.640 --> 00:04:10.920]  聖經作為希伯來民族的宗教經典
[00:04:10.920 --> 00:04:16.360]  也可以採用神話筆觸去表達
