
[00:00:00.000 --> 00:00:06.280]  各位聽眾,今天是中樹節主日
[00:00:06.280 --> 00:00:12.000]  我們特別選了一首詩篇跟大家一起思想
[00:00:12.000 --> 00:00:15.640]  這篇詩篇是第24篇
[00:00:15.640 --> 00:00:19.080]  如果你有聖經的話可以一起打開
[00:00:19.080 --> 00:00:24.080]  詩篇第24篇
[00:00:24.080 --> 00:00:32.080]  今天跟大家分享的主日講道題目是迎來受苦的榮耀君王
[00:00:32.080 --> 00:00:37.080]  下一個主日我們會透過另一首詩
[00:00:37.080 --> 00:00:42.080]  詩篇第20篇思想另一個題目叫做特性的君王
[00:00:42.080 --> 00:00:48.080]  打開聖經後我會先讀一次
[00:00:48.080 --> 00:00:52.080]  讓大家明白這篇經文的內容
[00:00:52.080 --> 00:00:59.080]  詩篇第24篇
[00:00:59.080 --> 00:01:01.080]  大衛的詩
[00:01:01.080 --> 00:01:07.080]  地和其中所充滿的,世界和住在其間的都屬耶和華
[00:01:07.080 --> 00:01:12.080]  他把地建立在海上,安定在大水之上
[00:01:12.080 --> 00:01:17.080]  誰能登耶和華的山,誰能站在他的聖所
[00:01:17.080 --> 00:01:23.080]  就是守潔心清,不用虛妄,起誓不懷詭詐的人
[00:01:23.080 --> 00:01:29.080]  他必蒙耶華賜福,又蒙救他的神使他成義
[00:01:29.080 --> 00:01:35.080]  這是尋求耶華的族類,是尋求裡面的雅各
[00:01:35.080 --> 00:01:42.080]  忠誠們啊,你們要抬起頭來,永久的門戶你們要被舉起
[00:01:42.080 --> 00:01:45.080]  那榮耀的王將要進來
[00:01:45.080 --> 00:01:47.080]  榮耀的王是誰呢?
[00:01:47.080 --> 00:01:52.080]  就是有力有能的耶和華,在戰場上有能的耶和華
[00:01:52.080 --> 00:01:57.080]  忠誠們啊,你們要抬起頭來,永久的門戶
[00:01:57.080 --> 00:02:03.080]  你們要被舉起,那榮耀的王將要進來
[00:02:03.080 --> 00:02:05.080]  榮耀的王是誰呢?
[00:02:05.080 --> 00:02:09.080]  頑軍之耀,他的榮耀王
[00:02:09.080 --> 00:02:38.080]  
[00:02:39.080 --> 00:03:03.080]  
[00:03:03.080 --> 00:03:32.080]  
[00:03:32.080 --> 00:03:34.080]  
[00:03:34.080 --> 00:03:40.080]  很有意思的一首詩,這首詩也讓我想起很多東西
[00:03:40.080 --> 00:03:44.080]  這首詩是屬於詩篇裡的君王詩
[00:03:44.080 --> 00:03:51.080]  君王詩可以這麼說,是一個君王寫了這首詩之後交給靈長
[00:03:51.080 --> 00:03:58.080]  然後當他們一同進入去敬拜聖殿的路程的旅程的過程當中
[00:03:58.080 --> 00:04:02.080]  當時的祭司他們就唱頌這首詩
[00:04:02.080 --> 00:04:08.080]  讓途經的所有的群眾他們都能夠聽見這首詩當中的內容
[00:04:08.080 --> 00:04:14.080]  這首詩也很特別,它裡面有兩個我們叫做「細拉」的字眼
[00:04:14.080 --> 00:04:15.080]  什麼叫「細拉」呢?
[00:04:15.080 --> 00:04:22.080]  「Sila」其實就是一個停頓,或者可以用今天來這麼說,是一個間場
[00:04:22.080 --> 00:04:24.080]  為什麼需要間場呢?
[00:04:24.080 --> 00:04:31.080]  就是讓一個聽者或者讀者他可以靜下來思想和進行反思
[00:04:31.080 --> 00:04:36.080]  這也是這首詩的特色,它總共有兩個間場點
[00:04:36.080 --> 00:04:41.080]  而這兩個間場點都能夠提供一個反思的作用
[00:04:41.080 --> 00:04:49.080]  在這首詩裡面提及到有關於城門要打開,人要向上仰望
[00:04:49.080 --> 00:04:58.080]  就讓我想起耶穌基督在祂臨死之前的一個星期進入耶路撒冷城的時候
[00:04:58.080 --> 00:05:05.080]  很多人都歡喜雀躍地歡迎耶穌基督進入耶路撒冷城
[00:05:05.080 --> 00:05:11.080]  表現出好像對一位君王歡迎他進入一個聖城裡面一樣
