
[00:00:00.000 --> 00:00:03.000]  (看片段)
[00:00:03.000 --> 00:00:07.400]  西法亞書是《十二仙之書》的第九卷
[00:00:07.400 --> 00:00:09.500]  一共是三張書
[00:00:09.500 --> 00:00:11.500]  五十三節的經文
[00:00:11.500 --> 00:00:15.400]  我們說《十二仙之書》前面的六卷書
[00:00:15.400 --> 00:00:18.000]  主題都是與舊因有關
[00:00:18.000 --> 00:00:19.400]  與舊俗有關
[00:00:19.400 --> 00:00:21.400]  但後面的六卷書
[00:00:21.400 --> 00:00:25.900]  就是與神與人的關係有關
[00:00:25.900 --> 00:00:28.100]  例如是那紅書
[00:00:28.100 --> 00:00:32.600]  是在審判中認識神
[00:00:32.600 --> 00:00:34.800]  又例如是哈巴谷書
[00:00:34.800 --> 00:00:38.300]  是在苦難中用蒲神
[00:00:38.300 --> 00:00:43.300]  究竟西法亞書的主題又是甚麼呢?
[00:00:43.300 --> 00:00:47.500]  我們一起來看看西法亞仙之名字的意思
[00:00:47.500 --> 00:00:49.900]  西法亞名字的意思
[00:00:49.900 --> 00:00:53.700]  就是「隱藏」或「躲藏」
[00:00:53.700 --> 00:00:56.500]  你問究竟是
[00:00:56.500 --> 00:01:01.600]  是向屬於祂的人躲藏、隱藏
[00:01:01.600 --> 00:01:05.600]  還是耶和華令屬於祂的人
[00:01:05.600 --> 00:01:10.100]  能夠在危難中得到保護、得到隱藏
[00:01:10.100 --> 00:01:14.000]  在結束的時候
[00:01:14.000 --> 00:01:16.700]  我們會有一個很詳細的解釋
[00:01:16.700 --> 00:01:20.200]  西法亞是皇室的後裔
[00:01:20.200 --> 00:01:23.000]  他在西法亞書一章一節
[00:01:23.000 --> 00:01:27.200]  用了四代來證明自己的身世
[00:01:27.200 --> 00:01:33.000]  這也可以說是在聖經裏唯一的先知
[00:01:33.000 --> 00:01:37.400]  用了四代來證明自己的身份
[00:01:37.400 --> 00:01:42.600]  西法亞是希西加的元孫
[00:01:42.600 --> 00:01:45.400]  是亞馬利亞的曾孫
[00:01:45.400 --> 00:01:47.400]  是基大利的孫
[00:01:47.400 --> 00:01:50.100]  是古時的兒子
[00:01:50.100 --> 00:01:52.800]  西法亞他侍宮的時候
[00:01:52.800 --> 00:01:55.600]  應該是和耶利米差不多
[00:01:55.600 --> 00:01:59.900]  而西法亞書的對象就是猶大國
[00:01:59.900 --> 00:02:01.900]  就是全人類
[00:02:01.900 --> 00:02:06.700]  西法亞書的背景
[00:02:06.700 --> 00:02:10.200]  西法亞預言的時候
[00:02:10.200 --> 00:02:18.500]  猶大國面臨著政治、社會和宗教靈命上的倒退
[00:02:18.500 --> 00:02:22.000]  猶大人正面臨57年
[00:02:22.000 --> 00:02:27.800]  由馬拿西和他的兒子阿門專政後的遺政
[00:02:27.800 --> 00:02:32.500]  馬拿西一個已經專政了55年
[00:02:32.500 --> 00:02:35.000]  是一個很長的時間
[00:02:35.000 --> 00:02:39.000]  而馬拿西和阿門都是聖經裏說
[00:02:39.000 --> 00:02:43.000]  「行耶和華眼中為戶的事」
[00:02:43.000 --> 00:02:49.600]  跟著馬拿西和阿門坐上皇位的就是約西亞
[00:02:49.600 --> 00:02:52.600]  約西亞在八歲的時候坐上皇位
[00:02:52.600 --> 00:02:55.200]  他16歲的時候他是尋求神
[00:02:55.200 --> 00:02:58.200]  18歲的時候他是修理聖殿
[00:02:58.200 --> 00:03:00.500]  而當他修理聖殿的時候
[00:03:00.500 --> 00:03:02.500]  他找到律法書
[00:03:02.500 --> 00:03:04.800]  當他讀了律法書之後
[00:03:04.800 --> 00:03:06.800]  他就撕裂他的衣服
[00:03:06.800 --> 00:03:11.400]  他立志要行耶和華眼中
[00:03:11.400 --> 00:03:13.400]  跟從耶和華的話
[00:03:13.400 --> 00:03:16.000]  在20歲的時候
[00:03:16.000 --> 00:03:18.000]  他拆毀了休壇
[00:03:18.000 --> 00:03:21.000]  他打碎了所有的牛將
[00:03:21.000 --> 00:03:24.000]  在約西亞的統治下
[00:03:24.000 --> 00:03:26.000]  猶大人有一個復興
[00:03:26.000 --> 00:03:28.000]  就在這個時候
[00:03:28.000 --> 00:03:32.000]  神差派西班牙先知到猶大國
[00:03:32.000 --> 00:03:34.000]  來幫助約西亞
[00:03:34.000 --> 00:03:38.000]  有很多的聖經學者他們都認為
[00:03:38.000 --> 00:03:40.000]  約西亞的復興
[00:03:40.000 --> 00:03:43.000]  西班牙絕對有它的影響力
[00:03:43.000 --> 00:03:46.000]  在約西亞在位的時候
[00:03:46.000 --> 00:03:49.000]  猶大國是一個非常繁榮的地方
[00:03:49.000 --> 00:03:51.000]  北國已經滅亡了
