
[00:00:00.000 --> 00:00:07.000]  感謝主讓我們今天再有機會一齊思想神的話語
[00:00:07.000 --> 00:00:12.000]  在開始思想神的話語之前我們先來低頭祈禱
[00:00:12.000 --> 00:00:16.000]  參考著我們今天再有機會
[00:00:16.000 --> 00:00:21.000]  透過在視像裏思想你的話語來敬拜你
[00:00:21.000 --> 00:00:25.000]  求你開我們的眼、耳和心
[00:00:25.000 --> 00:00:27.000]  讓你的話語進入我們心裏
[00:00:27.000 --> 00:00:29.000]  成為我們生命裏的養分
[00:00:29.000 --> 00:00:31.000]  並且能夠活出來
[00:00:31.000 --> 00:00:33.000]  我們求你聽我們祈禱
[00:00:33.000 --> 00:00:35.000]  奉耶穌基督的名
[00:00:35.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:41.000]  今天我們希望能夠透過羅馬書
[00:00:41.000 --> 00:00:43.000]  來思想一段神的話語
[00:00:43.000 --> 00:00:46.000]  我們打開羅馬書的十三章
[00:00:46.000 --> 00:00:49.000]  羅馬書的十三章我們看第一至第五節
[00:00:49.000 --> 00:00:52.000]  今次我們只看第一至第五節
[00:00:52.000 --> 00:00:55.000]  這個時候我們一齊讀
[00:00:55.000 --> 00:00:59.000]  聖經說:在上有權柄的
[00:00:59.000 --> 00:01:02.000]  人人當信服他
[00:01:02.000 --> 00:01:05.000]  因為沒有權柄不是出於神的
[00:01:05.000 --> 00:01:09.000]  凡掌權的都是神所命的
[00:01:09.000 --> 00:01:14.000]  所以抗拒掌權的就是抗拒神的命
[00:01:14.000 --> 00:01:17.000]  抗拒的必自取刑罰
[00:01:17.000 --> 00:01:21.000]  作官的原不是叫行善的懼怕
[00:01:21.000 --> 00:01:23.000]  乃是叫作惡的懼怕
[00:01:23.000 --> 00:01:26.000]  你願意不懼怕掌權的嗎?
[00:01:26.000 --> 00:01:30.000]  你只要行事就可得他的稱讚
[00:01:30.000 --> 00:01:32.000]  因為他是神的用人
[00:01:32.000 --> 00:01:34.000]  是與你有益的
[00:01:34.000 --> 00:01:38.000]  你若作惡當懼怕
