
[00:00:00.000 --> 00:00:08.320]  以下這一部分大家可能聽得出,是在錄音室錄的
[00:00:08.320 --> 00:00:13.120]  因為在講座裡時間有限
[00:00:13.120 --> 00:00:20.720]  在第二講當中就講到關於家庭需要什麼
[00:00:20.720 --> 00:00:22.720]  和不一定需要什麼
[00:00:22.720 --> 00:00:27.040]  也講到關於教育子女的方面
[00:00:27.040 --> 00:00:32.960]  一個家庭不單是父母和子女
[00:00:32.960 --> 00:00:37.680]  一個家庭也可以是父母和他們的父母
[00:00:37.680 --> 00:00:40.320]  即是家庭裡的老人家
[00:00:40.320 --> 00:00:45.600]  我堅持想用這些時間錄音室錄完它
[00:00:45.600 --> 00:00:50.320]  其實我覺得不單是因為我預備了這個題目
[00:00:50.320 --> 00:00:54.800]  並且我覺得在現代化的社會裡
[00:00:54.800 --> 00:00:58.480]  很多時候在家庭裡不單不懂得教育子女
[00:00:58.480 --> 00:01:03.520]  令子女長期成長後受傷
[00:01:03.520 --> 00:01:06.480]  更加是父母方面
[00:01:06.480 --> 00:01:11.280]  尤其是老人家在現代化急速轉變的社會裡
[00:01:11.280 --> 00:01:13.520]  也會受到很多傷害
[00:01:13.520 --> 00:01:18.960]  我有這樣的心,所以想藉著這個機會繼續講下去
[00:01:18.960 --> 00:01:22.000]  孝敬長輩這回事
[00:01:22.000 --> 00:01:25.200]  在《針研書》裡同樣的
[00:01:25.200 --> 00:01:27.200]  很有人生的智慧
[00:01:27.200 --> 00:01:31.120]  看得出在一個家庭問題當中
[00:01:31.120 --> 00:01:33.120]  怎樣對父母
[00:01:33.120 --> 00:01:35.920]  我這裡特別指老人家
[00:01:35.920 --> 00:01:39.200]  也很有關鍵性
[00:01:39.200 --> 00:01:41.200]  所以如果你看《針研》
[00:01:41.200 --> 00:01:43.680]  你會看到有相當多的經文
[00:01:43.680 --> 00:01:46.880]  都是講到我們應該怎樣對我們的長輩
[00:01:46.880 --> 00:01:50.480]  怎樣去孝敬他、尊重他
[00:01:50.480 --> 00:01:54.640]  我綜合了在《針研》裡的一些很有智慧的說話
[00:01:54.640 --> 00:01:56.640]  我嘗試和大家引申
[00:01:56.640 --> 00:02:00.720]  看看我們應該怎樣面對我們的長輩
[00:02:00.720 --> 00:02:04.560]  首先我想把它分成兩個部分
[00:02:04.560 --> 00:02:07.440]  第一個部分是態度方面
[00:02:07.440 --> 00:02:10.320]  第二個部分是表現方面
[00:02:10.320 --> 00:02:12.320]  態度是內心的
[00:02:12.320 --> 00:02:15.280]  表現是做出來的
[00:02:15.280 --> 00:02:17.280]  聖經也說得很清楚
[00:02:17.280 --> 00:02:19.280]  其實一個做出來的表現
[00:02:19.280 --> 00:02:22.400]  是來自內心的態度
[00:02:22.400 --> 00:02:24.400]  兩樣東西分不開
[00:02:24.400 --> 00:02:28.080]  而《針研》裡也有相當多的經文
[00:02:28.080 --> 00:02:30.080]  是講到這兩方面
[00:02:30.080 --> 00:02:32.080]  我把它編排起來
[00:02:32.080 --> 00:02:35.440]  想用一個對比的方式和大家說
[00:02:35.440 --> 00:02:37.440]  所謂對比的方式
[00:02:37.440 --> 00:02:40.080]  就是在態度講到內心的意向方面
[00:02:40.080 --> 00:02:45.120]  我就強調有兩種很對比的不同的態度
[00:02:45.120 --> 00:02:50.240]  有些人他對長輩採取一種藐視的態度
[00:02:50.240 --> 00:02:51.840]  對比來說
[00:02:51.840 --> 00:02:55.760]  《針研》教我們應該用一種敬重的態度
[00:02:55.760 --> 00:02:57.760]  在表現來說也是
[00:02:57.760 --> 00:03:01.280]  有些人他對於他自己家庭裡的長輩
[00:03:01.280 --> 00:03:05.600]  是令到他的父母快樂、滿足和感到驕傲
[00:03:05.600 --> 00:03:09.040]  但是也有些人令到父母很苦
[00:03:09.040 --> 00:03:13.280]  在言語上、說話上、行動上
[00:03:13.280 --> 00:03:16.160]  都虐待他家裡的老人家
[00:03:16.160 --> 00:03:18.160]  你可能會說我也聽過這些
[00:03:18.160 --> 00:03:21.120]  不過看深一點、聽多一點
[00:03:21.120 --> 00:03:23.120]  看一看具體《針研》怎麼說
[00:03:23.120 --> 00:03:24.640]  其實也很有意思的
[00:03:24.640 --> 00:03:27.680]  首先我們來看看態度的問題
[00:03:27.680 --> 00:03:30.880]  《針研》書裡有兩節經文
[00:03:30.880 --> 00:03:32.880]  很值得和大家一起讀一讀
[00:03:32.880 --> 00:03:34.880]  13章的第一節
[00:03:34.880 --> 00:03:36.400]  那裡說
[00:03:36.400 --> 00:03:40.160]  「智慧子聽父親的教訓
[00:03:40.160 --> 00:03:43.680]  洩慢人不聽責備」
[00:03:43.680 --> 00:03:47.280]  23章22節
[00:03:47.280 --> 00:03:48.800]  那裡說
[00:03:48.800 --> 00:03:52.000]  對於子女來說
[00:03:52.000 --> 00:03:55.200]  「你要聽從生你的父親
[00:03:55.200 --> 00:04:00.000]  你母親老了也不可藐視他」
[00:04:00.000 --> 00:04:04.080]  這兩節聖經有一個很清楚的對比
[00:04:04.080 --> 00:04:10.080]  就是說你不可以洩慢你的父親
[00:04:10.080 --> 00:04:14.560]  也就是你媽媽老了不可以藐視她
[00:04:14.560 --> 00:04:17.120]  就是說有一種不對的態度
[00:04:17.120 --> 00:04:19.680]  《針研》說我們不可以洩慢
[00:04:19.680 --> 00:04:23.040]  和藐視你的父母
[00:04:23.040 --> 00:04:24.400]  當他老的時候
[00:04:24.400 --> 00:04:25.680]  因為剛才那裡說
[00:04:25.680 --> 00:04:26.880]  你母親老了
[00:04:26.880 --> 00:04:31.200]  特別說到這個老是其中一個很重要的因素
[00:04:31.200 --> 00:04:33.680]  不可以因為父親母親老了
[00:04:33.680 --> 00:04:35.520]  你就洩慢
[00:04:35.520 --> 00:04:37.680]  洩慢就是說態度很差
[00:04:37.680 --> 00:04:39.120]  很驕傲
[00:04:39.120 --> 00:04:40.640]  很看不起他
[00:04:40.640 --> 00:04:42.240]  很不屑
[00:04:42.240 --> 00:04:44.720]  不聽他所說的話
[00:04:44.720 --> 00:04:46.400]  和藐視他
[00:04:46.400 --> 00:04:48.400]  藐視就是忽略他
[00:04:48.400 --> 00:04:49.760]  不理他
[00:04:49.760 --> 00:04:53.680]  這一種可以說是對比起來
[00:04:53.680 --> 00:04:58.640]  簡單來說就是沒有留心聽
[00:04:58.640 --> 00:05:00.400]  剛才那兩節聖經很清楚
[00:05:00.400 --> 00:05:02.080]  它說對比來說
[00:05:02.080 --> 00:05:03.920]  你要聽父親的教訓
[00:05:03.920 --> 00:05:06.160]  要聽從生你的父親
[00:05:06.160 --> 00:05:08.400]  就是說如果一個洩慢
[00:05:08.400 --> 00:05:10.000]  或者藐視的態度
[00:05:10.000 --> 00:05:12.240]  表示他沒有留心
[00:05:12.240 --> 00:05:15.040]  去一個謙恭的心
[00:05:15.040 --> 00:05:17.840]  去聆聽你父母
[00:05:17.840 --> 00:05:21.200]  尤其是老人家他們所說的話
[00:05:21.200 --> 00:05:25.360]  為什麼在一個現代社會裡面
[00:05:25.360 --> 00:05:28.720]  我們會傾向覺得老人家所說的話
[00:05:28.720 --> 00:05:30.640]  我們沒什麼心機聽呢
[00:05:30.640 --> 00:05:31.760]  說回頭
[00:05:31.760 --> 00:05:32.960]  我們自己苦心自問
[00:05:32.960 --> 00:05:34.960]  有時候我們家裡有老人家
[00:05:34.960 --> 00:05:36.800]  他一開口說話的時候
[00:05:36.800 --> 00:05:38.720]  我們心裡就已經抗拒
[00:05:38.720 --> 00:05:39.680]  又來了
[00:05:39.680 --> 00:05:40.960]  又說了
[00:05:40.960 --> 00:05:42.320]  三福皮
[00:05:42.320 --> 00:05:43.280]  很悶
[00:05:43.280 --> 00:05:44.320]  很老土
[00:05:44.320 --> 00:05:46.640]  或者我們現在在現代社會裡面
[00:05:46.640 --> 00:05:49.440]  流行叫老人家叫做老餅
[00:05:49.440 --> 00:05:52.400]  為什麼我們對老人家
[00:05:52.400 --> 00:05:55.600]  有一種這樣藐視的態度呢
[00:05:55.600 --> 00:05:58.400]  其實如果你看回社會學的角度
[00:05:58.400 --> 00:06:00.720]  是一種社會的轉型
[00:06:00.720 --> 00:06:03.360]  我們說現代化的社會
[00:06:03.360 --> 00:06:06.480]  是對老人家是寧舍不離
[00:06:06.480 --> 00:06:11.280]  寧舍有意無意去排斥
[00:06:11.280 --> 00:06:13.520]  或者甚至忽略
[00:06:13.520 --> 00:06:15.440]  藐視他們
[00:06:15.440 --> 00:06:17.840]  你看回傳統社會又不是這樣
[00:06:17.840 --> 00:06:19.760]  傳統社會裡面
[00:06:19.760 --> 00:06:20.640]  很清楚的
[00:06:20.640 --> 00:06:22.480]  在傳統中國農村的社會裡面
[00:06:22.480 --> 00:06:24.320]  任何一個傳統社會裡面
[00:06:24.320 --> 00:06:26.320]  都是尊重老人家的
[00:06:26.320 --> 00:06:28.560]  越老就越有權威
[00:06:28.560 --> 00:06:29.040]  是吧
[00:06:29.040 --> 00:06:31.120]  以前我們中國的四合院
[00:06:31.120 --> 00:06:34.400]  我們中國的舊屋在一個大堂
[00:06:34.400 --> 00:06:37.200]  中間一個老天的大廳
[00:06:37.200 --> 00:06:40.240]  然後兩邊所謂東廂西廂
[00:06:40.240 --> 00:06:40.960]  一個很大的屋子
[00:06:40.960 --> 00:06:42.480]  幾十人住在一起
[00:06:42.480 --> 00:06:45.440]  最後面那一截
[00:06:45.440 --> 00:06:49.120]  就是最有隱私隱權的
[00:06:49.120 --> 00:06:50.160]  最有權威的
[00:06:50.160 --> 00:06:51.440]  住後面最靜的
[00:06:51.440 --> 00:06:52.320]  最舒服的
[00:06:52.320 --> 00:06:54.240]  跟著後面後花園
[00:06:54.240 --> 00:06:56.160]  這些地方多數是什麼
[00:06:56.160 --> 00:06:57.360]  父母住的
[00:06:57.360 --> 00:06:58.800]  如果父母的父母
[00:06:58.800 --> 00:07:01.120]  即是祖父母仍然在堂的話
[00:07:01.120 --> 00:07:03.920]  即是他們再住得更加後一點
[00:07:03.920 --> 00:07:06.960]  這種分別住的方法
[00:07:06.960 --> 00:07:09.680]  即是越年輕就越要住公眾地方
[00:07:09.680 --> 00:07:12.560]  越老人家就越能夠住清靜的
[00:07:12.560 --> 00:07:16.080]  還有隱私權的地方
[00:07:16.080 --> 00:07:18.800]  這個可以看見在傳統的中國裡面
[00:07:18.800 --> 00:07:20.080]  在傳統社會裡面
[00:07:20.080 --> 00:07:22.480]  其實老人家是受尊重
[00:07:22.480 --> 00:07:24.640]  多過年輕人
[00:07:24.640 --> 00:07:27.440]  為什麼來到一個現代化的社會裡面
[00:07:27.440 --> 00:07:30.320]  老人家被淘汰呢
[00:07:30.320 --> 00:07:34.000]  因為我相信有幾個原因
[00:07:34.000 --> 00:07:35.520]  一方面我們發覺
[00:07:35.520 --> 00:07:37.440]  在一個現代的社會裡面
[00:07:37.440 --> 00:07:40.400]  每樣都說你究竟做到多少
[00:07:40.400 --> 00:07:41.120]  是說什麼呢
[00:07:41.120 --> 00:07:44.720]  是說效率有多高
[00:07:44.720 --> 00:07:45.840]  做事行不行
[00:07:45.840 --> 00:07:47.040]  聰明不聰明
[00:07:47.040 --> 00:07:48.400]  厲害不厲害
[00:07:48.400 --> 00:07:49.680]  包裝怎麼樣
[00:07:49.680 --> 00:07:51.920]  一個現代商業化的社會
[00:07:51.920 --> 00:07:53.520]  是一個競爭的社會
[00:07:53.520 --> 00:07:55.520]  競爭也就是你快
[00:07:55.520 --> 00:07:56.880]  你做得厲害
[00:07:56.880 --> 00:07:58.880]  你叫做蒲頭
