
[00:00:00.000 --> 00:00:04.800]  此錄音或錄影的版權是屬基督教宣導會不各堂所有
[00:00:04.800 --> 00:00:08.160]  我們的屬靈傳統之一是以真理教導為本
[00:00:08.160 --> 00:00:11.520]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:11.520 --> 00:00:17.120]  懇請注意未經授權請勿轉錄或剪輯本錄音或錄影
[00:00:17.120 --> 00:00:20.240]  各位電視節目新年蒙福
[00:00:20.240 --> 00:00:28.080]  今天年初二我們很開心可以在神的家中一齊來敬拜
[00:00:28.080 --> 00:00:34.160]  我之前收到一位北宣迦勒弟兄送了一對揮春給我
[00:00:34.160 --> 00:00:36.160]  我想轉送給大家
[00:00:36.160 --> 00:00:40.720]  揮春很簡單
[00:00:40.720 --> 00:00:43.360]  是甚麼?
[00:00:43.360 --> 00:00:46.640]  喜樂平安
[00:00:46.640 --> 00:00:48.640]  接著
[00:00:48.640 --> 00:00:53.280]  喜樂平安主常眷佑感謝神
[00:00:53.280 --> 00:00:56.960]  主耶穌應許祂將祂的平安賜給我們
[00:00:56.960 --> 00:00:59.520]  讓我們喜樂滿足
[00:00:59.520 --> 00:01:04.000]  所以我們帶著信心領受神賜福
[00:01:04.000 --> 00:01:06.480]  在過程中不斷經歷
[00:01:06.480 --> 00:01:12.640]  神眷顧我們每天看顧每天保守
[00:01:12.640 --> 00:01:14.640]  願主賜福大家
[00:01:14.640 --> 00:01:16.640]  又願大家
[00:01:16.640 --> 00:01:20.000]  不如在此時與你旁邊用你想到的話
[00:01:20.000 --> 00:01:22.880]  祝福你旁邊的弟兄姊妹
[00:01:22.880 --> 00:01:27.840]  感謝神因為祂是萬福的源頭
[00:01:27.840 --> 00:01:29.840]  賜恩給我們的主
[00:01:29.840 --> 00:01:31.840]  我們一齊現在再祈禱
[00:01:31.840 --> 00:01:36.320]  施恩的主我們同心到你的面前
[00:01:36.320 --> 00:01:40.320]  祝祢應許從歲守到年終
[00:01:40.320 --> 00:01:42.320]  祝祢的恩典
[00:01:42.320 --> 00:01:46.480]  好像金磷淋到我們身上
[00:01:46.480 --> 00:01:51.200]  祝祢此刻的憐憫每天每天淋到
[00:01:51.200 --> 00:01:53.200]  從不斷絕
[00:01:53.200 --> 00:01:56.720]  主我們到祢的面前感謝祢
[00:01:56.720 --> 00:01:59.920]  祢又應許祢以祢的恩惠
[00:01:59.920 --> 00:02:01.920]  好像四面的盾牌
[00:02:01.920 --> 00:02:03.920]  環繞我們
[00:02:03.920 --> 00:02:05.920]  讓我們賞蒙祢的保護
[00:02:05.920 --> 00:02:07.920]  賞蒙祢的看顧
[00:02:07.920 --> 00:02:11.760]  如今祢的子民在年初二的時候
[00:02:11.760 --> 00:02:15.440]  主我們到祢的聖殿中來敬拜祢
[00:02:15.440 --> 00:02:18.000]  承認祢是我們生命的主
[00:02:18.000 --> 00:02:20.000]  承認祢是我們的王
[00:02:20.000 --> 00:02:22.880]  主我們願意跟隨祢
[00:02:22.880 --> 00:02:26.480]  求恩主在這段時間當我們敬拜祢的時候
[00:02:26.480 --> 00:02:29.120]  施下祢自己聖經的恩言
[00:02:29.120 --> 00:02:31.120]  讓我們在祢的面前
[00:02:31.120 --> 00:02:33.120]  我們被祢激勵
[00:02:33.120 --> 00:02:36.880]  更知道全心全意的來聽從祢
[00:02:36.880 --> 00:02:39.760]  求主施恩賜福這段時間
[00:02:39.760 --> 00:02:43.360]  我們仰望祈禱奉主耶穌的聖名求您
[00:02:43.360 --> 00:02:45.360]  阿們
[00:02:46.320 --> 00:02:49.680]  新年的時候大家都會互相祝福
[00:02:49.680 --> 00:02:52.880]  我們都很想尋求多福
[00:02:52.880 --> 00:02:57.040]  都很想能夠將祝福帶給我們身邊的人
[00:02:57.040 --> 00:03:01.760]  很多時候你聽到一些朋友突然之間跟你祝福的時候
[00:03:01.760 --> 00:03:03.760]  都會有一種感覺
[00:03:03.760 --> 00:03:05.760]  祝福的語句
[00:03:05.760 --> 00:03:10.560]  越大越多將祝福帶給你就越好
[00:03:10.560 --> 00:03:14.000]  所以中國人有些時候很多的祝福句
[00:03:14.000 --> 00:03:17.360]  就說到大吉大利
[00:03:17.360 --> 00:03:21.120]  但不只是大吉要萬事大吉
[00:03:21.120 --> 00:03:25.440]  你告訴他我很開心
[00:03:25.440 --> 00:03:27.440]  雙喜臨門
[00:03:27.440 --> 00:03:29.440]  雙喜臨門不夠
[00:03:29.440 --> 00:03:31.440]  五福臨門才夠
[00:03:31.440 --> 00:03:33.440]  盡量多一點
[00:03:33.440 --> 00:03:35.440]  盡量大一點
[00:03:35.440 --> 00:03:38.000]  這都是我們的盼望
[00:03:38.000 --> 00:03:40.000]  但我們更加知道
[00:03:40.000 --> 00:03:42.000]  聖經給我們看到的
[00:03:42.000 --> 00:03:46.480]  我們的上帝是萬福的傳元
[00:03:46.480 --> 00:03:48.480]  在祂的裡面
[00:03:48.480 --> 00:03:54.160]  祂將一切天上地下屬靈的福氣賜給我們
[00:03:54.160 --> 00:03:56.160]  是祂給我們的應許
[00:03:56.160 --> 00:03:58.160]  祂是應許
