
[00:00:00.000 --> 00:00:05.320]  今天的題目是關於一個隱言
[00:00:05.320 --> 00:00:08.000]  一個震撼的隱言
[00:00:08.000 --> 00:00:11.600]  最近我也有機會在香港搭飛機
[00:00:11.600 --> 00:00:13.600]  回到溫哥華
[00:00:13.600 --> 00:00:18.200]  在飛機的過程中有幾個小朋友很合作
[00:00:18.200 --> 00:00:20.600]  他們輪流分了三間
[00:00:20.600 --> 00:00:22.600]  每人哭三個小時
[00:00:22.600 --> 00:00:24.600]  這個哭完三個小時
[00:00:24.600 --> 00:00:25.600]  那個又哭
[00:00:25.600 --> 00:00:26.600]  那個又哭
[00:00:26.600 --> 00:00:29.600]  令到我完全睡不著
[00:00:29.600 --> 00:00:31.600]  睡不著也是一樣好
[00:00:31.600 --> 00:00:33.600]  可以有很多時間去看電影
[00:00:33.600 --> 00:00:37.600]  很久沒有這麼暢快地看這麼多電影
[00:00:37.600 --> 00:00:39.600]  其中看了一齣電影
[00:00:39.600 --> 00:00:42.600]  在2016年12月上映
[00:00:42.600 --> 00:00:45.600]  那齣電影的英文名叫《Collectible Beauty》
[00:00:45.600 --> 00:00:49.600]  中文譯作《最美麗的安排》
[00:00:49.600 --> 00:00:52.600]  故事講到一個很有創意
[00:00:52.600 --> 00:00:55.600]  做生意很厲害
[00:00:55.600 --> 00:00:59.600]  有很多大廣告客戶的公司的總裁
[00:00:59.600 --> 00:01:01.600]  叫做Howard
[00:01:01.600 --> 00:01:03.600]  由Will Smith所飾演
[00:01:03.600 --> 00:01:08.600]  電影一開場就講一個很有自信的總裁
[00:01:08.600 --> 00:01:12.600]  就和他所有的員工演講
[00:01:12.600 --> 00:01:14.600]  他一出場就說
[00:01:14.600 --> 00:01:16.600]  What is your why?
[00:01:16.600 --> 00:01:18.600]  什麼是你的為什麼?
[00:01:18.600 --> 00:01:19.600]  Why?
[00:01:19.600 --> 00:01:22.600]  為什麼你今天起床?
[00:01:22.600 --> 00:01:26.600]  為什麼你今天選擇了今天穿的衣服?
[00:01:26.600 --> 00:01:30.600]  為什麼你吃今天早餐吃的食物?
[00:01:30.600 --> 00:01:32.600]  為什麼你今天在這裡?
[00:01:32.600 --> 00:01:35.600]  他說什麼是你人生的Big Why?
[00:01:35.600 --> 00:01:40.600]  什麼是你人生最大的為什麼?
[00:01:40.600 --> 00:01:42.600]  他說我們在這間公司
[00:01:42.600 --> 00:01:46.600]  我們不是就這樣賣一件產品這麼簡單
[00:01:46.600 --> 00:01:49.600]  我們是在這裡和人聯繫
[00:01:49.600 --> 00:01:52.600]  We are here to connect
