
[00:00:00.000 --> 00:00:04.200]  各位同學 平安 多謝師哥提醒我們
[00:00:04.200 --> 00:00:08.640]  我們當快樂 我們歡欣 今天我們一齊思想的題目呢
[00:00:08.640 --> 00:00:14.780]  就是一個很困難的題目 因為他說不單止我們平常要快樂歡欣
[00:00:14.780 --> 00:00:21.260]  我們在苦難當中仍然要喜樂 這個就難了 是吧?
[00:00:21.260 --> 00:00:25.600]  今天我們一齊來看這個聖經裏面不容易
[00:00:25.600 --> 00:00:32.780]  但是我們可以學到的態度 我相信今天在我們聚會當中
[00:00:32.780 --> 00:00:38.020]  有些頂姐妹正在苦難當中 或者你所愛的人都在苦難當中
[00:00:38.020 --> 00:00:41.920]  怎麼可以喜樂呢?不如我們一齊看聖經 好嗎?
[00:00:41.920 --> 00:00:45.300]  剛才我們所讀的就是彼得前書 今天我們定義
[00:00:45.300 --> 00:00:48.300]  用彼得前書的真理和大家一起思想
[00:00:48.300 --> 00:00:51.120]  所以大家有手頭的我們的聖經
[00:00:51.120 --> 00:00:59.400]  你可以打開唐詠聖經的1839頁的旁邊
[00:00:59.400 --> 00:01:02.480]  就是彼得前書的第一章
[00:01:02.480 --> 00:01:07.400]  今天我就定義不單止說彼得前書第一章
[00:01:07.400 --> 00:01:12.400]  我想用彼得前書其它尤其是第四章的真理
[00:01:12.400 --> 00:01:16.740]  和大家一起思想關於在彼得前書裏面
[00:01:16.740 --> 00:01:22.340]  怎麼說到苦難 怎麼在苦難當中喜樂的這個信息
[00:01:22.340 --> 00:01:24.880]  所以大家可以打開聖經
[00:01:24.880 --> 00:01:30.000]  我們可能會回到彼得前書的第四章
[00:01:30.000 --> 00:01:33.400]  剛才我們讀了第三節到第九節
[00:01:33.400 --> 00:01:37.880]  我們今天就試一下整個彼得前書來看 好嗎?
[00:01:37.880 --> 00:01:39.780]  因為我們時間不多 我們綜合了
[00:01:39.780 --> 00:01:43.080]  我們不是一句一句去解釋
[00:01:43.080 --> 00:01:46.160]  怎樣才可以在苦難當中喜樂呢?
[00:01:46.160 --> 00:01:48.160]  你告訴我
[00:01:48.160 --> 00:01:51.380]  苦難這麼苦 還要喜樂
[00:01:51.380 --> 00:01:53.180]  不過彼得前書很厲害
[00:01:53.180 --> 00:01:55.440]  它要我們有幾節聖經說
[00:01:55.440 --> 00:01:58.080]  在苦難中我們要大大的喜樂
[00:01:58.080 --> 00:02:01.460]  要特別的喜樂 有滿足的喜樂
[00:02:01.460 --> 00:02:03.920]  這些話是不是唱高調
[00:02:03.920 --> 00:02:07.800]  怎樣才可以實踐在你和我的身上 好嗎?
[00:02:07.800 --> 00:02:09.120]  今天我們就問這個問題
[00:02:09.120 --> 00:02:12.760]  看彼得前書神的話語怎麼回答
[00:02:12.760 --> 00:02:15.760]  我在看彼得前書說這些真理的時候
[00:02:15.760 --> 00:02:18.740]  我想和大家分開兩個部分來講
[00:02:18.740 --> 00:02:20.740]  很簡單 兩個部分來講
[00:02:20.740 --> 00:02:25.380]  第一個部分 彼得前書提醒我們有幾個
[00:02:25.380 --> 00:02:31.240]  尤其是有三個關於苦難的事實
[00:02:31.240 --> 00:02:34.800]  然後它又提醒我們有三方面
[00:02:34.800 --> 00:02:36.720]  關於當我們苦難的時候
[00:02:36.720 --> 00:02:39.360]  怎樣透過我們的耶穌基督
[00:02:39.360 --> 00:02:43.100]  而得到力量和喜樂
[00:02:43.100 --> 00:02:45.760]  現在我們先講前面
[00:02:45.760 --> 00:02:49.940]  彼得前書有幾個字我想大家特別留意
[00:02:49.940 --> 00:02:52.640]  當我們提到苦難的時候
[00:02:52.640 --> 00:02:55.480]  因為彼得前書肯定是說很多苦難
[00:02:55.480 --> 00:02:59.280]  老年的彼得寫彼得前書的時候
[00:02:59.280 --> 00:03:01.880]  他的讀者基督徒就在羅馬帝國
[00:03:01.880 --> 00:03:04.360]  面受很大的苦難 逼迫
[00:03:04.360 --> 00:03:06.240]  甚至生命都沒有
[00:03:06.240 --> 00:03:08.560]  都要因為他的信仰的緣故而犧牲
[00:03:08.560 --> 00:03:11.960]  所以苦難是他的讀者彼得自己最後
[00:03:11.960 --> 00:03:13.480]  也是殉道而死
[00:03:13.480 --> 00:03:17.960]  所以是他生命裏面一個很時常要考慮的問題
[00:03:17.960 --> 00:03:21.440]  作為一個基督徒我們有什麼不同去面對苦難
[00:03:21.440 --> 00:03:23.240]  但是你看看彼得前書有幾個字
[00:03:23.240 --> 00:03:25.760]  剛才說我想大家特別記住它
[00:03:25.760 --> 00:03:29.160]  今天我們記住彼得前書裏面有幾個字
[00:03:29.160 --> 00:03:33.440]  是提醒我們關於苦難的事實
[00:03:33.440 --> 00:03:36.160]  第一個 剛才我們讀那段聖經裏面
[00:03:36.160 --> 00:03:38.840]  可能你沒有留意 現在我又再提醒你
[00:03:38.840 --> 00:03:42.880]  第一章 剛才我們所讀的三至九節裏面
[00:03:42.880 --> 00:03:46.160]  我特別想和大家留意第六節
[00:03:46.160 --> 00:03:50.080]  他說因此你們要喜樂 是不是
[00:03:50.080 --> 00:03:52.880]  雖然你們在各樣的試煉中
[00:03:52.880 --> 00:03:57.880]  我想大家留意第一個字 就是或許暫時
