
[00:00:00.000 --> 00:00:03.000]  好 各位大兄姊妹
[00:00:03.000 --> 00:00:09.000]  大家 剛才經歷了下午最高峰的時候
[00:00:09.000 --> 00:00:11.000]  就是吃東西的環節
[00:00:11.000 --> 00:00:17.000]  接下來就應該更加有能力去面對接下來的環節
[00:00:17.000 --> 00:00:23.000]  接下來的環節就會講多一些利美歌頌者音樂的元素
[00:00:23.000 --> 00:00:26.000]  也就是利美歌頌者作為先知
[00:00:26.000 --> 00:00:30.000]  知道這件事的觀念究竟是怎樣去理解這件事
[00:00:30.000 --> 00:00:32.000]  OK 就是這樣
[00:00:32.000 --> 00:00:36.000]  不過去到講利美歌頌者之前
[00:00:36.000 --> 00:00:40.000]  我們就要提一提這個叫做大衛這個角色
[00:00:40.000 --> 00:00:46.000]  究竟在歷代史裡面的大衛是一個怎樣理解的大衛
[00:00:46.000 --> 00:00:50.000]  我為什麼會選取這件事跟大家講呢
[00:00:50.000 --> 00:00:56.000]  因為小弟的博士論文主要是研究一個問題
[00:00:56.000 --> 00:01:01.000]  那個問題就是在薩姆爾和獵王記
[00:01:01.000 --> 00:01:05.000]  你翻查整個薩姆爾獵王記
[00:01:05.000 --> 00:01:08.000]  你就會發現基本上沒有什麼音樂
[00:01:08.000 --> 00:01:11.000]  差不多完全沒有音樂
[00:01:11.000 --> 00:01:14.000]  除了大衛彈樹琴驅魔
[00:01:14.000 --> 00:01:18.000]  又或者他在歌在舞混第二次兩次約會
[00:01:18.000 --> 00:01:22.000]  又或者以莉莎拿個樹琴來講出先知講論之外
[00:01:22.000 --> 00:01:27.000]  基本上整個獵王記和薩姆爾
[00:01:27.000 --> 00:01:29.000]  是完全沒有音樂的元素在裡面
[00:01:29.000 --> 00:01:33.000]  但是在歷代史非常多的音樂元素裡面
[00:01:33.000 --> 00:01:37.000]  特別那些叫做利美人就整天都唱歌
[00:01:37.000 --> 00:01:40.000]  特別我們對比一些叫做平衡經文
[00:01:40.000 --> 00:01:44.000]  獵王記只有憲制沒有描述到唱歌
[00:01:44.000 --> 00:01:49.000]  但是歷代史的平衡經文就加插了很多唱歌的元素在裡面
[00:01:49.000 --> 00:01:52.000]  我就因為一個點解
[00:01:52.000 --> 00:01:54.000]  也就是歷代史為什麼這麼喜歡音樂呢
[00:01:54.000 --> 00:01:57.000]  就飛去英國那裡回答這個問題
[00:01:57.000 --> 00:02:02.000]  就因著這個點解回答了十萬字就畢業了
[00:02:02.000 --> 00:02:06.000]  所以你就能夠想像
[00:02:06.000 --> 00:02:10.000]  歷代史真是一個叫做under research的一卷書
[00:02:10.000 --> 00:02:12.000]  一個這麼簡單的點解
[00:02:12.000 --> 00:02:14.000]  全球都沒有人做過
[00:02:14.000 --> 00:02:18.000]  所以最容易拿PhD就是歷代史
[00:02:18.000 --> 00:02:22.000]  我覺得大家想試一下就試一下
[00:02:22.000 --> 00:02:28.000]  我隨便講四五個題目都可以拿到四五個PhD
[00:02:28.000 --> 00:02:33.000]  因為是一個很少人研究的一個課題
[00:02:33.000 --> 00:02:36.000]  你有興趣可以交流一下
[00:02:36.000 --> 00:02:42.000]  今天我首先要了解這個利未哥頌者之前
[00:02:42.000 --> 00:02:46.000]  我們就要了解一下這個大衛
[00:02:46.000 --> 00:02:49.000]  大衛重不重要在聖經裡面
[00:02:49.000 --> 00:02:51.000]  非常重要
[00:02:51.000 --> 00:02:57.000]  撒姆爾的大衛和歷代的大衛是非常不同的大衛
[00:02:57.000 --> 00:03:00.000]  撒姆爾的大衛像個戰士
[00:03:00.000 --> 00:03:03.000]  還有他比較奸一點
[00:03:03.000 --> 00:03:06.000]  撒姆爾的大衛
[00:03:06.000 --> 00:03:12.000]  應該說撒姆爾的大衛從來沒有說過大衛要做先知
[00:03:12.000 --> 00:03:15.000]  因為在撒姆爾裡面
[00:03:15.000 --> 00:03:20.000]  先知已經被拿丹和加特做了
[00:03:20.000 --> 00:03:23.000]  又或者撒姆爾本身就是先知
[00:03:23.000 --> 00:03:25.000]  大衛要了解上帝的心意
[00:03:25.000 --> 00:03:28.000]  上帝不會直接跟大衛說的
[00:03:28.000 --> 00:03:31.000]  就會透過先知跟大衛說
[00:03:31.000 --> 00:03:34.000]  所以在撒姆爾的大衛就像個戰士
[00:03:34.000 --> 00:03:37.000]  也像個君王
[00:03:37.000 --> 00:03:39.000]  但是在歷代的大衛
[00:03:39.000 --> 00:03:43.000]  我們發現歷代的大衛就比較正面很多
[00:03:43.000 --> 00:03:46.000]  還有好像升了等級
[00:03:46.000 --> 00:03:48.000]  他突然間做了先知
[00:03:48.000 --> 00:03:51.000]  在歷代的大衛
[00:03:51.000 --> 00:03:54.000]  還有他像個禮制的創始者
[00:03:54.000 --> 00:03:56.000]  多過一個戰士
[00:03:56.000 --> 00:04:00.000]  所以我們看一看大衛作為先知的角色
[00:04:00.000 --> 00:04:03.000]  在歷代誌裡面就比較明顯
[00:04:03.000 --> 00:04:05.000]  而大衛作為先知的角色
[00:04:05.000 --> 00:04:08.000]  就是在路加封音裡面
[00:04:08.000 --> 00:04:11.000]  都有記載大衛先知這件事
[00:04:11.000 --> 00:04:15.000]  原來老祖在歷代誌裡面就有一個development
[00:04:15.000 --> 00:04:17.000]  一個演變
[00:04:17.000 --> 00:04:19.000]  撒姆爾就早期一點
[00:04:19.000 --> 00:04:21.000]  歷代誌就兩藥中間多一點
[00:04:21.000 --> 00:04:24.000]  有一個演變就是大衛這個形象
[00:04:24.000 --> 00:04:26.000]  成為一個先知這樣的形象
[00:04:26.000 --> 00:04:29.000]  我剛才說過先知這個字
[00:04:29.000 --> 00:04:32.000]  就是代表一個代言人的意思
[00:04:32.000 --> 00:04:36.000]  恐怕大家再誤會
[00:04:36.000 --> 00:04:38.000]  先知就不是未卜先知
[00:04:38.000 --> 00:04:41.000]  也不是先過你知
[00:04:41.000 --> 00:04:43.000]  而是代言人
[00:04:43.000 --> 00:04:47.000]  因為中文譯做先知是不理想的
[00:04:47.000 --> 00:04:49.000]  應該譯做代言人會好一點
[00:04:49.000 --> 00:04:50.000]  OK嗎?
[00:04:50.000 --> 00:04:53.000]  我們看一看大衛作為先知
[00:04:53.000 --> 00:04:56.000]  我們一起翻開歷代誌上的22章
[00:04:56.000 --> 00:04:57.000]  好不好?
[00:04:57.000 --> 00:05:01.000]  大衛作為先知有什麼evidence呢?
[00:05:01.000 --> 00:05:02.000]  我們看一看
[00:05:02.000 --> 00:05:09.000]  我們一起看一看第八節
[00:05:09.000 --> 00:05:10.000]  第八節
[00:05:10.000 --> 00:05:15.000]  你的聖經歷代誌上22章第八節
[00:05:15.000 --> 00:05:17.000]  我們一起讀好不好?
[00:05:17.000 --> 00:05:18.000]  1、2、3
[00:05:18.000 --> 00:05:22.000]  好 到這裡
[00:05:22.000 --> 00:05:27.000]  「只是耶和華的話臨到我說」
[00:05:27.000 --> 00:05:29.000]  我想問是不是有些聖經版本
[00:05:29.000 --> 00:05:31.000]  這一節是第七節?
[00:05:31.000 --> 00:05:32.000]  是不是?
[00:05:32.000 --> 00:05:34.000]  是不是skip了一節?
[00:05:34.000 --> 00:05:39.000]  第七節的版本是早期的和合本
[00:05:39.000 --> 00:05:42.000]  新版本的和合本就變成第八節
