
[00:00:00.000 --> 00:00:02.000]  頂尖會議早晨
[00:00:02.000 --> 00:00:04.000]  生日快樂
[00:00:04.000 --> 00:00:07.000]  今天來到這裡是一個很特別的地方
[00:00:07.000 --> 00:00:10.000]  是因為恩福堂開埠以來
[00:00:10.000 --> 00:00:13.000]  從來沒有試過有這麼漂亮的花
[00:00:13.000 --> 00:00:17.000]  我們都不是很
[00:00:17.000 --> 00:00:19.000]  一方面因為搬來搬去
[00:00:19.000 --> 00:00:21.000]  我搬了八次才去到現在那裡
[00:00:21.000 --> 00:00:23.000]  去到現在那裡
[00:00:23.000 --> 00:00:25.000]  已經有了一些
[00:00:25.000 --> 00:00:27.000]  所以沒有特別的佈置
[00:00:27.000 --> 00:00:29.000]  可能他們覺得夠漂亮
[00:00:29.000 --> 00:00:31.000]  但其實不需要
[00:00:31.000 --> 00:00:33.000]  來到這裡真的很有心思
[00:00:33.000 --> 00:00:35.000]  五個花球
[00:00:35.000 --> 00:00:37.000]  五週年紀念
[00:00:37.000 --> 00:00:39.000]  明年恩福三十週年
[00:00:39.000 --> 00:00:43.000]  我不知道是不是有三十球
[00:00:43.000 --> 00:00:45.000]  或者什麼的
[00:00:45.000 --> 00:00:47.000]  禱告吧
[00:00:47.000 --> 00:00:49.000]  未必一定要
[00:00:49.000 --> 00:00:51.000]  心很重要
[00:00:51.000 --> 00:00:53.000]  第二樣很特別的
[00:00:53.000 --> 00:00:55.000]  來到你們當中唱第一首的詩歌
[00:00:55.000 --> 00:00:57.000]  是什麼詩歌
[00:00:57.000 --> 00:00:59.000]  榮耀歸於真神
[00:00:59.000 --> 00:01:02.000]  我想問有多少是方方那裡最會過的
[00:01:02.000 --> 00:01:04.000]  舉手
[00:01:04.000 --> 00:01:06.000]  方方那裡最會過的
[00:01:06.000 --> 00:01:08.000]  記不記得我回來第一次崇拜
[00:01:08.000 --> 00:01:10.000]  我港島的時候用什麼詩歌
[00:01:10.000 --> 00:01:15.000]  你記不記得以前最後唱的是什麼詩歌
[00:01:15.000 --> 00:01:19.000]  就是這一首詩歌
[00:01:19.000 --> 00:01:21.000]  我告訴大家我回來第一次崇拜
[00:01:21.000 --> 00:01:23.000]  因為我彈琴
[00:01:23.000 --> 00:01:25.000]  所以我知道
[00:01:25.000 --> 00:01:27.000]  這首詩歌就是榮耀歸於真神
[00:01:27.000 --> 00:01:29.000]  然後最後那首又是榮耀歸於真神
[00:01:29.000 --> 00:01:31.000]  而實際上
[00:01:31.000 --> 00:01:33.000]  這首歌是當時的招牌歌
[00:01:33.000 --> 00:01:35.000]  每個星期都會唱
[00:01:35.000 --> 00:01:37.000]  差不多會背了
[00:01:37.000 --> 00:01:39.000]  所以勾起了我很多不同的回憶
[00:01:39.000 --> 00:01:41.000]  記得我們28年前
