
[00:00:00.000 --> 00:00:02.000]  各位早晨 早晨
[00:00:02.000 --> 00:00:05.000]  剛才那些小朋友
[00:00:05.000 --> 00:00:08.000]  我想起我小時候也站過出來
[00:00:08.000 --> 00:00:10.000]  在觀禪道合一堂的時候
[00:00:10.000 --> 00:00:14.000]  已經是60年前了
[00:00:14.000 --> 00:00:17.000]  那個媽媽問我唱什麼歌
[00:00:17.000 --> 00:00:20.000]  我說 先生叫我站在那裡
[00:00:20.000 --> 00:00:22.000]  不要動就行了
[00:00:22.000 --> 00:00:25.000]  然後就說 明年就可以唱了
[00:00:25.000 --> 00:00:27.000]  不如你先站一年吧
[00:00:27.000 --> 00:00:30.000]  那時候我想四歲左右吧
[00:00:30.000 --> 00:00:32.000]  今天不知不覺
[00:00:32.000 --> 00:00:34.000]  我想將來這些小朋友
[00:00:34.000 --> 00:00:36.000]  有一天可能也在港台說話
[00:00:36.000 --> 00:00:38.000]  或者做主學先生
[00:00:38.000 --> 00:00:40.000]  他有將來的
[00:00:40.000 --> 00:00:43.000]  因為家裡最重要的是有將來
[00:00:43.000 --> 00:00:47.000]  今天題目是家家有求
[00:00:47.000 --> 00:00:50.000]  在教會我們常說
[00:00:50.000 --> 00:00:53.000]  祈求就必得著
[00:00:53.000 --> 00:00:55.000]  每個家有沒有向上的家
[00:00:55.000 --> 00:00:59.000]  每個家有沒有向上求的東西呢
[00:00:59.000 --> 00:01:01.000]  有沒有求的東西呢
[00:01:01.000 --> 00:01:03.000]  有沒有祈求呢
[00:01:03.000 --> 00:01:05.000]  如果你不祈求就相反了
[00:01:05.000 --> 00:01:07.000]  就變成了求其
[00:01:07.000 --> 00:01:09.000]  求其就隨便吧
[00:01:09.000 --> 00:01:12.000]  反正做人也是很快樂
[00:01:12.000 --> 00:01:14.000]  祈求就是你要求
[00:01:14.000 --> 00:01:17.000]  要求是一個因典
[00:01:17.000 --> 00:01:19.000]  所以今天很感謝牧師
[00:01:19.000 --> 00:01:21.000]  給我一個機會和大家分享
[00:01:21.000 --> 00:01:23.000]  這個福音主日
[00:01:23.000 --> 00:01:27.000]  這位孫女為她祖母做了手語傳譯
[00:01:27.000 --> 00:01:30.000]  我很感動 她們也很遠住的
[00:01:30.000 --> 00:01:32.000]  但她為了祖母信耶穌
[00:01:32.000 --> 00:01:34.000]  每一次去教會
[00:01:34.000 --> 00:01:37.000]  她都傳譯給她祖母聽信息
[00:01:37.000 --> 00:01:40.000]  我希望她祖母今天去信耶穌
[00:01:40.000 --> 00:01:44.000]  其實福音主日是很歡迎任何人來聽的
[00:01:44.000 --> 00:01:46.000]  不是說基督徒才聽的
[00:01:46.000 --> 00:01:48.000]  為什麼呢 其實對福音的認識
[00:01:48.000 --> 00:01:50.000]  是可以增加的
