
[00:00:00.000 --> 00:00:07.360]  我們今天就來思想聖經裡面的詩篇裡面的祈禱詩
[00:00:07.360 --> 00:00:10.000]  我們大家在一起在仰望著
[00:00:10.000 --> 00:00:12.000]  處下你自己的說話
[00:00:12.000 --> 00:00:14.000]  是天上的瑪那
[00:00:14.000 --> 00:00:18.000]  是叫人得到真正的飽足
[00:00:18.000 --> 00:00:21.000]  處下我們蒙恩
[00:00:21.000 --> 00:00:23.000]  能夠在敬拜你的時候
[00:00:23.000 --> 00:00:25.000]  去思想你的說話
[00:00:25.000 --> 00:00:29.000]  處下求你給我們內心有一種渴慕
[00:00:29.000 --> 00:00:32.000]  也都看到自己的需要
[00:00:32.000 --> 00:00:36.000]  也都望你自己聖靈的幫助
[00:00:36.000 --> 00:00:40.000]  我們不會是閉塞了心靈
[00:00:40.000 --> 00:00:42.000]  而是望你的幫助
[00:00:42.000 --> 00:00:44.000]  我們的心有空處
[00:00:44.000 --> 00:00:46.000]  可以領受你的道
[00:00:46.000 --> 00:00:49.000]  處下求你親自的私恩
[00:00:49.000 --> 00:00:51.000]  除去很多的障礙
[00:00:51.000 --> 00:00:53.000]  讓我們在你面前
[00:00:53.000 --> 00:00:54.000]  因為你的道
[00:00:54.000 --> 00:00:56.000]  我們再次蒙恩
[00:00:56.000 --> 00:01:00.000]  仰望祈禱奉耶穌成名求
[00:01:00.000 --> 00:01:02.000]  阿們
[00:01:02.000 --> 00:01:06.000]  大家再看回聖經詩篇86篇
[00:01:06.000 --> 00:01:10.000]  大家會記得這段時間
[00:01:10.000 --> 00:01:12.000]  我們一直在讀詩篇的祈禱詩
[00:01:12.000 --> 00:01:16.000]  如果大家一直數著那些日子
[00:01:16.000 --> 00:01:19.000]  你會看到現在來到第三個月了
[00:01:19.000 --> 00:01:21.000]  過去這兩個多月
[00:01:21.000 --> 00:01:25.000]  我們看了有八篇有關詩篇的祈禱詩
[00:01:25.000 --> 00:01:27.000]  今天來到第九篇了
[00:01:27.000 --> 00:01:29.000]  如果你一直小心聽的時候
[00:01:29.000 --> 00:01:31.000]  你會明白
[00:01:31.000 --> 00:01:33.000]  在很多詩篇的祈禱詩裏面
[00:01:33.000 --> 00:01:35.000]  有一些共通點
[00:01:35.000 --> 00:01:38.000]  或者我簡單和大家分享
[00:01:38.000 --> 00:01:39.000]  當你讀的時候
[00:01:39.000 --> 00:01:42.000]  你會發覺有幾個共通點
[00:01:42.000 --> 00:01:43.000]  第一
[00:01:43.000 --> 00:01:44.000]  你會發覺
[00:01:44.000 --> 00:01:47.000]  詩人常常都會很清楚地確認
[00:01:47.000 --> 00:01:50.000]  他和神之間的關係
[00:01:50.000 --> 00:01:52.000]  在禱告裏面常常會提到
[00:01:52.000 --> 00:01:54.000]  你是我的神
[00:01:54.000 --> 00:01:56.000]  你是我的上帝
[00:01:56.000 --> 00:01:58.000]  也都在表達裏面
[00:01:58.000 --> 00:02:00.000]  很清楚地知道
[00:02:00.000 --> 00:02:01.000]  既然祂是我的上帝
[00:02:01.000 --> 00:02:03.000]  祂不會忘記我
[00:02:03.000 --> 00:02:05.000]  祂不會離棄我
[00:02:05.000 --> 00:02:07.000]  因此放心
[00:02:07.000 --> 00:02:09.000]  放膽向神祈禱
[00:02:09.000 --> 00:02:11.000]  第二
[00:02:11.000 --> 00:02:13.000]  很多詩人當他們祈禱的時候
[00:02:13.000 --> 00:02:17.000]  禱告裏面一定帶著很多的感恩和讚美
[00:02:17.000 --> 00:02:20.000]  你很少見到一篇詩篇的祈禱詩
[00:02:20.000 --> 00:02:23.000]  全部都是訴求
[00:02:23.000 --> 00:02:25.000]  全部都是祈禱
