
[00:00:00.000 --> 00:00:10.000]  各位大英姐妹,各位朋友,你們好,歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.000 --> 00:00:20.000]  我們今天繼續思想希伯羅書的信息,我們去到第二講,希伯羅書第一章第五節至十二節
[00:00:20.000 --> 00:00:22.000]  當心偶像
[00:00:22.000 --> 00:00:30.000]  開始的時候請同心低頭,我們同土告,慈悲仰愛天父,我們滿心多謝你
[00:00:30.000 --> 00:00:41.000]  讓我們有神的話語作為我們生命的指引,求你藉著你的話語去提醒,勸誡,警告,安慰,篤責,改變我們
[00:00:41.000 --> 00:00:57.000]  讓我們能夠容得下你的話語在我們的生命裏面,讓我們有能力,有決心,按著你的話語去行,免得我們得罪你,祈禱奉耶穌基督命求,阿門
[00:00:57.000 --> 00:01:03.000]  我們讀啟示六的時候,我們發現一件難以置信的事
[00:01:03.000 --> 00:01:11.000]  在啟示六十九章十節和二十二章第九節,都記載到司徒約翰犯了同一個錯誤
[00:01:11.000 --> 00:01:19.000]  就是去俯伏敬拜,各個向他指示的天使,以至於這個天使用嚴厲的說話對話
[00:01:19.000 --> 00:01:31.000]  千萬不可,我與你和你的弟兄眾先知,並那些守者書上言語的人,同事作報人的,你要敬拜神
[00:01:31.000 --> 00:01:39.000]  我們奇怪,為何約翰一而再犯了這個嚴重的錯誤,去拜天使呢?
[00:01:39.000 --> 00:01:45.000]  原來在猶太人當中,對天使有一種根深蒂固的思想
[00:01:45.000 --> 00:01:50.000]  我們可以從幾方面去查究一下猶太人對天使的看法
[00:01:50.000 --> 00:02:04.000]  如果我們明白背景的時候,我們就會明白為何希伯來書第一章花這麼多時間去論述天使的問題,說耶穌基督遠遠超越天使
[00:02:04.000 --> 00:02:10.000]  我們也會明白為何約翰一而再犯了這個錯誤
[00:02:10.000 --> 00:02:18.000]  猶太人對神是非常非常尊崇,因為這個緣故他們以為神是神聖不可侵犯
[00:02:18.000 --> 00:02:24.000]  作為一個罪人的我們,是無法接近、親近神
