
[00:00:00.000 --> 00:00:06.880]  好 首先祝大家聖誕快樂
[00:00:06.880 --> 00:00:11.200]  不過今天就不會特別講一篇聖誕的信息
[00:00:11.200 --> 00:00:14.920]  繼續跟著羅馬書繼續講下去
[00:00:14.920 --> 00:00:17.680]  不過首先再次多謝施班
[00:00:17.680 --> 00:00:20.960]  其實我覺得在一站崇拜
[00:00:20.960 --> 00:00:22.320]  真的是很大的祝福
[00:00:22.320 --> 00:00:24.800]  又有風琴 香港現在很少有教會
[00:00:24.800 --> 00:00:27.080]  電子的也好 真的更加少
[00:00:27.080 --> 00:00:28.960]  電子風琴也很少有
[00:00:28.960 --> 00:00:30.800]  然後又有四部施班
[00:00:30.800 --> 00:00:33.520]  還有這樣的實力去唱Hallelujah
[00:00:33.520 --> 00:00:35.760]  不是每個施班都唱得到的
[00:00:35.760 --> 00:00:38.760]  所以你們是很祝福的
[00:00:38.760 --> 00:00:39.920]  我們是很蒙福的
[00:00:39.920 --> 00:00:41.120]  能夠有這樣的
[00:00:41.120 --> 00:00:45.800]  這麼有聖誕氣氛的一個處境裏面慶祝聖誕
[00:00:45.800 --> 00:00:48.120]  不過我們就講回這個羅馬書
[00:00:48.120 --> 00:00:48.920]  跟著次序
[00:00:48.920 --> 00:00:50.880]  我們講到第八章
[00:00:50.880 --> 00:00:53.160]  講到與聖靈的同行
[00:00:53.160 --> 00:00:55.680]  都跟聖誕有一點點關係的
[00:00:55.680 --> 00:00:58.240]  去到經文再講
[00:00:58.240 --> 00:01:02.280]  不過開始的時候我們也是先讀經文
[00:01:02.280 --> 00:01:04.360]  我們會講完整章的
[00:01:04.360 --> 00:01:08.760]  但是經文就只讀一到十七節
[00:01:08.760 --> 00:01:10.640]  我們就用啟認的方法
[00:01:10.640 --> 00:01:13.440]  我會讀單數
[00:01:13.440 --> 00:01:15.040]  跟著大家讀雙數
[00:01:15.040 --> 00:01:16.840]  就是一到十七節
[00:01:16.840 --> 00:01:18.240]  我先開始
[00:01:18.240 --> 00:01:21.080]  如今那些在基督耶穌裡的
[00:01:21.080 --> 00:01:23.160]  就不定罪了
[00:01:23.160 --> 00:01:31.760]  (念經)
[00:01:31.760 --> 00:01:34.640]  律法既因肉體軟弱
[00:01:34.640 --> 00:01:36.640]  有所不能行的
[00:01:36.640 --> 00:01:39.480]  神就差遣自己的兒子
[00:01:39.480 --> 00:01:41.760]  成為最新的形狀
[00:01:41.760 --> 00:01:43.560]  作了贖罪制
[00:01:43.560 --> 00:01:47.040]  在肉體中定了罪案
[00:01:47.040 --> 00:01:54.640]  (念經)
[00:01:54.640 --> 00:01:59.120]  因為隨從肉體的人體貼肉體的是
[00:01:59.120 --> 00:02:03.600]  隨從聖靈的人體貼聖靈的是
[00:02:03.600 --> 00:02:09.640]  (念經)
[00:02:09.640 --> 00:02:14.240]  原來體貼肉體的就是與神為仇
[00:02:14.240 --> 00:02:19.040]  因為不服神的律法也是不能服
[00:02:19.040 --> 00:02:23.560]  (念經)
[00:02:23.560 --> 00:02:27.080]  如果神的靈住在你們心裡
[00:02:27.080 --> 00:02:31.040]  你們就不屬肉體乃屬聖靈了
[00:02:31.040 --> 00:02:32.960]  人若沒有基督的靈
[00:02:32.960 --> 00:02:35.360]  就不是屬基督的
[00:02:35.360 --> 00:02:42.160]  (念經)
[00:02:42.160 --> 00:02:46.040]  然而叫耶穌從死裡復活者的靈
[00:02:46.040 --> 00:02:48.600]  若住在你們心裡
[00:02:48.600 --> 00:02:52.000]  那叫基督耶穌從死裡復活的
[00:02:52.000 --> 00:02:56.280]  也必藉著住在你們心裡的聖靈
[00:02:56.280 --> 00:03:01.160]  使你們必死的身體又活過來
[00:03:01.160 --> 00:03:08.480]  (念經)
[00:03:08.480 --> 00:03:12.520]  你們若順從肉體活著必要死
[00:03:12.520 --> 00:03:17.920]  若靠著聖靈致死身體的惡行必要活著
[00:03:17.920 --> 00:03:22.920]  (念經)
[00:03:22.920 --> 00:03:26.240]  你們所受的不是勞瀑的心
[00:03:26.240 --> 00:03:27.760]  仍舊害怕
[00:03:27.760 --> 00:03:30.400]  所受的乃是兒子的心
[00:03:30.400 --> 00:03:33.840]  因此我們呼叫「阿爸 父」
[00:03:33.840 --> 00:03:38.280]  (念經)
[00:03:38.280 --> 00:03:40.400]  我們一起讀第十七節
[00:03:40.400 --> 00:03:53.360]  (念經)
[00:03:53.360 --> 00:03:55.560]  我們禱告先解釋一下
[00:03:55.560 --> 00:03:57.640]  今天我穿了全黑
[00:03:57.640 --> 00:03:58.800]  我都很少穿的
[00:03:58.800 --> 00:04:00.440]  其實是有意思的
[00:04:00.440 --> 00:04:02.720]  因為大家如果有留意新聞
[00:04:02.720 --> 00:04:04.520]  可能知道上兩個星期
[00:04:04.520 --> 00:04:07.720]  成都的秋雨聖約教會
[00:04:07.720 --> 00:04:11.960]  有大約100個教會的領袖被公安抓了
[00:04:11.960 --> 00:04:15.160]  部分就被人打過了
[00:04:15.160 --> 00:04:16.520]  不過被放出來了
[00:04:16.520 --> 00:04:22.200]  黃而牧師和部分的領袖還依然在拘禁
[00:04:22.200 --> 00:04:25.880]  據聞黃牧師會被控訴
[00:04:25.880 --> 00:04:29.120]  一些類似國罪的事情
[00:04:29.120 --> 00:04:31.040]  命運未卜
[00:04:31.040 --> 00:04:35.520]  所以我們有一班教牧的同工
[00:04:35.520 --> 00:04:37.240]  一起相約
