
[00:00:00.000 --> 00:00:03.400]  大家如果有聖經,我們會遣導文素記一段經文
[00:00:03.400 --> 00:00:07.000]  大家如果是小朋友聽過聖經故事
[00:00:07.000 --> 00:00:09.400]  都大概聽過這個片段
[00:00:09.400 --> 00:00:12.200]  所以我們不會將經文讀出
[00:00:12.200 --> 00:00:15.600]  只是介紹一下故事的大綱
[00:00:15.600 --> 00:00:18.200]  文素記第十三章
[00:00:18.200 --> 00:00:22.400]  十二個探子探路的故事
[00:00:22.400 --> 00:00:27.200]  事情發生於在過紅海之後
[00:00:27.200 --> 00:00:30.600]  進入流乃爾密之地之前
[00:00:30.600 --> 00:00:33.200]  中間在曠野的時候
[00:00:33.200 --> 00:00:36.800]  摩西差派十二個探子去探路
[00:00:36.800 --> 00:00:39.200]  頭幾節詳細介紹
[00:00:39.200 --> 00:00:42.800]  每一個探子代表每一個支派
[00:00:42.800 --> 00:00:44.800]  所以探路的時候
[00:00:44.800 --> 00:00:48.600]  一跳就跳到第25節
[00:00:48.600 --> 00:00:50.400]  過了四十天
[00:00:50.400 --> 00:00:52.800]  他們窺探那個地回來
[00:00:52.800 --> 00:00:55.800]  就發覺原來那個地非常好
[00:00:55.800 --> 00:00:57.400]  所以第27節
[00:00:57.400 --> 00:01:00.200]  真是流乃爾密之地
[00:01:00.200 --> 00:01:02.000]  但是
[00:01:02.000 --> 00:01:04.000]  看到那些人
[00:01:04.000 --> 00:01:06.400]  很強壯
[00:01:06.400 --> 00:01:08.400]  誠邑堅固
[00:01:08.400 --> 00:01:10.400]  他們就開始害怕
[00:01:10.400 --> 00:01:14.000]  所以跳到我們看第33節
[00:01:14.000 --> 00:01:16.400]  相比那些巨人來說
[00:01:16.400 --> 00:01:20.400]  我們好像裝猛一樣
[00:01:20.400 --> 00:01:24.400]  這段經文大家都聽過了
[00:01:24.400 --> 00:01:26.400]  第一個問題就是
[00:01:26.400 --> 00:01:29.000]  究竟探子裡面
[00:01:29.000 --> 00:01:33.000]  整個故事誰是主角
[00:01:33.000 --> 00:01:36.000]  我們知道有十個中的
[00:01:36.000 --> 00:01:37.600]  兩個奸的
[00:01:37.600 --> 00:01:39.800]  其實調轉考考大家
[00:01:39.800 --> 00:01:41.600]  其實十個是奸的
[00:01:41.600 --> 00:01:44.200]  回來就說不是啊不要進去
[00:01:44.200 --> 00:01:47.400]  兩個我們覺得是好的角色
[00:01:47.400 --> 00:01:49.600]  不是啊也要上去
[00:01:49.600 --> 00:01:52.600]  所以十個和兩個比較
[00:01:52.600 --> 00:01:55.800]  有沒有人記得那兩個是誰
[00:01:55.800 --> 00:01:58.600]  那兩個說要上去
[00:01:58.600 --> 00:02:01.000]  約書亞和誰
[00:02:01.000 --> 00:02:02.200]  加勒
[00:02:02.200 --> 00:02:05.000]  很多人都聽過這個故事
[00:02:05.000 --> 00:02:09.800]  兩個當中誰是主角
[00:02:09.800 --> 00:02:11.600]  多數人都說是約書亞
[00:02:11.600 --> 00:02:12.600]  為什麼
[00:02:12.600 --> 00:02:15.400]  如果你揭聖經或者電話揭得快
[00:02:15.400 --> 00:02:17.000]  我們揭回頭兩章
[00:02:17.000 --> 00:02:19.000]  第十一章的經文
[00:02:19.000 --> 00:02:20.600]  原來這段聖經是介紹
[00:02:20.600 --> 00:02:23.200]  約書亞的重要性
