
[00:00:00.000 --> 00:00:04.320]  很感謝簡弟兄的很真誠的分享
[00:00:04.320 --> 00:00:07.600]  因為有可能在全世界
[00:00:07.600 --> 00:00:12.680]  很多人都說喜事 報喜不報哀
[00:00:12.680 --> 00:00:17.200]  但是一講到哀 多數都覺得沒得解釋的
[00:00:17.200 --> 00:00:20.080]  很慘的 但是很難在教會
[00:00:20.080 --> 00:00:22.680]  你聽到哀哭變成跳舞
[00:00:22.680 --> 00:00:26.560]  這麼不好的事情 但既然講到哀哭
[00:00:26.560 --> 00:00:31.760]  好像沒事的 起碼他繼續生活下去
[00:00:31.760 --> 00:00:35.000]  起碼繼續生活下去 我是做精神科
[00:00:35.000 --> 00:00:38.960]  當我看這些個案的時候
[00:00:38.960 --> 00:00:42.960]  很多人的眼淚是停不了的
[00:00:42.960 --> 00:00:44.960]  因為已經患了抑鬱症
[00:00:44.960 --> 00:00:46.960]  好像開了水口一樣
[00:00:46.960 --> 00:00:50.160]  直下來一條線這樣下來 很厲害的
[00:00:50.160 --> 00:00:54.160]  男人 男人的眼淚是停不了的
[00:00:54.160 --> 00:00:59.160]  很厲害的 男人 怎麼治療他呢
[00:00:59.160 --> 00:01:04.160]  血清素是可以幫你減低抑鬱
[00:01:04.160 --> 00:01:06.160]  問題是不是馬上有效
[00:01:06.160 --> 00:01:11.160]  就算老實講止痛藥不一定止痛
[00:01:11.160 --> 00:01:13.160]  很多人以為止痛藥
[00:01:13.160 --> 00:01:15.160]  吃了兩粒 打了針就好了
[00:01:15.160 --> 00:01:18.160]  其實沒什麼效果的
[00:01:18.160 --> 00:01:21.160]  對很多人來說 仍然是痛的
[00:01:21.160 --> 00:01:25.160]  所以其實真的有辦法能夠治好
[00:01:25.160 --> 00:01:29.160]  只有今晚你聽到的就是耶穌的答案
[00:01:29.160 --> 00:01:32.160]  今晚我用五段經文 很短
[00:01:32.160 --> 00:01:36.160]  但是給你想一個意見 給你參考一下
[00:01:36.160 --> 00:01:40.160]  我看到我們海報講那個易中樂的時候
[00:01:40.160 --> 00:01:42.160]  在講「仇虎」這個字
[00:01:42.160 --> 00:01:47.160]  但老實講 仇虎是忠誠的
[00:01:47.160 --> 00:01:50.160]  仇虎不一定不好
[00:01:50.160 --> 00:01:54.160]  很多智慧都是仇虎想出來的
[00:01:54.160 --> 00:01:56.160]  詩人 藝術家
[00:01:56.160 --> 00:02:00.160]  很多的作品都是仇虎裏面產生出來的
[00:02:00.160 --> 00:02:02.160]  所以不要小看
[00:02:02.160 --> 00:02:07.160]  但仇虎一定要有一個把握
[00:02:07.160 --> 00:02:10.160]  比如剛才大家聽到那個苦難的經驗
[00:02:10.160 --> 00:02:13.160]  其實如果你遇到 你應該怎麼想呢
[00:02:13.160 --> 00:02:18.160]  你想一下 如果人世間有十樣苦難
