
[00:00:00.000 --> 00:00:08.440]  究竟2021年和以後的日子會是怎樣呢?
[00:00:08.440 --> 00:00:11.780]  其實我是比較樂觀的
[00:00:11.780 --> 00:00:16.380]  縱然我們現在仍然聽到很多不好的消息
[00:00:16.380 --> 00:00:22.520]  我的樂觀不是因為今天我想和大家做一些時事評論
[00:00:22.520 --> 00:00:30.720]  或者是世俗、局勢的觀察、預測之類
[00:00:30.720 --> 00:00:38.000]  我自己從這麼多年來,我自己對人性的了解
[00:00:38.000 --> 00:00:41.400]  或者可以說是對歷史的觀察
[00:00:41.400 --> 00:00:47.700]  我反而對過去這一年這麼多困難的疫情
[00:00:47.700 --> 00:00:53.080]  和人與人之間的鬥爭、國家與國家之間的分裂
[00:00:53.080 --> 00:00:58.440]  我看著將來的日子,我為什麼會樂觀呢?
[00:00:58.440 --> 00:01:01.780]  我在預備的時候寫了幾句說話
[00:01:01.780 --> 00:01:04.080]  不如讀出來就好過了
[00:01:04.080 --> 00:01:08.440]  我們在這裡說,比較可以節省時間
[00:01:08.440 --> 00:01:14.840]  我是這麼寫的,我相信世間的事物都有一種鐘擺效應
[00:01:14.840 --> 00:01:18.680]  我們中國人有歷經所說的,「匹極太內」
[00:01:18.680 --> 00:01:21.500]  「既濟會未濟」
[00:01:21.500 --> 00:01:26.360]  每一樣東西去到盡的時候,會反過來
[00:01:26.360 --> 00:01:35.320]  在過度的激情憤慨或者浪漫的豪情壯志之後
[00:01:35.320 --> 00:01:41.200]  我們就會發現原來人世間的狡猾和奸惡
[00:01:41.200 --> 00:01:45.800]  是仍然沒有被消滅的
[00:01:45.800 --> 00:01:51.960]  而且我又看見人世間仍然有真情和偉大
[00:01:51.960 --> 00:01:58.600]  這些東西在最困難的日子裡,始終不會被磨滅的
[00:01:58.600 --> 00:02:02.700]  所以我就開始明白,我們也應該明白
[00:02:02.700 --> 00:02:07.820]  當盡情的破壞之後
[00:02:07.820 --> 00:02:11.920]  發現收不到預期的效果
[00:02:11.920 --> 00:02:15.760]  在沒有結果的鬥爭之後
