
[00:00:00.000 --> 00:00:14.000]  剛才大家看過何爾思教士的生平很短的短劇叫《幻燈》
[00:00:14.000 --> 00:00:23.000]  還是叫做多媒體technicolor
[00:00:23.000 --> 00:00:30.000]  何爾思教士在中國傳道的時候
[00:00:30.000 --> 00:00:39.000]  72年之前他的孤兒院就收養了我父親
[00:00:39.000 --> 00:00:43.000]  所以如果沒有何教士來中國
[00:00:43.000 --> 00:00:45.000]  我今天不會站在你們面前
[00:00:45.000 --> 00:00:50.000]  我對何教士最深刻的印象
[00:00:50.000 --> 00:00:52.000]  最近有人問起我
[00:00:52.000 --> 00:00:57.000]  我想起我小時候竟然叫他婆婆
[00:00:57.000 --> 00:00:59.000]  叫他何教士婆婆
[00:00:59.000 --> 00:01:03.000]  我完全不覺得他是一個美國人
[00:01:03.000 --> 00:01:06.000]  我一直的印象
[00:01:06.000 --> 00:01:13.000]  他都是說他帶著南海口音的廣東話
[00:01:13.000 --> 00:01:20.000]  這麼多年來我從來沒聽過他說英文
[00:01:20.000 --> 00:01:27.000]  一個史丹佛大學的女孩子來到中國一生
[00:01:27.000 --> 00:01:30.000]  成為了一個中國人
[00:01:30.000 --> 00:01:36.000]  他的生命留下很多的影響
[00:01:36.000 --> 00:01:40.000]  其實他家的名字很厲害
[00:01:40.000 --> 00:01:43.000]  有沒有留意到?希治閣
[00:01:43.000 --> 00:01:45.000]  你看不看電影?
[00:01:45.000 --> 00:01:50.000]  他自己的名字當然是路德
[00:01:50.000 --> 00:01:52.000]  Ruth Hitchcock
[00:01:52.000 --> 00:01:55.000]  所以和我們今天要讀的舊約聖經
[00:01:55.000 --> 00:01:58.000]  都有間接的關係
[00:01:58.000 --> 00:02:02.000]  他一生的傳記有中文版的
[00:02:02.000 --> 00:02:05.000]  有沒有人讀過?誰掌管明天
[00:02:05.000 --> 00:02:08.000]  如果你沒讀過
[00:02:08.000 --> 00:02:10.000]  你應該多少錢都買
[00:02:10.000 --> 00:02:14.000]  因為是我和太太拍拖之前翻譯的
[00:02:14.000 --> 00:02:21.000]  負責猜全部的請
[00:02:21.000 --> 00:02:24.000]  有本樣本在這裡
[00:02:24.000 --> 00:02:25.000]  不要英文的那本
[00:02:25.000 --> 00:02:27.000]  英文的那本不關我們的事
[00:02:27.000 --> 00:02:30.000]  中文的那本可以
[00:02:30.000 --> 00:02:36.000]  值得你買一本來看
[00:02:36.000 --> 00:02:39.000]  教會或者可以一起訂
[00:02:39.000 --> 00:02:40.000]  未必有折扣
[00:02:40.000 --> 00:02:43.000]  因為要在Edmonton宣導書局訂過來
[00:02:43.000 --> 00:02:49.000]  不過是很真實的一個生命
[00:02:49.000 --> 00:02:53.000]  你在他的身上
[00:02:53.000 --> 00:02:55.000]  你可以見到他背後
[00:02:55.000 --> 00:02:58.000]  他母親的敬虔
[00:02:58.000 --> 00:03:01.000]  有這樣的媽媽
[00:03:01.000 --> 00:03:03.000]  就有這樣的女兒
[00:03:03.000 --> 00:03:08.000]  這個真是一個很深刻的見證
[00:03:08.000 --> 00:03:11.000]  我們今天要看的是路德的第二章
[00:03:11.000 --> 00:03:13.000]  剛才已經讀完了
[00:03:13.000 --> 00:03:15.000]  你記得我們提過
[00:03:15.000 --> 00:03:18.000]  在《舊約聖經》裡面的人物
[00:03:18.000 --> 00:03:21.000]  比故事重要
[00:03:21.000 --> 00:03:26.000]  《舊約聖經》從來都沒有特意去
[00:03:26.000 --> 00:03:31.000]  製造一些很曲折離奇的情節
[00:03:31.000 --> 00:03:34.000]  他不是拍荷里活大電影
[00:03:34.000 --> 00:03:36.000]  就是一個一個的人
[00:03:36.000 --> 00:03:38.000]  他們很普通
[00:03:38.000 --> 00:03:40.000]  很平凡
[00:03:40.000 --> 00:03:43.000]  日常的經歷
[00:03:43.000 --> 00:03:45.000]  我們怎樣去認識這些人物呢
[00:03:45.000 --> 00:03:49.000]  其實和我們今天認識新朋友
[00:03:49.000 --> 00:03:50.000]  都是一樣
[00:03:50.000 --> 00:03:52.000]  和他聊天
[00:03:52.000 --> 00:03:54.000]  聽他講話
[00:03:54.000 --> 00:03:57.000]  你是只能夠透過聊天
[00:03:57.000 --> 00:04:00.000]  這樣去認識一個人
[00:04:00.000 --> 00:04:03.000]  所以你要學怎樣聽別人講話
[00:04:03.000 --> 00:04:06.000]  有些人講話繞很大個圈
[00:04:06.000 --> 00:04:07.000]  繞了一大輪
[00:04:07.000 --> 00:04:09.000]  他都不講他要講的那樣東西
[00:04:09.000 --> 00:04:10.000]  你要聽到的
[00:04:10.000 --> 00:04:12.000]  如果你跟著他繞一圈
[00:04:12.000 --> 00:04:13.000]  就要走很久了
[00:04:13.000 --> 00:04:15.000]  有些人講話很直接
[00:04:15.000 --> 00:04:16.000]  你都還沒站穩
