
[00:00:00.000 --> 00:00:09.000]  今晚的講座除了需要講義還需要有一本聖經
[00:00:09.000 --> 00:00:13.000]  我們與心一同低頭祈禱
[00:00:13.000 --> 00:00:18.000]  多謝天父今晚你教罪我們弟兄姊妹
[00:00:18.000 --> 00:00:21.000]  回到你的施恩座前
[00:00:21.000 --> 00:00:25.000]  我們傳一個恭敬謙卑的心
[00:00:25.000 --> 00:00:29.000]  來一同打開你的懷與
[00:00:29.000 --> 00:00:33.000]  懇求真理的聖靈與我們同在
[00:00:33.000 --> 00:00:35.000]  保守我們的心
[00:00:35.000 --> 00:00:38.000]  打開我們的心竅
[00:00:38.000 --> 00:00:40.000]  讓我們能夠明白聖經
[00:00:40.000 --> 00:00:43.000]  奉耶穌基督聖名祈福
[00:00:43.000 --> 00:00:44.000]  Amen
[00:00:44.000 --> 00:00:48.000]  舊約的先知
[00:00:48.000 --> 00:00:52.000]  我想沒有誰不認識他們
[00:00:52.000 --> 00:00:55.000]  我記得在香港
[00:00:55.000 --> 00:00:59.000]  在97之前還未回歸
[00:00:59.000 --> 00:01:05.000]  新華社當時還是叫統戰部
[00:01:05.000 --> 00:01:07.000]  現在改了名字
[00:01:07.000 --> 00:01:10.000]  現在不叫統戰部了
[00:01:10.000 --> 00:01:12.000]  現在叫協調部
[00:01:12.000 --> 00:01:13.000]  好聽了很多
[00:01:13.000 --> 00:01:14.000]  友善了很多
[00:01:14.000 --> 00:01:17.000]  遲些可能十年後改為團契部
[00:01:17.000 --> 00:01:22.000]  當時還是統戰部的幹部
[00:01:22.000 --> 00:01:26.000]  有特別主管宗教事務
[00:01:26.000 --> 00:01:29.000]  很流行請人吃飯
[00:01:29.000 --> 00:01:34.000]  我們是神學院的老師
[00:01:34.000 --> 00:01:38.000]  他也請我們下午喝茶
[00:01:38.000 --> 00:01:40.000]  有他講的沒有我們講的
[00:01:40.000 --> 00:01:43.000]  有機會到我們發問
[00:01:43.000 --> 00:01:47.000]  有同工當時完全不明白
[00:01:47.000 --> 00:01:49.000]  甚麼一國兩制
[00:01:49.000 --> 00:01:51.000]  你制我不制
[00:01:51.000 --> 00:01:56.000]  所以很多問題都要問
[00:01:56.000 --> 00:01:58.000]  其中問到回歸之後
[00:01:58.000 --> 00:02:04.000]  香港很多學校、醫院、社會服務
[00:02:04.000 --> 00:02:06.000]  都是教會辦的
[00:02:06.000 --> 00:02:08.000]  到時會否改?
[00:02:08.000 --> 00:02:11.000]  要否收歸國有?
[00:02:11.000 --> 00:02:16.000]  因為教育是很敏感的項目
[00:02:16.000 --> 00:02:23.000]  下一代青少年的心思在你手上
[00:02:23.000 --> 00:02:26.000]  中國49年後
[00:02:26.000 --> 00:02:29.000]  很多基督教大學
[00:02:29.000 --> 00:02:33.000]  中國政府都全部收回
[00:02:33.000 --> 00:02:34.000]  香港呢?
[00:02:34.000 --> 00:02:37.000]  我問完這個問題之後
[00:02:37.000 --> 00:02:43.000]  連這位共產黨資深幹部都說
[00:02:43.000 --> 00:02:49.000]  你們是教會先知的工作
[00:02:49.000 --> 00:02:51.000]  厲害
