
[00:00:00.000 --> 00:00:07.100]  非常感激 教會給我這個機會
[00:00:07.100 --> 00:00:11.660]  我很感謝神今天在這裡和大家分享
[00:00:11.660 --> 00:00:14.600]  其中一樣剛剛發生的就是
[00:00:14.600 --> 00:00:16.980]  我今天非常的淪盡
[00:00:16.980 --> 00:00:19.720]  第一 我忘記帶手提電話
[00:00:19.720 --> 00:00:22.260]  你知道沒有手提電話真的是很大的一件事
[00:00:22.260 --> 00:00:27.540]  接著我今天早上去一間香港製藥的教會講道
[00:00:27.540 --> 00:00:32.700]  我放下了我的手指 放下了我的USB
[00:00:32.700 --> 00:00:36.920]  接著我今天下午的講座的檔案就在那裡
[00:00:36.920 --> 00:00:40.420]  然後我失去了電話 我只記得我太太的電話
[00:00:40.420 --> 00:00:42.440]  但是我太太經常都聽不到我的電話
[00:00:42.440 --> 00:00:44.160]  不知道女士經常都聽不到我的電話
[00:00:44.160 --> 00:00:50.580]  不好意思 所以我全部都不知道找誰
[00:00:50.580 --> 00:00:55.480]  但是感謝著 感謝著 多謝弟兄額外的幫忙
[00:00:55.480 --> 00:00:58.880]  讓我今天可以和大家分享
[00:00:58.880 --> 00:00:59.920]  所以我很珍惜這段時間
[00:00:59.920 --> 00:01:03.820]  因為我知道神給的恩典給我和大家分享
[00:01:03.820 --> 00:01:06.660]  我其實很怕講這個題目的 我想推的
[00:01:06.660 --> 00:01:09.380]  因為我覺得我不是一個好的人選
[00:01:09.380 --> 00:01:11.320]  我最近才在講我的時間管理很差
[00:01:11.320 --> 00:01:14.020]  希望我太太更加清楚知道我的時間管理很差
[00:01:14.020 --> 00:01:16.060]  所以我不是很想講的
[00:01:16.060 --> 00:01:19.160]  不過通常這個題目有兩個原因請我講完的
[00:01:19.160 --> 00:01:21.280]  一是它講得很好 二是它講得很差
[00:01:21.280 --> 00:01:25.580]  我是後者 讓我有機會示範一個怎樣的差法
[00:01:25.580 --> 00:01:28.600]  第一方面你會開心很多 原來它都這麼差
[00:01:28.600 --> 00:01:31.200]  你會高興很多 第二就是
[00:01:31.200 --> 00:01:34.940]  你可以從一個錯誤當中學習 反面的教材
[00:01:34.940 --> 00:01:37.940]  其實我這樣講不是一些客套的說話
[00:01:37.940 --> 00:01:41.620]  你一會兒會知道的 我一會兒會講一些故事給大家聽
[00:01:41.620 --> 00:01:45.100]  我今天打算有兩個部分的時間
[00:01:45.100 --> 00:01:47.260]  所以上面的部分我先講一個理論
[00:01:47.260 --> 00:01:48.760]  我對於時間管理的看法
[00:01:48.760 --> 00:01:51.380]  可能和一些人的看法有些不同 我想講一下我的理論
[00:01:51.380 --> 00:01:52.880]  我的理論是怎麼講的
[00:01:52.880 --> 00:01:56.660]  那裡我會用多一點時間
[00:01:56.660 --> 00:02:00.520]  所以時間未必像這裡所設計的均勻
[00:02:00.520 --> 00:02:02.920]  可能上面的部分我會用多10分鐘的時間
[00:02:02.920 --> 00:02:05.180]  下面的部分我會講一下怎麼實踐
[00:02:05.180 --> 00:02:07.220]  我講一些故事和大家聊聊天
[00:02:07.220 --> 00:02:11.060]  接著就是Q&A 所以我分享的時候
[00:02:11.060 --> 00:02:13.900]  你可以隨時加入的 將那兩個時間混在一起就可以
[00:02:13.900 --> 00:02:16.960]  我講一下我的掙扎 一些建議
[00:02:16.960 --> 00:02:18.960]  你又講一下你的掙扎 你的建議
[00:02:18.960 --> 00:02:21.840]  可能大家彼此有些交流 好不好?
[00:02:21.840 --> 00:02:25.620]  典禮堂雖然不是我自己的模樣
[00:02:25.620 --> 00:02:27.440]  也不是播道會的教會
[00:02:27.440 --> 00:02:30.960]  但是不知道為什麼我來得太多了
[00:02:30.960 --> 00:02:33.180]  我的秘書跟我說 你是不是去得太多了
[00:02:33.180 --> 00:02:35.320]  我說其實也是的
[00:02:35.320 --> 00:02:40.800]  所以就多謝你們給我機會
[00:02:40.800 --> 00:02:43.000]  我都不記得站在這裡多少次了
[00:02:43.000 --> 00:02:45.000]  起碼已經是四、五次了
[00:02:45.000 --> 00:02:48.320]  所以多謝大家給我機會和大家分享
[00:02:48.320 --> 00:02:52.760]  基督徒時間管理如何從忙碌中保持平衡生活
[00:02:52.760 --> 00:02:54.600]  是一個很大的課題
[00:02:54.600 --> 00:02:57.280]  坦白講沒有一個絕對答案
[00:02:57.280 --> 00:03:02.620]  我越來越相信沒有一個叫做時間管理的模特
[00:03:02.620 --> 00:03:07.280]  所以每個人跟著做就對了 我不相信這件事
[00:03:07.280 --> 00:03:12.960]  時間管理對香港人來說當然是一個很大的課題
[00:03:12.960 --> 00:03:14.800]  也是很實際的課題
[00:03:14.800 --> 00:03:19.400]  可能你會覺得是不是這樣管理時間呢?
[00:03:19.400 --> 00:03:21.800]  又或者有些人剛剛唱相反
[00:03:21.800 --> 00:03:24.220]  覺得基督徒應該是這樣的
[00:03:24.220 --> 00:03:26.100]  就不像剛才那一幅畫那樣
[00:03:26.100 --> 00:03:31.120]  應該是很享受安息 很享受平靜安穩的
[00:03:31.120 --> 00:03:33.620]  我不知道你覺得喜歡哪一樣是你的人生呢?
[00:03:33.620 --> 00:03:36.560]  事實上這個課題大到一個題目 大到一個地步
[00:03:36.560 --> 00:03:39.340]  有些人移民都是為了這樣
[00:03:39.340 --> 00:03:40.900]  這個不是現在的事
[00:03:40.900 --> 00:03:47.760]  大約在80年代我們教會一個很熱心的弟兄
[00:03:47.760 --> 00:03:50.460]  但是他很不喜歡香港這種壓迫的生活
[00:03:50.460 --> 00:03:53.900]  所以他最終去了澳洲一些小的鎮裡住
[00:03:53.900 --> 00:03:57.420]  他後來問他為什麼你要選擇移民呢?
[00:03:57.420 --> 00:03:59.520]  他說因為我不想做執事
[00:03:59.520 --> 00:04:06.540]  我希望沒有影響到你們教會人手不足的問題
[00:04:06.540 --> 00:04:09.900]  他說如果我在教會這麼久一定很難推得掉的
[00:04:09.900 --> 00:04:12.720]  我一定會做教會的執事 但是他說我不想
[00:04:12.720 --> 00:04:15.440]  我是想裡面多一些空間
[00:04:15.440 --> 00:04:19.760]  所以你看到這個課題可以影響很大
[00:04:19.760 --> 00:04:22.820]  不僅僅是說我的時間管理得好不好
[00:04:22.820 --> 00:04:26.020]  可能影響到你一輩子在哪裡生活
[00:04:26.020 --> 00:04:30.080]  甚至你家庭在哪裡落地生根等等
[00:04:30.080 --> 00:04:32.240]  是一個很大的課題
[00:04:32.240 --> 00:04:34.180]  首先我講一下我對這個題目的看法
[00:04:34.180 --> 00:04:35.580]  我和一些人不同的看法
[00:04:35.580 --> 00:04:39.740]  第一 我覺得時間管理不是什麼
[00:04:39.740 --> 00:04:43.380]  平衡生活並不是等於均衡
[00:04:43.380 --> 00:04:45.580]  就是說如果你想著是八小時工作
[00:04:45.580 --> 00:04:49.740]  八小時休息 八小時娛樂或者其它時間
[00:04:49.740 --> 00:04:52.040]  我是不贊成這個觀念的
[00:04:52.040 --> 00:04:54.040]  所以有些人說我盡量希望平衡
[00:04:54.040 --> 00:04:55.540]  就是這裡cut一點 這裡cut一點
[00:04:55.540 --> 00:04:59.020]  以後呢 以致我們叫平衡生活
[00:04:59.020 --> 00:05:00.980]  我說為什麼我不覺得
[00:05:00.980 --> 00:05:04.760]  這個是基督徒時間管理的一個模式
[00:05:04.760 --> 00:05:06.360]  或者這個叫平衡生活呢?
[00:05:06.360 --> 00:05:10.140]  很簡單 你看耶穌就不是這樣了 一起讀一次
[00:05:10.140 --> 00:05:13.240]  「次日早晨天未亮的時候
[00:05:13.240 --> 00:05:16.240]  耶穌起來到曠野地方去
[00:05:16.240 --> 00:05:20.140]  在那裡禱告:西門和同伴。」
[00:05:20.140 --> 00:05:21.460]  如果留意這幾個上下文
[00:05:21.460 --> 00:05:24.020]  你知道上文是在講耶穌在安息日
[00:05:24.020 --> 00:05:26.280]  整天上午講道 下午探訪
[00:05:26.280 --> 00:05:30.320]  然後晚上醫病 整天很勞碌工作
[00:05:30.320 --> 00:05:33.160]  星期一 或者我們用今天上課講星期一
[00:05:33.160 --> 00:05:35.900]  或者第二天假期呢 祂應該休息的
[00:05:35.900 --> 00:05:39.620]  但是祂次日早晨天未亮的時候就在祈禱
[00:05:39.620 --> 00:05:42.680]  那就是不夠睡了 那就是不平衡了
[00:05:42.680 --> 00:05:45.480]  就是不夠時間休息了 要從今天上課講
[00:05:45.480 --> 00:05:49.300]  所以我的看法 我覺得在聖經裡面教導
[00:05:49.300 --> 00:05:50.700]  耶穌留下來的榜樣
[00:05:50.700 --> 00:05:53.820]  所謂平衡的生活並不是均衡
[00:05:53.820 --> 00:05:57.120]  這個可能對一些人來說是比較困難的
[00:05:57.120 --> 00:06:00.420]  不單止耶穌作為人在世上這麼生活
[00:06:00.420 --> 00:06:01.720]  你看保羅也是這麼說的
[00:06:01.720 --> 00:06:03.320]  請一起讀出這段經文
[00:06:03.320 --> 00:06:07.000]  弟兄們 你們紀念我們的辛苦
[00:06:07.000 --> 00:06:10.660]  但你們也祈求 全心全意保佑你們的後裔
[00:06:10.660 --> 00:06:13.160]  免得有機會你們每一天受虐
[00:06:13.160 --> 00:06:17.040]  保障父親代自己子女的基督
[00:06:17.040 --> 00:06:19.840]  保羅說他作弓是怎麼樣呢?
[00:06:19.840 --> 00:06:22.260]  晝夜作弓 那就不均衡了
[00:06:22.260 --> 00:06:25.160]  就是日夜顛倒 日夜不睡覺
[00:06:25.160 --> 00:06:28.300]  有時候他還說他眼中帶著眼淚
[00:06:28.300 --> 00:06:30.760]  然後為他們切切的禱告等等
[00:06:30.760 --> 00:06:35.560]  好像父親代兒女 那你就很容易明白了
[00:06:35.560 --> 00:06:41.800]  沒有一個盡責的父母是講均衡生活的
[00:06:41.800 --> 00:06:45.180]  如果這樣 你的弟弟基本上就有很大的問題了
[00:06:45.180 --> 00:06:47.460]  我下班了還哭 你哭就自己哭吧
[00:06:47.460 --> 00:06:52.920]  這個父母很有問題 是沒有那個界限的
[00:06:52.920 --> 00:06:54.920]  當我今天這麼說這番話的時候
[00:06:54.920 --> 00:06:56.840]  是一個不受歡迎的說話
[00:06:56.840 --> 00:06:58.540]  很多人覺得你有沒有搞錯
[00:06:58.540 --> 00:07:00.800]  這些是什麼時代講這些東西?
[00:07:00.800 --> 00:07:05.760]  現在的時代講求家庭、工作、身體
[00:07:05.760 --> 00:07:08.400]  或者你自己個人的空間
[00:07:08.400 --> 00:07:13.340]  你說晝夜作弓 天未亮就起來
[00:07:13.340 --> 00:07:15.720]  是不是進入50年代了?
[00:07:15.720 --> 00:07:20.460]  我只是在說這是耶穌和使徒的榜樣
[00:07:20.460 --> 00:07:24.140]  如果你想爭辯的話 不如你跟耶穌和使徒爭辯
[00:07:24.140 --> 00:07:26.480]  他們下來是這樣生活的
[00:07:26.480 --> 00:07:29.780]  但是他們這樣的生活是不是等於平衡生活呢?
[00:07:29.780 --> 00:07:34.500]  也不是 不過我們對平衡的觀念要重新再理解
[00:07:34.500 --> 00:07:37.020]  行不行?這個就是今天我想上半部份講的
[00:07:37.020 --> 00:07:38.780]  你見到如果今天沒有了PowerPoint
[00:07:38.780 --> 00:07:41.240]  你想一下後果有多嚴重 我不知道怎麼搞
[00:07:41.240 --> 00:07:45.320]  所以很感恩 多謝 多謝弟兄
[00:07:45.320 --> 00:07:49.440]  是不是Paul啊 是不是Paul?
[00:07:49.440 --> 00:07:52.940]  阿龍 阿龍 我記得上次在退休會
[00:07:52.940 --> 00:07:55.240]  又是你 又是你 讀經營又是你
[00:07:55.240 --> 00:08:02.220]  真是不好意思 經常碰到我都是麻煩的
[00:08:02.220 --> 00:08:10.500]  你覺得在聖經裏面 誰是時間管理的高手呢?
[00:08:10.500 --> 00:08:12.680]  你最欣賞誰在聖經裏面留下來
[00:08:12.680 --> 00:08:16.620]  我學到他就好了 他是時間管理的高手
[00:08:16.620 --> 00:08:21.720]  誰是呢?可能每個人的答案不同
[00:08:21.720 --> 00:08:25.660]  你覺得你的答案是什麼呢?
[00:08:25.660 --> 00:08:32.860]  耶穌 你想不想學耶穌的呢?
