
[00:00:00.000 --> 00:00:07.000]  昨天和早一晚的訊息,大家有沒有問題呢?
[00:00:07.000 --> 00:00:12.000]  有問題的話,歡迎大家和我們一起討論一下,
[00:00:12.000 --> 00:00:16.000]  或者分享一下你們的心聲。
[00:00:16.000 --> 00:00:20.000]  今晚我打算和大家分享一段好像很熟悉的聖經,
[00:00:20.000 --> 00:00:23.000]  但其實是很難解的經文。
[00:00:23.000 --> 00:00:30.000]  我今晚要講的重點就是成為我而像的一個很重要的因素,
[00:00:30.000 --> 00:00:32.000]  就是動力。
[00:00:32.000 --> 00:00:38.000]  什麼能夠幫助我們持續在我們知道的真理,
[00:00:38.000 --> 00:00:40.000]  我們都願意改變,
[00:00:40.000 --> 00:00:43.000]  但是為什麼有些人做著做著會不做呢?
[00:00:43.000 --> 00:00:48.000]  有什麼辦法令我們可以持續成為上帝所喜悅,
[00:00:48.000 --> 00:00:52.000]  他的心意成為我們生活的一部分,成為我們人生的目標?
[00:00:52.000 --> 00:00:56.000]  但是有什麼動力我們可以支取呢?
[00:00:56.000 --> 00:00:58.000]  在聖經中請大家看,
[00:00:58.000 --> 00:01:04.000]  《馬可福音》第十一章第十二節到二十六節,
[00:01:04.000 --> 00:01:09.000]  《馬可福音》十一章十二節到二十六節,
[00:01:09.000 --> 00:01:13.000]  《馬可福音》十一章十二節開始,一路讀完二十六節。
[00:01:13.000 --> 00:01:18.000]  經文明顯分成三段落,我們一般的聖經都將它分成三段落,
[00:01:18.000 --> 00:01:20.000]  所以我用這個方法來讀。
[00:01:20.000 --> 00:01:22.000]  我們先請弟兄讀十二到十四節,
[00:01:22.000 --> 00:01:25.000]  就是無花果樹被咒坐的事情,
[00:01:25.000 --> 00:01:29.000]  然後十五到十九節請姐妹讀出在潔正聖殿,
[00:01:29.000 --> 00:01:31.000]  十一章十五到十九節,
[00:01:31.000 --> 00:01:37.000]  最後那段二十到二十六節一起讀,請弟兄先讀十二到十四節。
[00:01:37.000 --> 00:01:42.000]  「第二天,他們從伯大利出來,耶穌臥了,
[00:01:42.000 --> 00:01:49.000]  遠遠的看見一個無花果樹,樹上有葉子,
[00:01:49.000 --> 00:01:52.000]  或者在樹上可以找著什麼,
[00:01:52.000 --> 00:01:57.000]  到了樹下竟找不著什麼,不過有葉子,
[00:01:57.000 --> 00:02:00.000]  因為不是收無花果樹的時候,
[00:02:00.000 --> 00:02:07.000]  耶穌就對樹說:從今以後永沒有人吃你的果子。
[00:02:07.000 --> 00:02:10.000]  他的門徒也聽見。」請姐妹。
[00:02:10.000 --> 00:02:14.000]  「馬可福音二十六節到十八,耶穌上了大聖殿,
[00:02:14.000 --> 00:02:20.000]  放出見到撞擺擺的人,去到他門前的窗子,
[00:02:20.000 --> 00:02:23.000]  或在門前的窗子,
[00:02:23.000 --> 00:02:27.000]  大家對人拿著器具從見到的經過,
[00:02:27.000 --> 00:02:31.000]  見教訓他們說:經上不思彼著說:
[00:02:31.000 --> 00:02:35.000]  我的見聖人大國,我給你點花,
[00:02:35.000 --> 00:02:38.000]  你沒有吃花,只會插火燒。
[00:02:38.000 --> 00:02:44.000]  在此上,我問使領,並且說:就上開始要隨耶穌,
[00:02:44.000 --> 00:02:48.000]  他也發呆,因為眾人都聽其他教訓,
[00:02:48.000 --> 00:02:52.000]  每天晚上,耶穌出城來。」赤齊獨出。
[00:02:52.000 --> 00:02:55.000]  「早晨,他們從那裡經過,
[00:02:55.000 --> 00:02:59.000]  看見無花果樹連根都枯乾了,
[00:02:59.000 --> 00:03:01.000]  彼得想起耶穌的話來,
[00:03:01.000 --> 00:03:08.000]  就對他說:拉比,請看,你所就坐的無花果樹已經枯乾了。」
[00:03:08.000 --> 00:03:12.000]  耶穌回答說:「你們當信復神,
[00:03:12.000 --> 00:03:17.000]  我實在告訴你們,無論何人對這座山說,
[00:03:17.000 --> 00:03:20.000]  你挪開此地,投在海裡,
[00:03:20.000 --> 00:03:25.000]  他若心裡不疑惑,只信他所說的必成就,
[00:03:25.000 --> 00:03:27.000]  必給他成就。
[00:03:27.000 --> 00:03:32.000]  所以我告訴你們,凡你們禱告祈求,
[00:03:32.000 --> 00:03:37.000]  無論是甚麼,只要在天上得著的,就必得著。
[00:03:37.000 --> 00:03:42.000]  你們在禱告的時候,若想起有人得罪你們,
[00:03:42.000 --> 00:03:44.000]  就當要轉下,
[00:03:44.000 --> 00:03:49.000]  徒要你們在天上的府也要要恕你們的過犯。
[00:03:49.000 --> 00:03:56.000]  你們若不饒恕人,你們在天上的府也要要恕你們的過犯。」
[00:03:56.000 --> 00:03:59.000]  正如我剛才所說的經文,很明顯分為三段落
[00:03:59.000 --> 00:04:02.000]  第一個段落是耶穌就坐無花果樹
[00:04:02.000 --> 00:04:06.000]  第二個段落是耶穌潔淨聖殿
