
[00:00:00.000 --> 00:00:09.120]  接下來這段時間就是一些比較具體的生活性的討論
[00:00:09.120 --> 00:00:11.280]  我再說大家可以一起加入的
[00:00:11.280 --> 00:00:15.280]  如果你有意見或者你有些心得都請你和我分享
[00:00:15.280 --> 00:00:19.280]  剛才多謝岳師給我一個很好的提醒
[00:00:19.280 --> 00:00:23.080]  我提到安息
[00:00:23.080 --> 00:00:27.080]  當然耶穌在馬加方那裡很清楚地說
[00:00:27.080 --> 00:00:31.400]  他叫我們去到他面前勞苦擔重擔的
[00:00:31.400 --> 00:00:34.080]  可以得到這個安息
[00:00:34.080 --> 00:00:37.840]  我相信這個都是很多人實際心靈的需要
[00:00:37.840 --> 00:00:40.640]  就是你有很多的掛累、很多的困難
[00:00:40.640 --> 00:00:42.480]  甚至生活上有很多壓力
[00:00:42.480 --> 00:00:49.160]  我越來越覺得壓力是一個無名的殺手
[00:00:49.160 --> 00:00:51.720]  很多人是真的
[00:00:51.720 --> 00:00:55.160]  我最近才和一位在海外回來的一個校友聊天
[00:00:55.160 --> 00:00:56.840]  一個傳統人聊天
[00:00:56.840 --> 00:00:59.880]  他因為壓力所以令到很難繼續侍奉
[00:00:59.880 --> 00:01:05.280]  現在有精神或者有心理的困難
[00:01:05.280 --> 00:01:08.520]  已經是一個公開的事實
[00:01:08.520 --> 00:01:16.960]  焦慮、抑鬱、或者專注力、緊張、失眠
[00:01:16.960 --> 00:01:19.320]  是我們真的很嚴重的問題
[00:01:19.320 --> 00:01:22.440]  基督徒、傳道人都不例外
[00:01:22.440 --> 00:01:25.680]  我們千萬不要覺得他們是另類人
[00:01:25.680 --> 00:01:28.480]  等於基督徒都會雙風咳
[00:01:28.480 --> 00:01:31.440]  同樣基督徒我們有倚靠
[00:01:31.440 --> 00:01:33.240]  有時可能是身體的狀況
[00:01:33.240 --> 00:01:35.640]  有時可能是我們不知道怎麼處理這個問題
[00:01:35.640 --> 00:01:38.840]  都會有情緒、精神上的困擾
[00:01:38.840 --> 00:01:40.360]  當然我們和其他人不同
[00:01:40.360 --> 00:01:42.240]  我們可以到耶穌的面前來
[00:01:42.240 --> 00:01:43.800]  可以得到這份安息
[00:01:43.800 --> 00:01:46.600]  當然好像馬洪斯提出的
[00:01:46.600 --> 00:01:50.320]  神叫我們安息是負他的壓
[00:01:50.320 --> 00:01:51.560]  負耶穌的壓
[00:01:51.560 --> 00:01:53.960]  用他的方法、用他的價值觀
[00:01:53.960 --> 00:01:56.640]  去看我們本身的困難
[00:01:56.640 --> 00:01:59.240]  你會得到勞苦擔重擔
