
[00:00:00.000 --> 00:00:03.880]  我還有一對朋友一起來講的
[00:00:03.880 --> 00:00:07.940]  一邊給你舉例 可能你會明白一點
[00:00:07.940 --> 00:00:13.540]  不過可能我講的時候也有一點想起的事情
[00:00:13.540 --> 00:00:16.720]  7月來的時候 我太太跟我一起來
[00:00:16.720 --> 00:00:21.420]  我太太在9月27日去世
[00:00:21.420 --> 00:00:25.520]  在我前天在側邊的地方
[00:00:25.520 --> 00:00:30.600]  在我前天在側怡涌講過五間福音會
[00:00:30.600 --> 00:00:33.100]  在中外教會側怡涌堂
[00:00:33.100 --> 00:00:37.520]  講完之後有一個男士走過來跟我握手
[00:00:37.520 --> 00:00:39.700]  我不認得他了 他就告訴我
[00:00:39.700 --> 00:00:41.840]  我見了十幾年了
[00:00:41.840 --> 00:00:43.440]  第二個說話就是
[00:00:43.440 --> 00:00:45.640]  哎呀 剛才聽你說
[00:00:45.640 --> 00:00:49.020]  知道你太太回了天堂
[00:00:49.020 --> 00:00:51.480]  我還不知道他是誰
[00:00:51.480 --> 00:00:58.680]  接著他說 我突然間很想念你太太
[00:00:58.680 --> 00:01:00.100]  很想念她
[00:01:00.100 --> 00:01:04.740]  因為她是十幾年前教我做水喉的
[00:01:04.740 --> 00:01:06.580]  我說是嗎?
[00:01:06.580 --> 00:01:08.780]  他說我們是同一個團契的
[00:01:08.780 --> 00:01:12.280]  在北宣 飛蛋鐵飛團
[00:01:12.280 --> 00:01:13.880]  1993年的時候
[00:01:13.880 --> 00:01:15.480]  我說是嗎?
[00:01:15.480 --> 00:01:18.320]  我好像一個失憶症的病人 被人治的
[00:01:18.320 --> 00:01:20.500]  一直都在給我資料
[00:01:20.500 --> 00:01:23.820]  但是每一句我都剛剛記得的
[00:01:23.820 --> 00:01:24.860]  每一句都講到
[00:01:24.860 --> 00:01:25.820]  我說是嗎?
[00:01:25.820 --> 00:01:28.500]  接著他說 我們來你家探望你
[00:01:28.500 --> 00:01:30.580]  你太太很厲害
[00:01:30.580 --> 00:01:34.820]  她就示範怎樣可以開水龍頭去做事
[00:01:34.820 --> 00:01:36.980]  很厲害啊
[00:01:36.980 --> 00:01:38.640]  我說是啊 我太太很厲害
[00:01:38.640 --> 00:01:41.860]  她什麼都會做
[00:01:41.860 --> 00:01:43.940]  其實他自我介紹
[00:01:43.940 --> 00:01:46.980]  他今天已經是個傳道人
[00:01:46.980 --> 00:01:49.880]  1993年之後就去了外國
[00:01:49.880 --> 00:01:53.100]  然後讀神學 回到香港就做傳道人
[00:01:53.100 --> 00:01:54.220]  富足是什麼呢?
[00:01:54.220 --> 00:02:00.560]  富足就是你一直都不知道自己擁有的東西
[00:02:00.560 --> 00:02:03.100]  後來你發覺原來還有的
[00:02:03.100 --> 00:02:06.020]  原來還有的 說多了還有的
[00:02:06.020 --> 00:02:08.500]  如果你說有限就不是富足了
[00:02:08.500 --> 00:02:11.940]  好像我太太離開了世界
[00:02:11.940 --> 00:02:16.420]  但是又隔了一會又聽到別人說起
[00:02:16.420 --> 00:02:21.320]  又聽到別人說起一些他們經歷我太太的事
[00:02:21.320 --> 00:02:23.580]  又讓我知道多了一些
[00:02:23.580 --> 00:02:25.900]  原來他又影響了一些東西
[00:02:25.900 --> 00:02:30.440]  很多人很懷念 覺得津津樂道的東西
[00:02:30.440 --> 00:02:34.500]  原來我們身邊 在生命裡面
[00:02:34.500 --> 00:02:38.340]  都遇過加添了我們很多東西的經歷
[00:02:38.340 --> 00:02:39.320]  有時候你不知道
[00:02:39.320 --> 00:02:42.140]  很多人經常都承認自己什麼都沒有
[00:02:42.140 --> 00:02:44.220]  其實不是的 數著數著
[00:02:44.220 --> 00:02:47.820]  很多恩典你才發覺很多
[00:02:47.820 --> 00:02:52.660]  昨天我和啟聖和容娟一起在另一間教會
[00:02:52.660 --> 00:02:56.540]  在上環浸信會有過五間聚會
[00:02:56.540 --> 00:02:58.220]  說到最後的時候
[00:02:58.220 --> 00:03:01.660]  我突然間有一種感覺就告訴參加者
[00:03:01.660 --> 00:03:02.900]  那種感覺是什麼呢?
[00:03:02.900 --> 00:03:07.060]  其實都很有報導的題材 這個說法
[00:03:07.060 --> 00:03:13.420]  我說你們覺不覺得很多人
[00:03:13.420 --> 00:03:17.820]  有病 但是又好像沒有病
[00:03:17.820 --> 00:03:20.420]  就像啟聖那樣 他有病
[00:03:20.420 --> 00:03:23.500]  但是他站在那裡好像我們像有病
[00:03:23.500 --> 00:03:25.340]  多於他有病
[00:03:25.340 --> 00:03:29.540]  但是真的有些人沒有病
[00:03:29.540 --> 00:03:31.960]  但是又好像有病 是吧?
[00:03:31.960 --> 00:03:34.380]  有些人去醫務所被醫生檢查過了
[00:03:34.380 --> 00:03:36.180]  你沒事 你走吧
[00:03:36.180 --> 00:03:37.780]  醫生說有些東西呢
[00:03:37.780 --> 00:03:40.260]  醫生說你真的沒事呢
[00:03:40.260 --> 00:03:42.460]  上班就見到很多這些人
[00:03:42.460 --> 00:03:45.820]  經常都說我真的死了一下
[00:03:45.820 --> 00:03:47.900]  我真的好像病一樣
[00:03:47.900 --> 00:03:52.420]  一個沒有了內心裡面動力的人
[00:03:52.420 --> 00:03:54.980]  就真的沒有病好像有病
[00:03:54.980 --> 00:03:57.580]  更加奇妙的就是
[00:03:57.580 --> 00:04:01.460]  有些人死了就好像還沒有死
[00:04:01.460 --> 00:04:03.020]  就像我太太這樣
[00:04:03.020 --> 00:04:07.500]  還有很多人想起她的經歷提醒了一些東西
