
[00:00:00.000 --> 00:00:05.000]  剛才創世記我看到有些人應該是從上面下來的
[00:00:05.000 --> 00:00:08.000]  記不記得我剛才說什麼?下來要考試的
[00:00:08.000 --> 00:00:12.000]  兩個元、兩個行、四個要、三個時
[00:00:12.000 --> 00:00:16.000]  哇,開始出貓了
[00:00:16.000 --> 00:00:22.000]  兩個元是什麼呢?創世記看到神有元意,人有什麼?元醉
[00:00:22.000 --> 00:00:27.000]  誰這麼大聲?你很厲害的
[00:00:27.000 --> 00:00:32.000]  兩個行是什麼呢?要與神同行,遵神而行
[00:00:32.000 --> 00:00:37.000]  四個要,我們從四個人物,阿伯拉罕、以撒、雅各和約瑟
[00:00:37.000 --> 00:00:44.000]  第一要聽從,第二要相信,第三要尊重,第四要看見
[00:00:44.000 --> 00:00:49.000]  然後提到人要祝壇,做兩件事,一件事是三件事
[00:00:49.000 --> 00:00:53.000]  一件事是紀念過去,仰望將來,馴服現在
[00:00:53.000 --> 00:00:58.000]  創世記祝壇記載最少有八次,祝壇有它的原因
[00:00:58.000 --> 00:01:02.000]  不要忘記過去神的恩典,不要忘記神將來的應許
[00:01:02.000 --> 00:01:07.000]  以至今天能夠行在神的心意當中,與神同行
[00:01:07.000 --> 00:01:11.000]  順道要學習有盼望,順道要學習去近恩
[00:01:11.000 --> 00:01:16.000]  以至今天生活當中能夠與神同行
[00:01:16.000 --> 00:01:20.000]  第二堂講叫做行在神的使命中
[00:01:20.000 --> 00:01:24.000]  行在神的使命中是侍奉人身講出埃及記
[00:01:24.000 --> 00:01:30.000]  行在神的心意中是遵神而行,行在神的使命中是避神所用
[00:01:30.000 --> 00:01:34.000]  出埃及記的內容我先提一提整本書,然後再收集
[00:01:34.000 --> 00:01:36.000]  講幾點我們需要知道的東西
[00:01:36.000 --> 00:01:41.000]  有些重點,有些所謂特色,我會和大家提一提
[00:01:41.000 --> 00:01:45.000]  分開大概兩段聖經,1-15章提到出埃及
[00:01:45.000 --> 00:01:48.000]  16-40章提到在曠野
[00:01:48.000 --> 00:01:53.000]  1-15章的特色是照神吩咐離開舊的生活
