
[00:00:00.000 --> 00:00:04.800]  在三國志三國的時代
[00:00:04.800 --> 00:00:08.800]  我很喜歡看三國志演義
[00:00:08.800 --> 00:00:10.800]  我都曾經說過
[00:00:10.800 --> 00:00:13.600]  其中有一個人物
[00:00:13.600 --> 00:00:17.600]  我以前非常不喜歡的
[00:00:17.600 --> 00:00:20.600]  這個人物是誰呢?就是曹操
[00:00:20.600 --> 00:00:26.000]  曹操在他的元配中有三個兒子
[00:00:26.000 --> 00:00:29.600]  大兒子曹丕 二兒子曹昌
[00:00:29.600 --> 00:00:31.600]  三兒子曹植
[00:00:31.600 --> 00:00:35.600]  三個兒子當中
[00:00:35.600 --> 00:00:39.600]  小兒子的才華是最厲害的
[00:00:39.600 --> 00:00:41.600]  出口成文
[00:00:41.600 --> 00:00:43.600]  入口成詩
[00:00:43.600 --> 00:00:45.600]  隨時隨地
[00:00:45.600 --> 00:00:48.600]  他的思路充滿創意
[00:00:48.600 --> 00:00:50.600]  是因為這樣
[00:00:50.600 --> 00:00:53.600]  有很多大臣已經說
[00:00:53.600 --> 00:00:56.600]  這個兒子似乎最能夠接替你
[00:00:57.600 --> 00:01:01.600]  而曹操心中有可能都曾經想過
[00:01:01.600 --> 00:01:03.600]  讓這個兒子接替他
[00:01:03.600 --> 00:01:08.600]  但是在那個時候
[00:01:08.600 --> 00:01:11.600]  他這些計劃還沒有完成
[00:01:11.600 --> 00:01:14.600]  他就突然離世
[00:01:14.600 --> 00:01:18.600]  離世之後曹丕很快
[00:01:18.600 --> 00:01:24.600]  就去掌握所有軍政大權
[00:01:24.600 --> 00:01:26.600]  在他的手裡
[00:01:26.600 --> 00:01:29.600]  然後趁著扮父親的喪事
[00:01:29.600 --> 00:01:31.600]  就召那些弟弟
[00:01:31.600 --> 00:01:34.600]  實際上元配三個之外
[00:01:34.600 --> 00:01:36.600]  其實曹操還有二十多個
[00:01:36.600 --> 00:01:39.600]  他加起來二十五個兒子
[00:01:39.600 --> 00:01:41.600]  多不多?
[00:01:41.600 --> 00:01:44.600]  這個就是以前的皇帝
[00:01:44.600 --> 00:01:46.600]  所以召他們來做甚麼呢?
[00:01:46.600 --> 00:01:48.600]  其實他最緊張的
[00:01:48.600 --> 00:01:51.600]  就是三個同父同母
[00:01:51.600 --> 00:01:53.600]  這些兄弟
