
[00:00:00.000 --> 00:00:05.520]  各位電影專家各位朋友你們好
[00:00:05.520 --> 00:00:08.760]  歡迎大家參加我們三藩市報道會
[00:00:08.760 --> 00:00:10.760]  網上的五堂崇拜
[00:00:10.760 --> 00:00:14.440]  今天我們繼續思想以下呼應的訊息
[00:00:14.440 --> 00:00:16.920]  我們來到以下呼應第十三章
[00:00:16.920 --> 00:00:18.920]  一節至十七節
[00:00:18.920 --> 00:00:22.320]  題目叫做彼此洗腳
[00:00:22.320 --> 00:00:25.120]  在開始思想這段聖經之前
[00:00:25.120 --> 00:00:27.120]  請你跟心底談或跟禱告
[00:00:27.120 --> 00:00:31.120]  慈悲人先父我們感謝你
[00:00:31.120 --> 00:00:35.120]  你來到世上不是要受人服侍
[00:00:35.120 --> 00:00:37.120]  但是要服侍人
[00:00:37.120 --> 00:00:40.120]  並且要捨己做多人的贖價
[00:00:40.120 --> 00:00:43.120]  你不單看門徒洗腳
[00:00:43.120 --> 00:00:45.120]  你更加吩咐我們彼此洗腳
[00:00:45.120 --> 00:00:49.120]  教導我們學習謙卑的功夫
[00:00:49.120 --> 00:00:53.120]  能夠有一個彼此洗腳服侍的態度
[00:00:53.120 --> 00:00:55.120]  求聖靈在我們心裡動功
[00:00:55.120 --> 00:00:57.120]  藉著你的話語去提醒
[00:00:57.120 --> 00:01:01.120]  勸勉教導安慰督察改變我們
[00:01:01.120 --> 00:01:03.120]  奉耶穌基督命求
[00:01:03.120 --> 00:01:05.120]  阿們
[00:01:05.120 --> 00:01:10.120]  中國人的忠字是一個非常有趣的字
[00:01:10.120 --> 00:01:12.120]  忠潔的忠字
[00:01:12.120 --> 00:01:15.120]  是一個很古老的中國文字
[00:01:15.120 --> 00:01:18.120]  早在甲骨文的時代已經有了
[00:01:18.120 --> 00:01:22.120]  早期的忠字的寫法是怎樣呢
[00:01:22.120 --> 00:01:25.120]  是像一條繩子
[00:01:25.120 --> 00:01:29.120]  繩子的兩邊末端有一個結
[00:01:29.120 --> 00:01:32.120]  所以有文字學者將它解釋為
[00:01:32.120 --> 00:01:35.120]  像繩邊終結之形
[00:01:35.120 --> 00:01:38.120]  就是古人結成幾時
[00:01:38.120 --> 00:01:42.120]  當他的繩結都用完的時候
[00:01:42.120 --> 00:01:47.120]  最後的末端都打成一個結
[00:01:47.120 --> 00:01:50.120]  所以我們叫做終結
[00:01:50.120 --> 00:01:54.120]  所以中國人所謂的終結、終結、結果、結果
[00:01:54.120 --> 00:01:58.120]  都是臨終的意思
[00:01:58.120 --> 00:02:02.120]  所以像形文字就有一幅這樣的圖畫
[00:02:02.120 --> 00:02:05.120]  但有些文字學家就有不同的看法
[00:02:05.120 --> 00:02:10.120]  將它解釋為兩塊東西是指一些金屬的器皿
[00:02:10.120 --> 00:02:13.120]  當音樂終結的時候
[00:02:13.120 --> 00:02:16.120]  兩個金屬器皿敲起來
[00:02:16.120 --> 00:02:20.120]  一聲響然然後歸於靜寂
[00:02:20.120 --> 00:02:23.120]  不要管誰解釋得更正確
[00:02:23.120 --> 00:02:28.120]  終這個字實在是一個非常富有詩意的中國文字
[00:02:28.120 --> 00:02:32.120]  或者是指結成幾時的時候
[00:02:32.120 --> 00:02:38.120]  那種粗俗、尾端、正正下垂的糾纏之結
[00:02:38.120 --> 00:02:42.120]  或者是指音樂最高峰的時候
[00:02:42.120 --> 00:02:46.120]  一聲響然然後歸於無有
[00:02:46.120 --> 00:02:48.120]  一切沉寂
[00:02:48.120 --> 00:02:51.120]  兩者都有一種莊嚴的氣氛
[00:02:51.120 --> 00:02:55.120]  終結是一件既神秘又富有莊嚴的事
[00:02:55.120 --> 00:02:59.120]  無論是夜鶯唱最後的一首歌
[00:02:59.120 --> 00:03:03.120]  或者是南瓊在大海噴完最後的一個水柱
[00:03:03.120 --> 00:03:10.120]  或者是蓮露的獅子垂下去逼人桌桌言的兩隻火炬的眼
[00:03:10.120 --> 00:03:13.120]  或者是人生最後的一口氣
[00:03:13.120 --> 00:03:18.120]  都好像非常莊嚴神聖
[00:03:18.120 --> 00:03:22.120]  我能夠形容就好像Handel、Hallelujah的樂章
[00:03:22.120 --> 00:03:26.120]  值得一切生靈、恭敬、處立
[00:03:26.120 --> 00:03:29.120]  形神、平息、聆聽
[00:03:29.120 --> 00:03:36.120]  終至到起來有一種鐘聲似的和覓
[00:03:36.120 --> 00:03:42.120]  這項福音第十三章至十七章是耶穌生平最後一篇的樂章
[00:03:42.120 --> 00:03:45.120]  亦都是祂對滿道最後的訓誨
[00:03:45.120 --> 00:03:50.120]  是多麼的莊嚴神聖和寓意深長
[00:03:50.120 --> 00:03:54.120]  揭起這個樂章的第一段就是我們今天所讀的那段經文
[00:03:54.120 --> 00:03:59.120]  就好像鐘聲鳴響了揭開了耶穌最後的訓誨
[00:03:59.120 --> 00:04:02.120]  最後鐘聲的閉幕的時候
[00:04:02.120 --> 00:04:04.120]  就是怎麼樣呢?
[00:04:04.120 --> 00:04:08.120]  耶穌脫了衣服拿了一條手巾搓腰
[00:04:08.120 --> 00:04:12.120]  把水倒在盆裡替門徒洗腳
[00:04:12.120 --> 00:04:16.120]  變成用自己搓的手巾擦乾
[00:04:16.120 --> 00:04:20.120]  這幅難以令人相信、難以令人想像
[00:04:20.120 --> 00:04:25.120]  不可思議而極漂亮極莊嚴的一幅圖畫
[00:04:25.120 --> 00:04:30.120]  原來在猶太人的習俗裡唯有最下賤最低級的奴隸
[00:04:30.120 --> 00:04:34.120]  才會屈膝跪地為主人洗腳
[00:04:34.120 --> 00:04:38.120]  如今他們的夫子、他們的主
[00:04:38.120 --> 00:04:43.120]  那位萬鈞耶和華神的兒子來到世上
[00:04:43.120 --> 00:04:47.120]  竟然之間搓腰為門徒洗腳
[00:04:47.120 --> 00:04:50.120]  作為人生最後一篇樂章的序幕
[00:04:50.120 --> 00:04:52.120]  真是不可思議
[00:04:52.120 --> 00:04:56.120]  唯一的解釋就是套用耶穌所說的這句話
[00:04:56.120 --> 00:05:01.120]  他既然愛世間屬自己的人就愛他們到底
[00:05:01.120 --> 00:05:05.120]  到底這句子希臘文叫Aes Telos
[00:05:05.120 --> 00:05:09.120]  不單只是時間上最終而且是愛到盡
[00:05:09.120 --> 00:05:11.120]  連最後一個細胞都用完
[00:05:11.120 --> 00:05:14.120]  英文所謂To the utmost
[00:05:14.120 --> 00:05:16.120]  這就是耶穌基督的愛
[00:05:16.120 --> 00:05:18.120]  耶穌的一句話是說
[00:05:18.120 --> 00:05:21.120]  人此來不是受人服侍
[00:05:21.120 --> 00:05:26.120]  乃是要服侍人並且捨己作多人的屬價
[00:05:26.120 --> 00:05:30.120]  YMCA的口號就是非以逆人乃逆衣人
[00:05:30.120 --> 00:05:33.120]  似乎漏了最重要的後半卷
[00:05:33.120 --> 00:05:36.120]  就是捨己作多人的屬價
[00:05:36.120 --> 00:05:40.120]  這就是耶穌一生最終的一步
[00:05:40.120 --> 00:05:45.120]  他如此戲劇化的表達這種使命替門徒洗腳
[00:05:45.120 --> 00:05:48.120]  但今天的社會今天的教會
[00:05:48.120 --> 00:05:50.120]  毛巾去了哪裡呢?
[00:05:50.120 --> 00:05:54.120]  心理學家Dr. John Calhoun
[00:05:54.120 --> 00:05:57.120]  在National Institute of Mental Health
[00:05:57.120 --> 00:06:00.120]  報告了一個非常有趣的實驗
[00:06:00.120 --> 00:06:04.120]  他將八隻年輕力壯的老鼠
[00:06:04.120 --> 00:06:10.120]  四男四女放在一個可以住160隻的老鼠籠當中
[00:06:10.120 --> 00:06:14.120]  這個老鼠籠九隻乘九隻非常寬敞
[00:06:14.120 --> 00:06:18.120]  舒適居住環境再加上好吃好住
[00:06:18.120 --> 00:06:20.120]  在兩年半之內
[00:06:20.120 --> 00:06:24.120]  這八隻老鼠就生了2200隻小老鼠
[00:06:24.120 --> 00:06:27.120]  而且依然好吃好住
[00:06:27.120 --> 00:06:30.120]  不過就不是那麼好吃
