
[00:00:00.000 --> 00:00:05.680]  高等師妹讓我們在聆聽主的說話之前
[00:00:05.680 --> 00:00:10.600]  讓我們再次以禱告將心思意念交給我們的主我們的神
[00:00:10.600 --> 00:00:13.800]  父神多謝祢給我們生命氣息
[00:00:13.800 --> 00:00:17.400]  再次來到你的根前一同去學習聆聽
[00:00:17.400 --> 00:00:21.920]  並且從當中去思想上帝的作為
[00:00:21.920 --> 00:00:24.280]  我們為此再次獻上感恩
[00:00:24.280 --> 00:00:26.240]  能夠有這份福氣
[00:00:26.240 --> 00:00:31.240]  但願我們每一個追尋真理的弟兄姊妹
[00:00:31.240 --> 00:00:35.720]  都能夠在其中得到上帝的啟明
[00:00:35.720 --> 00:00:37.840]  讓我們活在這個世界當中
[00:00:37.840 --> 00:00:40.400]  不是盲目地去跟從世風
[00:00:40.400 --> 00:00:46.400]  甚至在教會裏面只是秉承教會的傳統
[00:00:46.400 --> 00:00:50.360]  而失卻了上帝你原本啟示的原意
[00:00:50.360 --> 00:00:52.360]  求你的幫助大靈
[00:00:52.360 --> 00:00:58.360]  讓每一個能夠在上帝裏面追尋真理的信徒
[00:00:58.360 --> 00:01:02.920]  都能夠在今天藉著全港主的說話
[00:01:02.920 --> 00:01:05.440]  藉著在你的啟示裏面
[00:01:05.440 --> 00:01:11.760]  讓我們每一個都能夠準確地去明證上主你的心思
[00:01:11.760 --> 00:01:15.560]  禱告奉靠主耶穌基督得勝的名字而求
[00:01:15.560 --> 00:01:16.560]  阿們
[00:01:16.880 --> 00:01:25.760]  我們經常聽見很多上一代的長輩說到世界變
[00:01:25.760 --> 00:01:29.480]  這個說話我相信經常都聽到
[00:01:29.480 --> 00:01:32.480]  起初聽真的不是太明白
[00:01:32.480 --> 00:01:34.960]  尤其是我們很年輕的時候
[00:01:34.960 --> 00:01:37.160]  我記得我當年很小的時候
[00:01:37.160 --> 00:01:38.560]  剛懂事
[00:01:38.560 --> 00:01:41.360]  大約是我五六歲左右
[00:01:41.360 --> 00:01:50.800]  那個時候曾經在香港說到中國大陸有一個偉大領袖過世
[00:01:50.800 --> 00:01:53.800]  然後說世界又變了
[00:01:53.800 --> 00:01:55.320]  我都不是太明白
[00:01:55.320 --> 00:01:58.120]  為什麼世界會隨著一個人過世
[00:01:58.120 --> 00:01:59.600]  可以有世界變
[00:01:59.600 --> 00:02:03.960]  不過後來漸漸人開始長大之後
[00:02:03.960 --> 00:02:06.800]  就去嘗試找一些證據
[00:02:06.800 --> 00:02:10.840]  去嘗試看看這些長輩所說的智慧說話
[00:02:10.840 --> 00:02:13.440]  究竟是不是真有其事呢
[00:02:13.440 --> 00:02:15.840]  是不是世界真的變了
[00:02:15.840 --> 00:02:17.680]  原來發覺真的是
[00:02:17.680 --> 00:02:20.280]  原來很多事情因著某一個人
[00:02:20.280 --> 00:02:21.760]  或者某個國家
[00:02:21.760 --> 00:02:23.920]  或者某一些事件
[00:02:23.920 --> 00:02:27.400]  而產生了急劇的改變
[00:02:27.400 --> 00:02:29.640]  但是這種情況
[00:02:29.640 --> 00:02:32.920]  當我們隨著現在科技越來越先進
[00:02:32.920 --> 00:02:35.520]  我們能夠聽的機會越來越多
[00:02:35.520 --> 00:02:38.600]  看的東西越來越頻密的時候
[00:02:38.600 --> 00:02:41.120]  我們就開始覺得很厭惡
[00:02:41.120 --> 00:02:45.200]  好像不太想再去理會這個世界有什麼改變
[00:02:45.200 --> 00:02:48.800]  因為即使這個世界改變了之後
[00:02:48.800 --> 00:02:52.240]  我們作為一個在這個世上的人
[00:02:52.240 --> 00:02:55.880]  有什麼我們真的可以去做得到
[00:02:55.880 --> 00:02:58.880]  而改變到這個世界呢
[00:02:58.880 --> 00:03:00.880]  我發覺原來很有限
[00:03:00.880 --> 00:03:06.400]  就因為這個緣故我開始漸漸有一種漠視的態度
[00:03:06.400 --> 00:03:09.520]  希望遠離這些事情
[00:03:09.520 --> 00:03:10.520]  少點煩惱
[00:03:10.520 --> 00:03:12.880]  我們就等同於我們的生命生活
[00:03:12.880 --> 00:03:15.480]  比較過得簡單一點
[00:03:15.480 --> 00:03:19.360]  但是當我們再詳細去看看這種情況
[00:03:19.360 --> 00:03:23.040]  繼續發展的時候
[00:03:23.040 --> 00:03:25.960]  我們就會更加矛盾的就是
[00:03:25.960 --> 00:03:27.760]  如果這些事情真的發生
[00:03:27.760 --> 00:03:29.760]  而影響到我們的生命生活
[00:03:29.760 --> 00:03:33.480]  甚至我們實際的環境
[00:03:33.480 --> 00:03:35.480]  我們的感情
[00:03:35.480 --> 00:03:38.720]  在這個時候我們都不理會
[00:03:38.720 --> 00:03:44.840]  但是這些情況我們又怎樣去面對呢
[00:03:44.840 --> 00:03:47.120]  尤其是在這個年代
[00:03:47.120 --> 00:03:48.920]  近一兩年之間
[00:03:48.920 --> 00:03:52.840]  自從這個所謂的瘟疫
[00:03:52.840 --> 00:03:54.840]  pandemic過了之後
[00:03:54.840 --> 00:03:56.640]  我們就會發現到
[00:03:56.640 --> 00:04:02.920]  在這個世界有很多事情開始急劇轉差
[00:04:02.920 --> 00:04:04.440]  最簡單的例子
[00:04:04.440 --> 00:04:06.360]  現在我們發覺
[00:04:06.360 --> 00:04:11.000]  在這個年代炒人炒得很厲害
[00:04:11.000 --> 00:04:13.960]  就是突然間你的老闆給你一個電話
[00:04:13.960 --> 00:04:15.440]  或者電話都不用給你
[00:04:15.440 --> 00:04:16.760]  給你一個電郵
[00:04:16.760 --> 00:04:19.840]  當你看見這個電郵的時候
[00:04:19.840 --> 00:04:21.640]  你已經被解僱了
[00:04:21.640 --> 00:04:24.920]  那你接著在五分鐘之後
[00:04:24.920 --> 00:04:26.480]  或者十分鐘之後
[00:04:26.480 --> 00:04:29.240]  你的電腦就會完全癱瘓
[00:04:29.240 --> 00:04:30.760]  在這個情況之下
[00:04:30.760 --> 00:04:31.920]  你正式被解僱
[00:04:31.920 --> 00:04:34.840]  我們會找人上門幫你收回那些儀器
[00:04:34.840 --> 00:04:36.240]  就走了
[00:04:36.240 --> 00:04:38.040]  在這個情況之下
[00:04:38.040 --> 00:04:42.760]  我們不作一些反應
[00:04:42.760 --> 00:04:46.520]  甚至可以說是迫到想微笑
[00:04:46.520 --> 00:04:48.960]  我們不處理不行
[00:04:48.960 --> 00:04:52.440]  但是又怎樣處理好呢
[00:04:52.440 --> 00:04:54.440]  炒我那個不是我決定
[00:04:54.440 --> 00:04:56.080]  是我的老闆決定
[00:04:56.080 --> 00:04:58.960]  甚至是我老闆的老闆去決定
[00:04:58.960 --> 00:05:00.360]  我做多少事情
[00:05:00.360 --> 00:05:03.320]  似乎都不能改變到這幫人
[00:05:03.320 --> 00:05:07.400]  他們的最終決定
[00:05:07.400 --> 00:05:10.560]  而這些損害或者失業
[00:05:10.560 --> 00:05:12.520]  沒什麼可以做
[00:05:12.520 --> 00:05:15.360]  也都不到我們去決定
[00:05:15.360 --> 00:05:17.040]  這個只是工作環境
[00:05:17.040 --> 00:05:19.680]  如果在感情上的事情會怎樣呢
[00:05:19.680 --> 00:05:23.400]  有時候有些事情不是到我們自己控制的
[00:05:23.400 --> 00:05:25.240]  特別我們看現在的新聞報導
[00:05:25.240 --> 00:05:27.240]  有很多婚外情
[00:05:27.240 --> 00:05:30.000]  很多突然間被騙
[00:05:30.000 --> 00:05:33.160]  網上很多被騙的騙案
[00:05:33.160 --> 00:05:35.480]  而導致家庭有很多問題的時候
[00:05:35.480 --> 00:05:37.400]  這些不是我們想控制得到
[00:05:37.400 --> 00:05:40.280]  因為這些是不在我們的控制之下
[00:05:40.280 --> 00:05:41.800]  在這樣的情況之下
[00:05:41.800 --> 00:05:43.440]  我們作為信徒的
