
[00:00:00.000 --> 00:00:06.240]  多謝袁長老袁院長的介紹
[00:00:06.240 --> 00:00:14.520]  很感恩平安方堂和窩道神學院的關係多年來都非常密切
[00:00:14.520 --> 00:00:23.360]  亦多謝主給我機會在木職神學院做過一段短時間的客座老師
[00:00:23.360 --> 00:00:32.640]  為平安方堂這個中派特別能夠聯合每一年都有三晚的培靈會
[00:00:32.640 --> 00:00:36.400]  我相信這是少數中派都能做到的一件事
[00:00:36.400 --> 00:00:44.400]  我和譚志超長老說平安方堂都很有信心
[00:00:44.400 --> 00:00:47.040]  借聖鎮舉行培靈會
[00:00:47.040 --> 00:00:52.000]  為今晚有這麼多弟兄姊妹選擇一齊參加培靈會
[00:00:52.000 --> 00:00:54.000]  我現場感恩
[00:00:54.000 --> 00:00:59.280]  我首先代表窩道神學院和大家問安
[00:00:59.280 --> 00:01:02.320]  相信很多弟兄姊妹都知道或曾經去過
[00:01:02.320 --> 00:01:10.400]  我們在2019年開始將神學院從很多年來的九龍塘地方搬到美孚新邨
[00:01:10.400 --> 00:01:14.400]  那裡比我們有更大地方 設備會更好
[00:01:14.400 --> 00:01:19.200]  面對著疫情和其他社會上的事
[00:01:19.200 --> 00:01:24.160]  讓我們有更好的硬件去發展神學教育工作
[00:01:24.160 --> 00:01:26.160]  我獻上衷心的感恩
[00:01:26.160 --> 00:01:29.440]  如果大家對神學院想了解多一點
[00:01:29.440 --> 00:01:33.200]  歡迎大家可以到我們的網站
[00:01:33.200 --> 00:01:42.240]  掃QR code 填了之後會收到我們的代討信和軟信電子版
[00:01:42.240 --> 00:01:46.720]  歡迎大家為窩道神學院來搜望
[00:01:46.720 --> 00:01:49.600]  我們也有些課程 這裡不多說了
[00:01:49.600 --> 00:01:51.600]  我帶了一些傳單在外面
[00:01:51.600 --> 00:01:56.240]  如果大家有興趣 無論是一些課程或是奉獻團契
[00:01:56.240 --> 00:01:58.640]  請你們按照你們的需要來取得
[00:01:58.640 --> 00:02:08.880]  這三晚培靈會我定了為紅廬下的真金或精金
[00:02:11.120 --> 00:02:14.080]  我會和大家看三個的分題
[00:02:14.080 --> 00:02:19.280]  信心、愛心和盼望、信望
[00:02:19.280 --> 00:02:21.280]  我會看這三個題目
[00:02:21.280 --> 00:02:25.920]  紅廬下 我猜在現在這個世代裡
[00:02:25.920 --> 00:02:29.680]  沒有人會覺得很出奇
[00:02:29.680 --> 00:02:34.480]  我們會用紅廬下形容我們生活的條件
[00:02:34.480 --> 00:02:37.920]  甚至連不信主的朋友都會覺得
[00:02:37.920 --> 00:02:40.560]  以前他們未必有興趣
[00:02:40.560 --> 00:02:43.440]  但現在都會問是否世界末日
[00:02:43.440 --> 00:02:47.840]  對於末日的事好像特別有多些留意
[00:02:47.840 --> 00:02:53.680]  原因是這個世界如果我們還期望明天會更好
[00:02:53.680 --> 00:02:55.920]  這是很天真的想法
[00:02:55.920 --> 00:03:01.360]  我相信我不會花太多時間去說
[00:03:01.360 --> 00:03:09.520]  在我們的信仰、在世界局勢、在戰爭、在饑荒、在瘟疫、在經濟
[00:03:09.520 --> 00:03:13.680]  在人心的敗壞情況裡
[00:03:13.680 --> 00:03:19.120]  我猜我們很難否定我們生活在一個相當大的挑戰的時代
[00:03:19.120 --> 00:03:21.120]  紅廬下的信心
[00:03:21.120 --> 00:03:23.520]  不過話雖說來
[00:03:23.520 --> 00:03:29.360]  我想強調的是有時我們太過強調我們生活在一個很艱難的世代
[00:03:29.360 --> 00:03:33.120]  其實可能給了自己一個藉口
[00:03:33.680 --> 00:03:39.520]  以致我們有些地方不是照上帝的心意去生活
[00:03:39.520 --> 00:03:41.520]  我們好像說世界太艱難了
[00:03:41.520 --> 00:03:44.000]  沒辦法了 我們都要將就一下
[00:03:44.000 --> 00:03:48.160]  老實說2000年教育歷史
[00:03:48.160 --> 00:03:53.360]  絕大部分的時間都生活在艱難的時代
[00:03:53.360 --> 00:03:55.920]  包括今晚我們所看的亞國書
[00:03:55.920 --> 00:03:57.920]  當他們寫亞國書的時候
[00:03:57.920 --> 00:04:02.560]  同樣地他們面對在那個時候一些非常大的考驗
[00:04:02.560 --> 00:04:11.840]  所以我們就借助那些經過紅廬下考驗的上帝的僕人
[00:04:11.840 --> 00:04:14.640]  他怎樣去勸勉我們在現在
[00:04:14.640 --> 00:04:16.640]  雖然我們大家面對著不同的挑戰
[00:04:16.640 --> 00:04:24.000]  不過同樣地他怎樣在艱難的時代裡抓住一些屬靈的原則
[00:04:24.000 --> 00:04:27.760]  就在那個時代裡為主打美好的勝仗
[00:04:27.760 --> 00:04:31.200]  我就從這個思路和大家思想這三晚的訊息
[00:04:31.200 --> 00:04:35.040]  我們先看紅廬下的信心
[00:04:35.040 --> 00:04:41.200]  多謝剛才主席讀出的經文
[00:04:41.200 --> 00:04:43.200]  亞國書第一章一到十一節
[00:04:43.200 --> 00:04:46.240]  我將它分成三段落和大家思想
[00:04:46.240 --> 00:04:50.240]  第一段落是一到第四節
[00:04:50.240 --> 00:04:54.240]  第二段落是第五節到第八節
[00:04:54.240 --> 00:04:59.520]  然後最後段落是第九節到十一節
[00:04:59.520 --> 00:05:04.960]  這十一節的聖經可以說是亞國書的五章聖經
[00:05:04.960 --> 00:05:06.960]  是一個引言
[00:05:06.960 --> 00:05:11.600]  讀亞國書的人可能都會碰到一個問題
[00:05:11.600 --> 00:05:14.880]  究竟亞國書是怎樣分段的呢
