
[00:00:00.000 --> 00:00:05.120]  各位弟兄姊妹大家好
[00:00:05.120 --> 00:00:08.440]  首先大家看到我的眼睛完全沒事了
[00:00:08.440 --> 00:00:15.680]  其實是過了上個星期五到星期六已經好了很多
[00:00:15.680 --> 00:00:18.640]  到星期一就真的全部都好了
[00:00:18.640 --> 00:00:19.840]  所以沒事的
[00:00:19.840 --> 00:00:23.520]  是有些眼睛的瘀傷就沒事了
[00:00:23.520 --> 00:00:26.000]  多謝大家的關心和待討
[00:00:26.000 --> 00:00:34.640]  第二樣要宣佈的就是因為教會已經可以將Zoom連接在Facebook
[00:00:34.640 --> 00:00:40.560]  變成很多其他人可以上Facebook即時收看
[00:00:40.560 --> 00:00:43.600]  所以已經沒有人數的限制
[00:00:43.600 --> 00:00:47.360]  我已經通知弟兄姊妹
[00:00:47.360 --> 00:00:49.840]  雖然他不可以和我們一起在Zoom上
[00:00:49.840 --> 00:00:54.320]  但他只要遲半分鐘就在Facebook上馬上可以看到
[00:00:54.320 --> 00:00:56.800]  所以大家可以告訴弟兄姊妹
[00:00:56.800 --> 00:00:59.040]  如果他有興趣參加
[00:00:59.040 --> 00:01:03.760]  可以給我一個名字和電郵地址
[00:01:03.760 --> 00:01:08.640]  我會在星期三將講義寄給他
[00:01:08.640 --> 00:01:13.280]  今晚他就可以上Facebook上看得到
[00:01:13.280 --> 00:01:21.840]  我的網址是sawing.com
[00:01:21.840 --> 00:01:24.560]  每一堂課完結後
[00:01:24.560 --> 00:01:29.520]  我會將錄音和講義放在我的網址上
[00:01:29.520 --> 00:01:32.320]  大家可以上去其他弟兄姊妹
[00:01:32.320 --> 00:01:37.200]  又可以上去聽又可以下載講義
[00:01:37.200 --> 00:01:42.800]  我首先回應一下上一次有位Annie姊妹
[00:01:42.800 --> 00:01:48.720]  她完課後提出一個很有意思的問題
[00:01:48.720 --> 00:01:50.800]  她聽到我上次講
[00:01:50.800 --> 00:01:56.880]  南邊的王最差的應該叫馬拿西
[00:01:56.880 --> 00:01:58.640]  神很憤怒她
[00:01:58.640 --> 00:02:02.000]  到了幾代後神還提她的名字
[00:02:02.000 --> 00:02:06.400]  是因為她的緣故還要奏祖她的子孫
[00:02:06.400 --> 00:02:08.960]  Annie姊妹的問題是
[00:02:08.960 --> 00:02:17.840]  為什麼最差的馬尼西王在最長的管治時間
[00:02:17.840 --> 00:02:20.080]  她統治了55年
[00:02:20.080 --> 00:02:23.280]  大家看看我上次給大家的表弟語協
[00:02:23.280 --> 00:02:26.960]  你會看到北國南國
[00:02:26.960 --> 00:02:30.160]  哪個王統治的時間最長呢
[00:02:30.160 --> 00:02:32.400]  就是這個馬尼西
[00:02:32.400 --> 00:02:35.120]  為什麼神會給一個這麼差的王
[00:02:35.120 --> 00:02:38.240]  最長時間的統治呢
[00:02:38.240 --> 00:02:42.000]  我相信這個問題可以連帶出
[00:02:42.000 --> 00:02:45.760]  神為什麼祝福惡人呢
[00:02:45.760 --> 00:02:50.400]  為什麼好人反而遭受很多災難
[00:02:50.400 --> 00:02:55.520]  不好人反而凡事坑通呢
[00:02:55.520 --> 00:02:57.920]  我就想起在《無間道》裏面
[00:02:57.920 --> 00:03:00.080]  大家記不記得如果有看過的話
[00:03:00.080 --> 00:03:02.720]  王修生講過一句是什麼呢
[00:03:02.720 --> 00:03:06.240]  他說殺人放火金腰帶
[00:03:06.240 --> 00:03:09.360]  修橋補路無屍骸
[00:03:09.360 --> 00:03:15.440]  就是說這個世界做好事沒有好報
[00:03:15.440 --> 00:03:20.560]  反而惡的人好像每件事都順利
[00:03:20.560 --> 00:03:22.640]  又有錢又長壽
[00:03:22.640 --> 00:03:24.000]  為什麼會這樣呢
[00:03:24.000 --> 00:03:25.920]  神豈不是公義的嗎
[00:03:25.920 --> 00:03:29.520]  這個真是引人深思的問題
[00:03:29.520 --> 00:03:32.080]  這個問題是不是只有Annie姊妹有呢
[00:03:32.080 --> 00:03:33.600]  其實不是的
[00:03:33.600 --> 00:03:37.440]  在聖經裏面受苦最深的是誰呢
[00:03:37.440 --> 00:03:39.040]  是若白
[00:03:39.040 --> 00:03:45.200]  若白受苦受到真的已經走投無路了
[00:03:45.200 --> 00:03:47.760]  他終於要向神問話
[00:03:47.760 --> 00:03:49.040]  他不是埋怨
[00:03:49.040 --> 00:03:52.640]  但是他向神質詢和申冤
[00:03:52.640 --> 00:03:55.040]  《八記》第21章我讀給大家聽
[00:03:55.040 --> 00:03:58.240]  第21章第7節我一直讀下去
[00:03:58.240 --> 00:04:02.240]  大家可以感受一下若白的心情
[00:04:02.240 --> 00:04:05.920]  可能有時你都會問神為什麼
[00:04:05.920 --> 00:04:10.000]  我盡量來進行你的誡明
[00:04:10.000 --> 00:04:17.040]  但是我竟然會遭遇這麼不好的遭遇呢
[00:04:17.040 --> 00:04:20.400]  第7節惡人為何存活
[00:04:20.400 --> 00:04:22.240]  享大壽數
[00:04:22.240 --> 00:04:24.480]  勢力強盛呢
[00:04:24.480 --> 00:04:26.320]  他們眼見而說
[00:04:26.320 --> 00:04:28.480]  王丹們一動堅立
