
[00:00:00.000 --> 00:00:13.000]  (觀眾) 各位網友大家好,知不知道今天是什麼日子?是為恩福神學院奉獻的日子!
[00:00:13.000 --> 00:00:39.000]  (主持人) 非常感謝東九分堂一直以來對恩福神學院在禱告和經濟上的支持,你有沒有發覺我們這次沒有籌款紀念品?有沒有發現?我們將遊戲調轉了來玩,給一個驚喜大家!
[00:00:39.000 --> 00:01:04.000]  在講到這之前我們一起低頭祈禱,主天父我們感恩,主因為你自己的話語何等寶貴,主我們真是在一個撕裂分化的世代的時候,求主你幫助我們,懂得如何去校正我們的思維,讓我們在我們的思維上能夠合乎中度,
[00:01:04.000 --> 00:01:19.000]  是按你自己的話語的標準,來衡量,來看世界,求主你讓你的靈在我們當中運行教導,祈禱奉耶穌基督的名,阿們!
[00:01:19.000 --> 00:01:47.000]  我不知道大家有沒有發覺這個世界越來越撕裂,同不同意嗎?每一個議題,無論是本地世界或國際的議題,最早前就有十九歲,記不記得?有很大的爭論,然後就有福島核廢水,記不記得?
[00:01:47.000 --> 00:02:07.000]  然後就是以巴以哈,講以哈的一個小故事,最早期開始的時候,我就被邀請祈禱祝福,然後就有一個弟兄跟我說,你錯了,牧師,我不認識他,他也不認識我,
[00:02:07.000 --> 00:02:25.000]  他說不是以巴,是以哈,是最早的時候,我又很理解,很執著,那時候是最早最早期,那時候就發覺我們很執著很細微的東西,
[00:02:25.000 --> 00:02:44.000]  但其實不是說對與錯,而只不過是觀點與角度,或者是我們思考模式,我們怎樣去看東西,其實能夠英文有個字叫fair mind,我不知道大家有沒有聽過,思考能夠公道一點,看東西想東西,
[00:02:44.000 --> 00:03:06.000]  我就去問一個問題,我們怎樣才可以思考公道一點呢?我就想到五樣東西可以令我們不公道,或者是對於我們的思維上有挑戰,第一就是錯誤的假設,錯誤的假設是因為我們有一些正面的假設,或者負面的假設,
[00:03:06.000 --> 00:03:33.000]  假設他有某些動機,令我們思考或對事件的看法完全不同,我們將這些假設當是事實,這就是一個問題,你已經當作是真實,但其實這是假設,這也是關乎我們的知識認知,
[00:03:33.000 --> 00:03:55.000]  第二就是我們的邏輯推理,以及對問題事件的演繹,這就是我們的思考模式,問題在哪裡呢?問題我們會一跳就跳到結論,我們跳過所有步驟,一定是這樣,
