
[00:00:00.000 --> 00:00:02.600]  當你信主久了之後
[00:00:02.600 --> 00:00:04.680]  我不知道大家有沒有發現
[00:00:04.680 --> 00:00:07.120]  有些人進步神速
[00:00:07.120 --> 00:00:08.880]  剛剛洗完禮
[00:00:08.880 --> 00:00:10.880]  已經可以帶人信
[00:00:10.880 --> 00:00:13.520]  家裡人一個一個就是這樣信
[00:00:13.520 --> 00:00:16.080]  但另一方面也有很多信了十幾年
[00:00:16.080 --> 00:00:17.680]  二十幾年、三十幾年
[00:00:17.680 --> 00:00:19.680]  好像潛艇一樣
[00:00:19.680 --> 00:00:25.040]  一來來去去都是那個樣子
[00:00:25.040 --> 00:00:29.880]  有多少人發現有這種不同的?
[00:00:29.880 --> 00:00:30.880]  有沒有舉手?
[00:00:30.880 --> 00:00:31.880]  有發現到
[00:00:31.880 --> 00:00:32.880]  有些人很快的去到
[00:00:32.880 --> 00:00:33.880]  有些人很慢的
[00:00:33.880 --> 00:00:35.880]  或者我們都是其中一個很慢
[00:00:35.880 --> 00:00:37.880]  或者可能是很快的人也不一定
[00:00:37.880 --> 00:00:41.880]  有多少人發現信徒的靈情進度
[00:00:41.880 --> 00:00:43.880]  有快有慢
[00:00:43.880 --> 00:00:45.880]  有些非常正
[00:00:45.880 --> 00:00:47.880]  但有些好像沒有什麼分別
[00:00:47.880 --> 00:00:49.880]  感覺到有分別的
[00:00:49.880 --> 00:00:50.880]  舉手
[00:00:50.880 --> 00:00:52.880]  差不多大步了
[00:00:52.880 --> 00:00:56.880]  差不多大部分人都感覺到有分別
[00:00:56.880 --> 00:01:02.880]  到底什麼會令到一個人進步得這麼快
[00:01:02.880 --> 00:01:04.880]  結果累累
[00:01:04.880 --> 00:01:06.880]  很快就參加三福
[00:01:06.880 --> 00:01:07.880]  很快就參加栽培
[00:01:07.880 --> 00:01:09.880]  很快就做了組長
[00:01:09.880 --> 00:01:10.880]  然後還讀了神學
[00:01:10.880 --> 00:01:13.880]  我見到很多洗了禮兩年、三年
[00:01:13.880 --> 00:01:15.880]  讀神學
[00:01:15.880 --> 00:01:17.880]  不僅是讀神學
[00:01:17.880 --> 00:01:19.880]  我也告訴大家
[00:01:19.880 --> 00:01:21.880]  其中一個例子
[00:01:21.880 --> 00:01:26.880]  是正在做現在九龍城壽信會主任牧師的
[00:01:26.880 --> 00:01:28.880]  蔡少奇弟兄
[00:01:28.880 --> 00:01:30.880]  蔡少奇牧師
[00:01:30.880 --> 00:01:32.880]  是因為我們帶他去信主
[00:01:32.880 --> 00:01:34.880]  洗了禮兩年
[00:01:34.880 --> 00:01:36.880]  讀神學
[00:01:36.880 --> 00:01:38.880]  然後讀完一輪
[00:01:38.880 --> 00:01:39.880]  回到建道教
[00:01:39.880 --> 00:01:41.880]  教完之後
[00:01:41.880 --> 00:01:44.880]  現在在城壽侍奉
[00:01:44.880 --> 00:01:46.880]  而且成為他們的主任牧師
[00:01:46.880 --> 00:01:48.880]  但我們可能會問一個問題
[00:01:48.880 --> 00:01:50.880]  為什麼有些人可以這麼快
