
[00:00:00.000 --> 00:00:07.680]  上一堂我們主要由阿摩斯書的第一章
[00:00:07.680 --> 00:00:15.280]  我們開始看先知一連串針對以色列國鄰近
[00:00:15.280 --> 00:00:20.720]  從阿蘭到菲律賓到推羅到以東到阿摩
[00:00:20.720 --> 00:00:26.880]  摩訶猶大 一連七個不同的國家民族
[00:00:26.880 --> 00:00:36.480]  阿摩斯都用相似的格式的方法
[00:00:36.480 --> 00:00:41.920]  來向他們發出上主的審判
[00:00:41.920 --> 00:00:48.640]  我們指出這一連串的說話的真正目的
[00:00:48.640 --> 00:00:55.360]  其實是最後針對以色列的指責
[00:00:55.360 --> 00:01:02.000]  所以前面是一個可以說是引起聽的人的注意
[00:01:02.000 --> 00:01:10.720]  讓他們認同阿摩斯這個南國來的先知
[00:01:10.720 --> 00:01:13.280]  沒有一個抗拒的心
[00:01:13.280 --> 00:01:18.400]  在這樣的一個技巧下
[00:01:18.400 --> 00:01:28.000]  就帶出上主要對以色列所宣佈的審判的信息
[00:01:28.000 --> 00:01:32.000]  我們上一次也花了很長的時間
[00:01:32.000 --> 00:01:41.440]  去解釋第二章第六到第八節提到以色列的罪行
[00:01:41.440 --> 00:01:46.080]  我們解釋這件事所說的罪行
[00:01:46.080 --> 00:01:51.200]  和我們一般的印象或和合本的翻譯
[00:01:51.200 --> 00:01:53.360]  可能有一點點的出入
[00:01:53.360 --> 00:01:55.440]  特別我們指出和合本的
[00:01:55.440 --> 00:01:58.400]  父子同一個女子行人
[00:01:58.400 --> 00:02:02.400]  在神廟中喝受佛之人的酒
[00:02:02.400 --> 00:02:06.560]  這兩個的翻譯可能有一點點
[00:02:06.560 --> 00:02:12.080]  我不敢說過份 但這個翻譯去得很盡
[00:02:12.080 --> 00:02:16.400]  事實上我們肯定神的殿
[00:02:16.400 --> 00:02:21.440]  仍然是指上主說的耶和華的殿
[00:02:21.440 --> 00:02:27.040]  而父子針對一個女子
[00:02:27.040 --> 00:02:31.920]  這個行動不一定和性的關係有關
[00:02:31.920 --> 00:02:34.480]  特別我們指出在阿摩斯書裏面
[00:02:34.480 --> 00:02:37.520]  如果我們全卷書一起看
[00:02:37.520 --> 00:02:40.720]  我們發現阿摩斯從來沒有針對
[00:02:40.720 --> 00:02:47.440]  以色列國裏面的所謂性的道德來發言
[00:02:47.440 --> 00:02:52.320]  所以在這一節上如果和上下文連貫的話
[00:02:52.320 --> 00:02:59.120]  這個仍然是在說欺負一些社會當中的弱者
[00:02:59.120 --> 00:03:02.000]  就好像上下文說的那些窮人
[00:03:02.000 --> 00:03:05.440]  那些欠債的人
[00:03:05.440 --> 00:03:09.520]  而且我們特別留意到這裡所說的每一個行動
[00:03:09.520 --> 00:03:13.920]  都是合法的 都不是非法的
[00:03:13.920 --> 00:03:16.880]  但是在合法的範圍裏面
[00:03:16.880 --> 00:03:23.520]  我們留意到他們所做的欺負人的實情
[00:03:23.520 --> 00:03:27.520]  是令到上帝非常的憤怒
[00:03:27.520 --> 00:03:33.040]  我們又繼續指出第九節到第十一節
[00:03:33.040 --> 00:03:40.080]  上主告訴他們 神不是這樣對以色列的
[00:03:40.080 --> 00:03:45.600]  在以色列軟弱的時候 上主是幫助他們的
[00:03:45.600 --> 00:03:49.440]  現在以色列強盛起來了
[00:03:49.440 --> 00:03:55.760]  以色列現在不再是弱者的時候
[00:03:55.760 --> 00:04:00.960]  他們卻是反過來對他們當中的弱者
[00:04:00.960 --> 00:04:06.080]  是用這樣的態度大大得罪神的
[00:04:06.080 --> 00:04:11.520]  這樣的結論也幫助我們回頭看
[00:04:11.520 --> 00:04:14.400]  我們在上一堂也提過
[00:04:14.400 --> 00:04:19.920]  那連串指責外邦的審判
[00:04:19.920 --> 00:04:23.040]  有學者因為它長短不一
[00:04:23.040 --> 00:04:24.800]  上一堂我們指出過
[00:04:24.800 --> 00:04:30.480]  懷疑其中有一些可靠的程度
[00:04:30.480 --> 00:04:34.080]  會不會是後來加上去的呢?
[00:04:34.080 --> 00:04:37.920]  我們也介紹過一位猶太的學者
[00:04:37.920 --> 00:04:40.000]  Professor Shalom Paul
[00:04:40.000 --> 00:04:42.720]  耶路撒冷希伯來大學的聖經教授
[00:04:42.720 --> 00:04:49.360]  他指出每一個審判的段落
[00:04:49.360 --> 00:04:56.240]  彼此之間是有一個連結的關係的
[00:04:56.240 --> 00:04:59.440]  有時是用詞 有時是一句話
[00:04:59.440 --> 00:05:02.000]  譬如阿蘭和菲利士
[00:05:02.000 --> 00:05:04.240]  菲利士和推羅
[00:05:04.240 --> 00:05:06.000]  推羅和以東
[00:05:06.000 --> 00:05:07.600]  以東和阿滿
[00:05:07.600 --> 00:05:09.200]  阿滿和摩訶
[00:05:09.200 --> 00:05:18.400]  這些似乎指向這連串六個的說話
