
[00:00:00.000 --> 00:00:07.000]  宣教月第一個宣教訊息
[00:00:07.000 --> 00:00:11.000]  我們來到是一起思想神的心意
[00:00:11.000 --> 00:00:16.000]  今年教會定出來的題目是叫做
[00:00:16.000 --> 00:00:19.000]  火搖的世代
[00:00:19.000 --> 00:00:24.000]  你和我今天生活在一個火搖的世代裏面
[00:00:24.000 --> 00:00:27.000]  面對很多不同的衝擊
[00:00:27.000 --> 00:00:30.000]  或者是我們個人的衝擊
[00:00:30.000 --> 00:00:35.000]  無論是身體狀況、經濟狀況、家庭狀況
[00:00:35.000 --> 00:00:40.000]  或者是我們在一個社會大的形勢裏面
[00:00:40.000 --> 00:00:44.000]  我們面對很多從各方面的衝擊
[00:00:44.000 --> 00:00:49.000]  來打擊我們的信仰
[00:00:49.000 --> 00:00:53.000]  如果你記得幾年前
[00:00:53.000 --> 00:01:01.000]  這個圖片是在法國所產生出來的照片
[00:01:01.000 --> 00:01:05.000]  我相信你不會忘記那些恐怖的活動
[00:01:05.000 --> 00:01:11.000]  你也不會忘記幾年前在911事件所發生的事情
[00:01:11.000 --> 00:01:16.000]  今天你和我所面對的進入主耶穌基督
[00:01:16.000 --> 00:01:18.000]  還沒回來之前
[00:01:18.000 --> 00:01:23.000]  最後一個也是最嚴峻的挑戰
[00:01:23.000 --> 00:01:25.000]  一個衝擊
[00:01:25.000 --> 00:01:30.000]  是來自伊斯蘭教的衝擊
[00:01:30.000 --> 00:01:33.000]  我所用的是簡體字
[00:01:33.000 --> 00:01:35.000]  剛才在國語堂講完
[00:01:35.000 --> 00:01:40.000]  這個伊斯蘭教的衝擊
[00:01:40.000 --> 00:01:45.000]  是主耶穌基督再來之前最後一個的挑戰
[00:01:45.000 --> 00:01:48.000]  你和我都不需要驚慌
[00:01:48.000 --> 00:01:52.000]  也不需要隱藏
[00:01:52.000 --> 00:01:54.000]  不去面對
[00:01:54.000 --> 00:01:58.000]  這個火耀的世代已經殺到來了
[00:01:58.000 --> 00:02:00.000]  就在我們的前面
[00:02:00.000 --> 00:02:02.000]  就在我們的身邊
[00:02:02.000 --> 00:02:06.000]  我們大家一起來思想
[00:02:06.000 --> 00:02:11.000]  幾年前這些照片都不會陌生
[00:02:11.000 --> 00:02:16.000]  他們透過聖戰
[00:02:16.000 --> 00:02:18.000]  在他們的教科書裡面
[00:02:18.000 --> 00:02:22.000]  這個是約旦帕勒斯坦的教科書
[00:02:22.000 --> 00:02:24.000]  從小學就教導他們
[00:02:24.000 --> 00:02:26.000]  教導他們什麼呢
[00:02:26.000 --> 00:02:29.000]  就說要將所有的宗教
[00:02:29.000 --> 00:02:32.000]  在伊斯蘭的控制
[00:02:32.000 --> 00:02:36.000]  這個聖戰的戰士底下來摧毀他們
[00:02:36.000 --> 00:02:39.000]  在電視裡面
[00:02:39.000 --> 00:02:41.000]  2003年當時
[00:02:41.000 --> 00:02:43.000]  拉著一把長劍
[00:02:43.000 --> 00:02:46.000]  就說要殺盡所有的猶太人
[00:02:46.000 --> 00:02:53.000]  這張照片也都不會陌生
[00:02:53.000 --> 00:02:56.000]  就在他們的電視裡面
[00:02:56.000 --> 00:03:03.000]  就說要將全世界來到伊斯蘭教化
[00:03:03.000 --> 00:03:06.000]  這個人物也都不會陌生
[00:03:06.000 --> 00:03:10.000]  他說透過革命性的信息
[00:03:10.000 --> 00:03:14.000]  來傳遍伊斯蘭的信仰
[00:03:14.000 --> 00:03:15.000]  甚至說
[00:03:15.000 --> 00:03:19.000]  來在美國本土來控制
[00:03:19.000 --> 00:03:21.000]  掌管美國
[00:03:21.000 --> 00:03:22.000]  甚至說
[00:03:22.000 --> 00:03:27.000]  伊斯蘭要統治全世界
[00:03:27.000 --> 00:03:29.000]  你喜歡不喜歡
[00:03:29.000 --> 00:03:31.000]  都會發生的
[00:03:31.000 --> 00:03:33.000]  你喜歡不喜歡
[00:03:33.000 --> 00:03:35.000]  都會發生的
[00:03:35.000 --> 00:03:39.000]  這是我們所面對的世界
[00:03:39.000 --> 00:03:41.000]  我有一個同工
[00:03:41.000 --> 00:03:43.000]  他在美國底特律
[00:03:43.000 --> 00:03:45.000]  有一個清真寺
[00:03:45.000 --> 00:03:47.000]  全世界最大的清真寺
[00:03:47.000 --> 00:03:50.000]  旁邊有一個侍工
[00:03:50.000 --> 00:03:55.000]  他專門幫助一些穆斯林的婦女
[00:03:55.000 --> 00:03:57.000]  他們受到虐待的時候
[00:03:57.000 --> 00:03:59.000]  怎樣去幫助他們
[00:03:59.000 --> 00:04:01.000]  這個侍工叫做Angel House
[00:04:01.000 --> 00:04:03.000]  所以和這個清真寺
