
[00:00:00.000 --> 00:00:05.120]  各位聽聽姐妹們 平安
[00:00:05.120 --> 00:00:06.920]  今天想分享的題目是
[00:00:06.920 --> 00:00:09.560]  耶穌所愛的門徒
[00:00:09.560 --> 00:00:11.120]  你會不會奇怪
[00:00:11.120 --> 00:00:14.520]  耶穌不是每一個門徒都愛的嗎?
[00:00:14.520 --> 00:00:18.240]  為什麼你故意說耶穌所愛的門徒呢?
[00:00:18.240 --> 00:00:21.080]  你這個疑問是全對的
[00:00:21.080 --> 00:00:21.760]  為什麼呢?
[00:00:21.760 --> 00:00:23.920]  因為在約翰福音13:1里也說
[00:00:23.920 --> 00:00:28.760]  「逾節以前 耶穌知道自己離世歸附的時候到了
[00:00:28.760 --> 00:00:31.760]  他也愛世間屬自己的人
[00:00:31.760 --> 00:00:34.600]  就愛他們到底」
[00:00:34.600 --> 00:00:38.600]  沒錯 耶穌會愛屬於他的人
[00:00:38.600 --> 00:00:41.000]  是愛到底
[00:00:41.000 --> 00:00:44.200]  但為什麼又說耶穌所愛的門徒呢?
[00:00:44.200 --> 00:00:46.760]  原來真的有好幾段經文
[00:00:46.760 --> 00:00:52.000]  特別強調一個信徒是耶穌所愛的
[00:00:52.000 --> 00:00:55.520]  聖經沒有特別說這個是哪個門徒
[00:00:55.520 --> 00:00:57.640]  但我相信更重要的就是
[00:00:57.640 --> 00:00:59.240]  讓我們今天去看
[00:00:59.240 --> 00:01:02.880]  究竟如何成為耶穌所愛的門徒
[00:01:02.880 --> 00:01:06.080]  我們現在馬上去看幾個場景
[00:01:06.080 --> 00:01:10.000]  當場景出現了耶穌所愛的門徒
[00:01:10.000 --> 00:01:11.680]  去描述一個門徒的時候
[00:01:11.680 --> 00:01:14.600]  究竟發生了什麼事情
[00:01:14.600 --> 00:01:15.440]  你有沒有想過
[00:01:15.440 --> 00:01:17.840]  當你看到13:1那裡
[00:01:17.840 --> 00:01:21.160]  它說「就愛他們到底」
[00:01:21.160 --> 00:01:23.360]  究竟如何愛呢?
[00:01:23.360 --> 00:01:24.960]  在13:2
[00:01:24.960 --> 00:01:28.920]  「晚餐的時候魔鬼以把出賣耶穌的異屍
[00:01:28.920 --> 00:01:32.280]  放在加勒人西門的遺址
[00:01:32.280 --> 00:01:34.320]  猶大心裡」
[00:01:34.320 --> 00:01:35.800]  當講完這句話
