
[00:00:00.000 --> 00:00:08.000]  我們很快又去到生命記第十二章
[00:00:08.000 --> 00:00:12.000]  去到第十二章其實是一個很重要的環節
[00:00:12.000 --> 00:00:16.000]  因為第十二章去到第二十六章
[00:00:16.000 --> 00:00:19.000]  就是講很多的倫例典章
[00:00:19.000 --> 00:00:22.000]  那些都是很重要的教導
[00:00:22.000 --> 00:00:25.000]  十二章其實最主要的訊息
[00:00:25.000 --> 00:00:28.000]  是要我們專一地向神
[00:00:28.000 --> 00:00:32.000]  十三章是叫我們不要離棄神
[00:00:32.000 --> 00:00:34.000]  如果你想清楚
[00:00:34.000 --> 00:00:38.000]  專一向著神和不要離棄神
[00:00:38.000 --> 00:00:41.000]  其實是一個小銀的兩面
[00:00:41.000 --> 00:00:43.000]  講的東西都是一樣
[00:00:43.000 --> 00:00:47.000]  所以我將它兩章的經文放在一起
[00:00:47.000 --> 00:00:48.000]  給它一個題目
[00:00:48.000 --> 00:00:53.000]  叫做從日常生活學尊專一信靠
[00:00:53.000 --> 00:00:56.000]  要專一不要離棄神
[00:00:56.000 --> 00:00:59.000]  為何講律法之前
[00:00:59.000 --> 00:01:03.000]  摩西要叫以色列人要專一不要離棄神
[00:01:03.000 --> 00:01:05.000]  其實很簡單
[00:01:05.000 --> 00:01:09.000]  你講再多的倫例典章都沒有用
[00:01:09.000 --> 00:01:13.000]  如果以色列人是不專一敬拜他們的神
[00:01:13.000 --> 00:01:15.000]  如果他們離棄神的話
[00:01:15.000 --> 00:01:18.000]  你再講多些的律法都是沒有用
[00:01:18.000 --> 00:01:22.000]  十二章是用了三種事物來告訴我們
[00:01:22.000 --> 00:01:25.000]  我們要專一向著神
[00:01:25.000 --> 00:01:30.000]  十三章是用了三種人物告訴我們
[00:01:30.000 --> 00:01:32.000]  不要離棄神
[00:01:32.000 --> 00:01:34.000]  所以我們看到十二十三章
[00:01:34.000 --> 00:01:39.000]  都是有很重要的連帶關係
[00:01:39.000 --> 00:01:43.000]  我們先看看第十二章的三件事物
