
[00:00:00.000 --> 00:00:07.360]  是的 繼續要透過這個空中跟大家見面
[00:00:07.360 --> 00:00:11.720]  可以這麼說 講完《羅馬書》
[00:00:11.720 --> 00:00:17.280]  現在我準備接下來會跟大家一起去看《哥倫多後書》
[00:00:17.280 --> 00:00:22.200]  《哥倫多後書》是我自己很喜歡的一卷經卷
[00:00:22.200 --> 00:00:25.640]  不過一直都有些不是很敢講的
[00:00:25.640 --> 00:00:31.920]  不過人到了這個年紀 覺得有甚麼想講、想做的就快點做
[00:00:31.920 --> 00:00:35.240]  否則就退休年老衰敗 甚麼都做不了
[00:00:35.240 --> 00:00:41.080]  所以就決定跟大家分享《哥倫多後書》
[00:00:41.080 --> 00:00:43.520]  《哥倫多後書》為甚麼這麼特別呢?
[00:00:43.520 --> 00:00:49.320]  因為這是保羅最個人化的一卷書
[00:00:49.320 --> 00:00:50.800]  我們剛剛講完《羅馬書》
[00:00:50.800 --> 00:00:54.240]  《羅馬書》是一篇很不個人的
[00:00:54.240 --> 00:00:57.560]  《羅馬書》基本上是一篇很長的講道
[00:00:57.560 --> 00:00:59.800]  即是講述福音的內容
[00:00:59.800 --> 00:01:01.720]  《哥倫多後書》就相反的
[00:01:01.720 --> 00:01:05.360]  保羅講很多自己的心聲
[00:01:05.360 --> 00:01:08.440]  他作為一個傳道人 他的心聲
[00:01:08.440 --> 00:01:12.000]  所以為甚麼這卷書對我很有意思呢?
[00:01:12.000 --> 00:01:17.200]  某程度上就是跟保羅的經驗 也都反省自己的經驗
[00:01:17.200 --> 00:01:21.320]  也都希望大家藉著《哥倫多後書》可以反省你
[00:01:21.320 --> 00:01:26.320]  作為一個跟隨耶穌的人 你所行過的心路歷程
[00:01:26.320 --> 00:01:28.880]  我們今天第一次講
[00:01:28.880 --> 00:01:31.120]  所以我們就由第一章開始
[00:01:31.120 --> 00:01:34.480]  第一章第一二節就是基本上我寫《哥倫多》的人
[00:01:34.480 --> 00:01:36.200]  所以那兩節不讀了
[00:01:36.200 --> 00:01:44.000]  我們就由這兩三節一直讀到這兩四節
[00:01:44.000 --> 00:01:49.560]  你們在家裏可以一起看著聖經 一起跟著我讀
[00:01:49.560 --> 00:01:50.960]  好 開始
[00:01:50.960 --> 00:01:55.640]  願眾讚歸於我們的主耶穌基督的父神
[00:01:55.640 --> 00:02:00.360]  就是發慈悲的苦 賜各樣安慰的神
[00:02:00.360 --> 00:02:04.280]  我們在一切患難中 他就安慰我們
[00:02:04.280 --> 00:02:07.160]  叫我們能用神所賜的安慰
[00:02:07.160 --> 00:02:10.520]  去安慰那遭各樣患難的人
[00:02:10.520 --> 00:02:16.400]  我們既多受基督的苦楚 就靠基督多受安慰
[00:02:16.400 --> 00:02:22.280]  我們受患難是為叫你們得安慰、得拯救
[00:02:22.280 --> 00:02:26.960]  我們得安慰也是叫你們得安慰
[00:02:26.960 --> 00:02:35.320]  這安慰能叫你們忍受我們所受的那樣苦楚
[00:02:35.320 --> 00:02:40.000]  我們為你們所存的盼望是確定的
[00:02:40.000 --> 00:02:46.520]  因為知道你們既是同受苦楚 也必同得安慰
[00:02:46.520 --> 00:02:51.400]  弟兄們 我們不要你們不曉得
[00:02:51.400 --> 00:02:58.720]  我們從前在亞細亞遭遇苦難、被壓太重、力不能勝
[00:02:58.720 --> 00:03:03.000]  甚至連活命的指望都絕了
[00:03:03.000 --> 00:03:06.760]  自己心裡也斷定是必死的
[00:03:06.760 --> 00:03:12.080]  叫我們不靠自己 只靠叫死人復活的神
[00:03:12.080 --> 00:03:16.480]  祂曾救我們脫離那極大的死亡
[00:03:16.480 --> 00:03:18.720]  現在仍要救我們
[00:03:18.720 --> 00:03:23.400]  並且我們指望祂將來還要救我們
[00:03:23.400 --> 00:03:27.200]  你們以祈禱幫助我們
[00:03:27.200 --> 00:03:30.720]  叫許多人為我們謝恩
[00:03:30.720 --> 00:03:35.120]  就是為我們因許多人所得的恩
[00:03:35.120 --> 00:03:39.040]  我們所誇的是自己的良心
[00:03:39.040 --> 00:03:42.920]  見證我們憑著神的聖潔和誠實
[00:03:42.920 --> 00:03:46.080]  在世為人不靠人的聰明
[00:03:46.080 --> 00:03:47.760]  乃靠神的恩惠
[00:03:47.760 --> 00:03:50.240]  向你們更是這樣
[00:03:50.240 --> 00:03:53.040]  我們現在寫信給你們的話
[00:03:53.040 --> 00:03:57.600]  並不外乎你們所念的、所認識的
[00:03:57.600 --> 00:04:02.400]  我們也盼望你們到底還是要認識
[00:04:02.400 --> 00:04:06.360]  正如你們已經有幾分認識我們
[00:04:06.360 --> 00:04:08.280]  以我們誇口
[00:04:08.280 --> 00:04:13.320]  好像我們在我們主耶穌的日子
[00:04:13.320 --> 00:04:15.520]  以你們誇口一樣
[00:04:15.520 --> 00:04:18.000]  我既然這樣深信
[00:04:18.000 --> 00:04:21.200]  就早有意到你們那裡去
[00:04:21.200 --> 00:04:24.040]  叫你們再得到益主
[00:04:24.040 --> 00:04:28.520]  也要從你們那裡經過往馬其頓去
[00:04:28.520 --> 00:04:31.520]  再從馬其頓回到你們那裡
[00:04:31.520 --> 00:04:37.120]  叫你們給我送行往猶太去
[00:04:37.120 --> 00:04:40.720]  我有此意豈是反覆不定
[00:04:40.720 --> 00:04:44.800]  我所起的意豈是從情欲起的
[00:04:44.800 --> 00:04:47.840]  叫我忽是忽非
[00:04:47.840 --> 00:04:51.000]  我指著信實的神說
[00:04:51.000 --> 00:04:53.240]  我們向你們所傳的道
[00:04:53.240 --> 00:04:59.160]  並沒有是而又非的
[00:04:59.160 --> 00:05:02.120]  因為我和西拉並提阿泰
[00:05:02.120 --> 00:05:05.360]  在你們中間所傳神的遺旨
[00:05:05.360 --> 00:05:10.120]  耶穌基督總沒有是而又非的
