
[00:00:00.000 --> 00:00:06.560]  各位聽眾 今天比較遲了
[00:00:06.560 --> 00:00:11.820]  今早主席阿娟姐跟我說
[00:00:11.820 --> 00:00:13.160]  今天全靠你了
[00:00:13.160 --> 00:00:15.440]  我以為她還覺得我的意見很重要
[00:00:15.440 --> 00:00:19.880]  誰知她說你今天講得不要太長
[00:00:19.880 --> 00:00:22.920]  主要是給我們今早有一個很好的
[00:00:22.920 --> 00:00:25.000]  一起嘗試一個新的嘗試
[00:00:25.000 --> 00:00:27.080]  在這裡一起商討教會的事
[00:00:27.080 --> 00:00:29.240]  在我們兩年的教會主題裏面
[00:00:29.240 --> 00:00:31.600]  都是一切從祈禱開始
[00:00:31.600 --> 00:00:33.920]  所以很想透過這些時間
[00:00:33.920 --> 00:00:36.960]  特別是我們一年一次的靈異會的時候
[00:00:36.960 --> 00:00:39.880]  再一次回到關於祈禱的信息上
[00:00:39.880 --> 00:00:44.600]  我給的題目是「必蒙英運的禱告」
[00:00:44.600 --> 00:00:46.240]  我不知道你有沒有想過
[00:00:46.240 --> 00:00:50.160]  禱告當然我們知道是一件非常非常重要的事情
[00:00:50.160 --> 00:00:52.200]  因為禱告是上帝的工作
[00:00:52.200 --> 00:00:55.640]  如果我們禱告是必蒙英運的話
[00:00:55.640 --> 00:00:59.520]  即是說那件事情是上帝一定會做的
[00:00:59.520 --> 00:01:01.000]  我希望這個很重要的信息
[00:01:01.000 --> 00:01:02.600]  今天可以帶給大家
[00:01:02.600 --> 00:01:03.880]  我嘗試問問大家
[00:01:03.880 --> 00:01:06.120]  當你想起必蒙英運禱告的時候
[00:01:06.120 --> 00:01:09.480]  你想起什麼呢?
[00:01:09.480 --> 00:01:14.120]  什麼能夠必蒙禱告會英運呢?
[00:01:14.120 --> 00:01:15.760]  有些人說信心
[00:01:15.760 --> 00:01:18.440]  有些人說我們要懇切等等
[00:01:18.440 --> 00:01:20.920]  我相信你聽完今天這個講道之後
[00:01:20.920 --> 00:01:22.240]  你會覺得有點驚訝
[00:01:22.240 --> 00:01:23.720]  和大家所想的有點不同
[00:01:23.720 --> 00:01:27.680]  什麼是必蒙英運的禱告呢?
[00:01:27.680 --> 00:01:29.400]  今天宣傳的經文是《羅馬書》
[00:01:29.400 --> 00:01:30.600]  八章這段聖經
[00:01:30.600 --> 00:01:33.520]  我大約記得兩三年前和大家分享這段經文
[00:01:33.520 --> 00:01:36.520]  我希望今天從另一個角度和大家思想這段聖經
[00:01:36.520 --> 00:01:39.720]  《羅馬書》八章二十六到三十九節
[00:01:39.720 --> 00:01:41.720]  這篇經文我嘗試放闊一點
[00:01:41.720 --> 00:01:43.000]  看看它的上下文
[00:01:43.000 --> 00:01:44.520]  它的context
[00:01:44.520 --> 00:01:46.440]  整個《羅馬書》有十六章
[00:01:46.440 --> 00:01:48.440]  保羅的書信裡
[00:01:48.440 --> 00:01:50.280]  包括《羅馬書》在內
[00:01:50.280 --> 00:01:53.560]  都很容易將經文分為兩大部分
[00:01:53.560 --> 00:01:55.120]  一部分是教義部分
[00:01:55.120 --> 00:01:56.760]  即是它所說的真理的部分
[00:01:56.760 --> 00:01:58.760]  另一部分是應用的部分
[00:01:58.760 --> 00:02:00.280]  即是真理應用的部分
[00:02:00.280 --> 00:02:01.760]  以佛所說的很明顯的例子
[00:02:01.760 --> 00:02:02.920]  前面三章是教義
[00:02:02.920 --> 00:02:04.120]  後面三章是應用
[00:02:04.120 --> 00:02:05.120]  《羅馬書》也是
[00:02:05.120 --> 00:02:07.840]  《羅馬書》大約由第一章到十一章
[00:02:07.840 --> 00:02:09.360]  是講教義的部分
[00:02:09.360 --> 00:02:10.640]  然後十二章
[00:02:10.640 --> 00:02:11.720]  大家還記不記得
[00:02:11.720 --> 00:02:14.280]  《所以弟兄們將身體獻上當作活者》
[00:02:14.280 --> 00:02:17.560]  就是開始連接著講它應用的部分
[00:02:17.560 --> 00:02:20.360]  怎樣將我們所信的活出來
[00:02:20.360 --> 00:02:22.480]  而一到十一章的教義部分
[00:02:22.480 --> 00:02:24.480]  又可以分為兩個大段落
[00:02:24.480 --> 00:02:26.400]  大約由一到第八章
[00:02:26.400 --> 00:02:27.480]  這個地方停
[00:02:27.480 --> 00:02:29.640]  然後第九章到十一章
[00:02:29.640 --> 00:02:31.400]  是另一個段落
[00:02:31.400 --> 00:02:33.800]  一到十一章這個大段落
[00:02:33.800 --> 00:02:35.720]  大概可以總結為一句話
[00:02:35.720 --> 00:02:38.600]  就是講「因信清而復入」
[00:02:38.600 --> 00:02:40.200]  因為相信耶穌
[00:02:40.200 --> 00:02:42.200]  而被上帝稱為「二人」
[00:02:42.200 --> 00:02:43.280]  這個真理
[00:02:43.280 --> 00:02:44.400]  保羅很詳盡
[00:02:44.400 --> 00:02:45.600]  很有系統的解釋
[00:02:45.600 --> 00:02:46.560]  由我們是罪人
[00:02:46.560 --> 00:02:48.080]  到耶穌基督的挽回制
[00:02:48.080 --> 00:02:49.920]  到後來他講到我們
[00:02:49.920 --> 00:02:52.360]  由第六到第八章
[00:02:52.360 --> 00:02:54.360]  我們成為成性的生活
[00:02:54.360 --> 00:02:56.600]  為何九到十一章成為另一個段落呢?
