
[00:00:00.000 --> 00:00:06.560]  各位同學早晨 父親節快樂
[00:00:06.560 --> 00:00:12.160]  我想這個叫法可能大家都不習慣
[00:00:12.160 --> 00:00:15.960]  父親節快樂 父親不是很高地位
[00:00:15.960 --> 00:00:19.160]  可能對媽媽來說是很遠
[00:00:19.160 --> 00:00:23.720]  但題目就很厲害了 一個父親的呼求
[00:00:23.720 --> 00:00:29.080]  我爸爸向合一堂講過兩次呼求
[00:00:29.080 --> 00:00:33.080]  第一次在我三歲的時候
[00:00:33.080 --> 00:00:37.760]  他去求觀禾合一堂收我讀幼稚園
[00:00:37.760 --> 00:00:42.840]  其實我是不夠年齡的 我已經讀幼稚園高班
[00:00:42.840 --> 00:00:49.720]  第二次的呼求就是在20年前他想洗禮
[00:00:49.720 --> 00:00:54.360]  後來他就在合一堂度過了15年
[00:00:54.360 --> 00:00:59.280]  直到5年前他就回天家了
[00:00:59.280 --> 00:01:06.400]  不是很多時候聽到爸爸問人的 很少
[00:01:06.400 --> 00:01:08.960]  我做社工的時候
[00:01:08.960 --> 00:01:14.600]  我最有深刻印象就是一個爸爸去求我
[00:01:14.600 --> 00:01:19.440]  因為他的兒子是一個資優的新聞仔
[00:01:19.440 --> 00:01:22.120]  但是很大脾氣
[00:01:22.120 --> 00:01:24.960]  香港有一間很特別的學校
[00:01:24.960 --> 00:01:31.520]  一個班只教兩個人 一個很好的學校
[00:01:31.520 --> 00:01:38.840]  他就求我和這個校長想拿減費 甚至免費
[00:01:38.840 --> 00:01:42.840]  給他這個資優的新聞仔進去讀書
[00:01:42.840 --> 00:01:46.760]  後來他講了一個他的心事
[00:01:46.760 --> 00:01:50.720]  他自己也是一個精神有困擾的人
[00:01:50.720 --> 00:01:54.640]  還有他已經沒有錢了
[00:01:54.640 --> 00:01:58.920]  因為他用了很多錢來治自己的病
[00:01:58.920 --> 00:02:04.840]  我沒有試過一個男人講了自己最不應該
[00:02:04.840 --> 00:02:07.120]  最影響尊嚴的話
[00:02:07.120 --> 00:02:11.760]  對我一個這麼陌生的男人講這麼多話
[00:02:11.760 --> 00:02:15.360]  不容易一個爸爸講這麼多身世
[00:02:15.360 --> 00:02:19.560]  特別可憐的一面給人聽 不容易
[00:02:19.560 --> 00:02:23.720]  所以今天我想很值得看回剛才的聖經
[00:02:23.720 --> 00:02:30.800]  路加、馬太、馬可三段都講這件事的
[00:02:30.800 --> 00:02:32.800]  不過有些不同
[00:02:32.800 --> 00:02:35.200]  剛才主席讀的經文裡面
[00:02:35.200 --> 00:02:38.200]  有三個字眼很吸引我
[00:02:38.200 --> 00:02:41.120]  就是這個父親在求耶穌的時候
[00:02:41.120 --> 00:02:44.640]  他說這個是我獨生子
