
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹主內平安
[00:00:02.000 --> 00:00:10.000]  今日我們讀到薩姆爾記上第七章的經文
[00:00:10.000 --> 00:00:15.000]  這一章的經文記載「以便以謝」
[00:00:15.000 --> 00:00:22.000]  可以說是薩姆爾人生的分水嶺
[00:00:22.000 --> 00:00:24.000]  為甚麼這樣說呢?
[00:00:24.000 --> 00:00:32.000]  因為第七章一開始提到二十年
[00:00:32.000 --> 00:00:39.000]  就是以便以謝這件事發生之前的二十年
[00:00:39.000 --> 00:00:45.000]  這二十年薩姆爾成為以色列的先知
[00:00:45.000 --> 00:00:52.000]  所以七章第二節其實是接駁到第二章
[00:00:52.000 --> 00:00:56.000]  是接駁到第三章的結束
[00:00:56.000 --> 00:00:59.000]  十九二十節
[00:00:59.000 --> 00:01:03.000]  那書經文記載薩姆爾長大
[00:01:03.000 --> 00:01:06.000]  耶和華與他同在
[00:01:06.000 --> 00:01:13.000]  以色列人都知道耶和華立薩姆爾為先知
[00:01:13.000 --> 00:01:18.000]  我們當然記得薩姆爾記上第一到第三章
[00:01:18.000 --> 00:01:29.000]  是記載童子薩姆爾在士羅的聖所長大的經過
[00:01:29.000 --> 00:01:35.000]  特別半夜耶和華三次呼喚他
[00:01:35.000 --> 00:01:38.000]  第七章結束的時候
[00:01:38.000 --> 00:01:46.000]  就是以便以謝的戰爭打贏了菲利士人
[00:01:46.000 --> 00:01:51.000]  第十五節七章最後結束
[00:01:51.000 --> 00:02:00.000]  就告訴我們薩姆爾平生作以色列人的事司
[00:02:00.000 --> 00:02:08.000]  所以薩姆爾完了二十年先知的侍奉之後
[00:02:08.000 --> 00:02:13.000]  他就成為民族的領袖、事司
[00:02:13.000 --> 00:02:19.000]  做了多久經文沒有很準確的記載
[00:02:19.000 --> 00:02:27.000]  不過八章一節就告訴我們薩姆爾年紀老了
[00:02:27.000 --> 00:02:33.000]  他就立他兩個兒子接續他做以色列的事司
[00:02:33.000 --> 00:02:38.000]  當然薩姆爾記上是去到二十五章第一節
[00:02:38.000 --> 00:02:42.000]  才正式記載薩姆爾離開世界
[00:02:42.000 --> 00:02:46.000]  不過這樣看我們可以很簡單試一下
[00:02:46.000 --> 00:02:52.000]  如果說薩姆爾童子成長二十年
[00:02:52.000 --> 00:02:58.000]  在以利魯濟斯的教導之下
[00:02:58.000 --> 00:03:03.000]  他出來做先知二十歲、二十五歲
[00:03:03.000 --> 00:03:07.000]  二十年去到四十歲、四十五歲
[00:03:07.000 --> 00:03:11.000]  在這個時候是第七章所記載的
[00:03:11.000 --> 00:03:14.000]  以便以謝發生的事情
[00:03:14.000 --> 00:03:19.000]  接著四十到六十歲還是到六十五歲
[00:03:19.000 --> 00:03:25.000]  他作以色列的事司又一個二十年的日子
[00:03:25.000 --> 00:03:33.000]  然後他高立素羅之後他仍然在生
[00:03:33.000 --> 00:03:38.000]  他成為先知學院的院長
[00:03:38.000 --> 00:03:45.000]  他拯救大衛幫助他脫離素羅的追殺等等
[00:03:45.000 --> 00:03:48.000]  離開世界八十歲
[00:03:48.000 --> 00:03:53.000]  所以二十年這樣分薩姆爾的人生
[00:03:53.000 --> 00:03:56.000]  可以有四個階段
[00:03:56.000 --> 00:04:00.000]  而這一書第七章是他中間
[00:04:00.000 --> 00:04:04.000]  我們記得有一本書翻譯了中文
[00:04:04.000 --> 00:04:07.000]  人生下半場
[00:04:07.000 --> 00:04:10.000]  可能你看過可能你聽過
[00:04:10.000 --> 00:04:14.000]  其實他原本的英文名是Halftime
[00:04:14.000 --> 00:04:19.000]  借用了打球的比喻
[00:04:19.000 --> 00:04:21.000]  上半場完了
[00:04:21.000 --> 00:04:24.000]  半場休息的時候
[00:04:24.000 --> 00:04:26.000]  教練回到更衣室
[00:04:26.000 --> 00:04:33.000]  跟球隊商討下半場如何贏球
[00:04:33.000 --> 00:04:37.000]  如何重新定定策略
[00:04:37.000 --> 00:04:45.000]  所以Halftime這本書提醒我們來到人生的中間
[00:04:45.000 --> 00:04:50.000]  我們需要從成功的目標
[00:04:50.000 --> 00:04:56.000]  轉去尋求成就
[00:04:56.000 --> 00:04:59.000]  英文是success 是成功
