
[00:00:00.000 --> 00:00:12.000]  不知道大家在教會這麼多年有沒有聽過一個神術 或者基督教的術語叫做建造教會
[00:00:12.000 --> 00:00:14.000]  英文叫做Doing Church
[00:00:14.000 --> 00:00:28.000]  很多時候很多神學的研究裡面有關於教會發展都會認為教會的成形或者它的增長
[00:00:28.000 --> 00:00:35.000]  教會的增長這個題目都會談論教會如何使它更加興旺 更多人來參加
[00:00:35.000 --> 00:00:43.000]  於是很多時候就會說到其實這是一個另性的建造過程
[00:00:43.000 --> 00:00:47.000]  我不否定是有這個重要的元素
[00:00:47.000 --> 00:00:52.000]  但是卻是讓我們看回教會今天的建造過程當中
[00:00:52.000 --> 00:00:58.000]  反而很多時候是人意充斥在教會裡面
[00:00:58.000 --> 00:01:05.000]  而不是我們所看見的教會是在上帝的恩典之下而去逐步的建造
[00:01:05.000 --> 00:01:14.000]  其實最明顯的一個例子就是在教會當中很多時候都有很多希望要求
[00:01:14.000 --> 00:01:19.000]  教會的教徒或者信眾去做一些捐獻
[00:01:19.000 --> 00:01:25.000]  以前我回教會是屬於一間大型教會
[00:01:25.000 --> 00:01:33.000]  去到一件事我其實是信了主之後去參加的
[00:01:33.000 --> 00:01:38.000]  有一件事我就不是太過理解或者不是太過覺得舒服的
[00:01:38.000 --> 00:01:45.000]  就是去到教會裡面很多牌子用銀色的銅
[00:01:45.000 --> 00:01:51.000]  就挑了一些名字然後就說誰人的捐獻誰人的奉獻
[00:01:51.000 --> 00:02:02.000]  然後就釘在椅子上比如教堂崇拜的椅子上
[00:02:02.000 --> 00:02:14.000]  或者在教會的房間的門上釘出某某人或某某抗禮的奉獻
[00:02:14.000 --> 00:02:19.000]  甚至我回教會的時候有很多彩色玻璃
[00:02:19.000 --> 00:02:25.000]  又有風琴又有很多美輪美奐的裝飾
[00:02:25.000 --> 00:02:32.000]  都有不同的人名釘在這些裝飾建築上
[00:02:32.000 --> 00:02:40.000]  我就覺得奇怪為什麼教會很多時候說是上帝的恩典
[00:02:40.000 --> 00:02:46.000]  神的子民的聚會一起學習追求真理的地方
[00:02:46.000 --> 00:02:49.000]  但是充滿了這麼多人名呢
[00:02:49.000 --> 00:02:55.000]  後來我去到不同教會的侍奉的時候有些東西就覺得很詫異
[00:02:55.000 --> 00:02:58.000]  我侍奉就來來去去都是以馬來理
[00:02:58.000 --> 00:03:00.000]  但是都有不少教會請我去港島
[00:03:00.000 --> 00:03:03.000]  大家留意近幾年越來越少
[00:03:03.000 --> 00:03:09.000]  因為他們很怕我去港島之後他們的醜相被暴露了出來
[00:03:09.000 --> 00:03:11.000]  那怎麼樣呢
[00:03:11.000 --> 00:03:13.000]  有一次我去到一間教會裡面
[00:03:13.000 --> 00:03:16.000]  剛好那次我去港島就有關於奉獻的問題
[00:03:16.000 --> 00:03:19.000]  但是那間教會就在搞建堂
[00:03:19.000 --> 00:03:26.000]  他們建堂有一個建堂計劃叫做一人一磚瓦的計劃
[00:03:26.000 --> 00:03:33.000]  我做客席講員我就在聽他們講什麼
[00:03:33.000 --> 00:03:38.000]  原來每個信徒我鼓勵你去認捐
[00:03:38.000 --> 00:03:41.000]  教會要去建一個教堂
[00:03:41.000 --> 00:03:44.000]  所以要很多磚瓦
[00:03:44.000 --> 00:03:48.000]  我們希望你們都能夠每人認捐一塊磚
[00:03:48.000 --> 00:03:50.000]  認捐一幅牆
[00:03:50.000 --> 00:03:54.000]  我想認捐一幅牆很嚴重
[00:03:54.000 --> 00:03:56.000]  一幅牆很多磚
[00:03:56.000 --> 00:04:02.000]  當你認捐之後我就能夠給你在這塊磚頭的中間
[00:04:02.000 --> 00:04:06.000]  寫一張你的名字然後放在這塊磚
[00:04:06.000 --> 00:04:09.000]  當建造這塊牆或者放這塊磚的時候
[00:04:09.000 --> 00:04:14.000]  就有你的名字在這塊磚頭當中
[00:04:14.000 --> 00:04:16.000]  就是你有份了
[00:04:16.000 --> 00:04:19.000]  聽起來好像很同心協力
[00:04:19.000 --> 00:04:23.000]  很群策群力
[00:04:23.000 --> 00:04:26.000]  每個人都有些參與
[00:04:26.000 --> 00:04:28.000]  如果是沒有問題的
[00:04:28.000 --> 00:04:29.000]  每個人都參與
[00:04:29.000 --> 00:04:31.000]  但是如果要留名
[00:04:31.000 --> 00:04:35.000]  這個我就看回聖經上有很多地方
[00:04:35.000 --> 00:04:40.000]  使我有所懷疑這個做法是否真的這麼恰當
[00:04:40.000 --> 00:04:42.000]  沒錯他們可以很努力
[00:04:42.000 --> 00:04:46.000]  大家用盡自己的金錢心思
[00:04:46.000 --> 00:04:50.000]  來將教會建造得很漂亮
[00:04:50.000 --> 00:04:52.000]  但是建造起來的時候
[00:04:52.000 --> 00:04:55.000]  似乎好像加了很多
[00:04:55.000 --> 00:04:59.000]  不是真的想奉獻給上帝的那份心思
[00:04:59.000 --> 00:05:03.000]  而是加了很多自己的名譽放進去
[00:05:03.000 --> 00:05:06.000]  當然有一次我在聚會裡
[00:05:06.000 --> 00:05:09.000]  曾經問過我自己的教會
