
[00:00:00.000 --> 00:00:05.000]  請自妹樹來平安
[00:00:05.000 --> 00:00:10.000]  感恩去年廣恩二十週年
[00:00:10.000 --> 00:00:13.000]  這是去年 不是今年 不用怕
[00:00:13.000 --> 00:00:22.000]  我們一起讀了崔埃及的中間三章四章的經文
[00:00:22.000 --> 00:00:26.000]  《立約》的書卷
[00:00:26.000 --> 00:00:35.000]  今年我準備和大家進入到崔埃及記的主題
[00:00:35.000 --> 00:00:41.000]  崔埃及記的主題不是崔埃及
[00:00:41.000 --> 00:00:49.000]  不要給個名字令我們有一個先入為主的觀念
[00:00:49.000 --> 00:00:56.000]  是 崔埃及是很重要的一件歷史事實
[00:00:56.000 --> 00:01:01.000]  雖然有什麼證據 今天很喜歡講證據
[00:01:01.000 --> 00:01:06.000]  以色列人如果不是真的經歷過
[00:01:06.000 --> 00:01:12.000]  不需要講以前我們在埃及做奴隸
[00:01:12.000 --> 00:01:15.000]  不是打工 是做奴隸
[00:01:15.000 --> 00:01:19.000]  430年了 所以是很重要的一件事
[00:01:19.000 --> 00:01:29.000]  但是崔埃及記的書名是後來翻譯了希臘文才加上去
[00:01:29.000 --> 00:01:32.000]  Exodus 你認識這個字吧
[00:01:32.000 --> 00:01:35.000]  不是英文來的 是希臘文來的
[00:01:35.000 --> 00:01:41.000]  去年九月我們有機會去到希臘
[00:01:41.000 --> 00:01:52.000]  在公路上坐巴士唯一認識的一個希臘文
[00:01:52.000 --> 00:01:55.000]  就是Exodus 出口
[00:01:55.000 --> 00:02:00.000]  等於英文Exit 認識了
[00:02:00.000 --> 00:02:04.000]  因為聖經有這一卷書
[00:02:04.000 --> 00:02:08.000]  所以崔埃及記的主題是什麼呢
[00:02:08.000 --> 00:02:15.000]  我們會分開四段的經文
[00:02:15.000 --> 00:02:22.000]  來一起思想和學習
[00:02:22.000 --> 00:02:26.000]  我先讀今天的經文
[00:02:26.000 --> 00:02:36.000]  就是崔埃及記的四十章三十四、三十五節
[00:02:36.000 --> 00:02:46.000]  當時雲彩遮蓋回眸 耶和華的榮光就充滿了帳幕
[00:02:46.000 --> 00:02:52.000]  漠世不能進回眸 因為雲彩停在其上
[00:02:52.000 --> 00:02:59.000]  並且耶和華的榮光充滿了帳幕
[00:02:59.000 --> 00:03:05.000]  唯一的可惜就是和學本甚至和修版中文翻譯
[00:03:05.000 --> 00:03:08.000]  都翻譯成榮光
[00:03:08.000 --> 00:03:13.000]  其實原本cavote這個字
[00:03:13.000 --> 00:03:17.000]  好幾次出現在崔埃及記
[00:03:17.000 --> 00:03:20.000]  都是翻譯成榮耀
[00:03:20.000 --> 00:03:22.000]  這句其實都一樣
[00:03:22.000 --> 00:03:31.000]  耶和華的榮耀充滿帳幕
[00:03:31.000 --> 00:03:39.000]  結束的景象成為崔埃及記的高潮
[00:03:39.000 --> 00:03:42.000]  成為崔埃及記的焦點
[00:03:42.000 --> 00:03:50.000]  這是我們今天想和弟兄姊妹一起進入崔埃及記的主題
