
[00:00:00.000 --> 00:00:06.800]  這個題目就是「學會謙卑」
[00:00:06.800 --> 00:00:12.000]  為甚麼懂得謙卑會讓我們人生有所突破呢?
[00:00:12.000 --> 00:00:17.200]  對我來說要分享這個題目一點都不容易
[00:00:17.200 --> 00:00:22.200]  我預備得最久就是這一講 學習謙卑
[00:00:22.200 --> 00:00:25.200]  因為以前我在香港做老師的時候
[00:00:25.200 --> 00:00:29.000]  不可以太謙卑 在課室裏面
[00:00:29.000 --> 00:00:32.800]  當學生問你甚麼的時候 你說「識識識識識」
[00:00:32.800 --> 00:00:35.200]  而且你站出來也要有個氣勢
[00:00:35.200 --> 00:00:37.000]  就是「我比你們厲害」
[00:00:37.000 --> 00:00:39.800]  因為特別是去到那些名校演講
[00:00:39.800 --> 00:00:41.400]  每個人都不聽你的話
[00:00:41.400 --> 00:00:43.400]  「我補習老師比你厲害」
[00:00:43.400 --> 00:00:44.800]  要有個勢在那裏
[00:00:44.800 --> 00:00:46.600]  就是你告訴他們「我比你們厲害」
[00:00:46.600 --> 00:00:49.000]  「你們要乖乖地聽我說話」
[00:00:49.000 --> 00:00:51.400]  然後開始有些人找我演講
[00:00:51.400 --> 00:00:55.000]  譬如有些大公司叫我和千多人演講
[00:00:55.000 --> 00:00:58.200]  他給的錢一定要覺得物有所值
[00:00:58.200 --> 00:01:02.200]  然後他就說「呂先生 你有甚麼強項的地方」
[00:01:02.200 --> 00:01:03.800]  「有甚麼厲害的地方」
[00:01:03.800 --> 00:01:05.200]  我說「有呀有呀有呀」
[00:01:05.200 --> 00:01:08.000]  「你給我電郵地址 我發給你」
[00:01:08.000 --> 00:01:11.600]  「我就告訴你我有多厲害」
[00:01:11.600 --> 00:01:13.400]  可能久而久之
[00:01:13.400 --> 00:01:18.000]  有時也有人說「這個人呂宇俊很不謙卑」
[00:01:18.000 --> 00:01:21.200]  「很驕傲的 懶得厲害」
[00:01:21.200 --> 00:01:23.800]  昨晚很高興 我們團契的時候
[00:01:23.800 --> 00:01:26.400]  一起分享 一起祈禱
[00:01:26.400 --> 00:01:31.200]  然後大家都說到很難謙卑 謙虛
[00:01:31.200 --> 00:01:33.600]  有個弟兄 有個姐妹都說
[00:01:33.600 --> 00:01:37.000]  「呂傳道真的很難謙卑」
[00:01:37.000 --> 00:01:40.600]  因為當你在公司 如果你太謙虛
[00:01:40.600 --> 00:01:42.000]  你有兩處地方會去
[00:01:42.000 --> 00:01:46.400]  一處就在下面 一處就在外面
[00:01:46.400 --> 00:01:49.000]  我說「甚麼叫下面 甚麼叫外面」
[00:01:49.000 --> 00:01:51.200]  他說「當你經常問你有甚麼不懂的地方」
[00:01:51.200 --> 00:01:52.400]  即是問你懂甚麼
[00:01:52.400 --> 00:01:53.200]  你會說「我不懂的 我不懂的」
[00:01:53.200 --> 00:01:54.800]  「我不行的 我不行的」
[00:01:54.800 --> 00:01:56.000]  「我不厲害的」
[00:01:56.000 --> 00:01:58.600]  然後你就會被人踩在下面
[00:01:58.600 --> 00:02:01.600]  然後別人就會上了
[00:02:01.600 --> 00:02:03.400]  我說「外面」是甚麼意思
[00:02:03.400 --> 00:02:05.600]  即是說「不用你做了」
[00:02:05.600 --> 00:02:06.800]  「你這樣又不行」
[00:02:06.800 --> 00:02:08.000]  「那樣又不行」
[00:02:08.000 --> 00:02:09.200]  「那你不用做」
[00:02:09.200 --> 00:02:11.800]  那謙卑的意思是甚麼呢?
[00:02:11.800 --> 00:02:13.000]  謙卑的意思是甚麼呢?
[00:02:13.000 --> 00:02:15.400]  「我不行的 我不行的」
[00:02:15.400 --> 00:02:18.000]  所以小時候我在教會 上教會的時候
[00:02:18.000 --> 00:02:20.400]  我以前很謙卑的 我不知道是不是呢?
[00:02:20.400 --> 00:02:22.800]  因為主要是老師叫我做甚麼
[00:02:22.800 --> 00:02:24.000]  傳道人叫我做甚麼
[00:02:24.000 --> 00:02:25.800]  牧師師母叫我做甚麼
[00:02:25.800 --> 00:02:27.000]  我說「我不行的 我不行的」
[00:02:27.000 --> 00:02:28.800]  「我不行的 我不行的」
[00:02:28.800 --> 00:02:30.000]  然後有一次傳道人說
[00:02:30.000 --> 00:02:32.000]  「你甚麼都說不行」
[00:02:32.000 --> 00:02:34.000]  「接程序表行不行」
[00:02:34.000 --> 00:02:35.200]  我說「行」
[00:02:35.200 --> 00:02:36.200]  「我都說不行了 是不是」
[00:02:36.200 --> 00:02:37.600]  「接程序表而已」
[00:02:37.600 --> 00:02:39.200]  所以我在教會第一個侍奉
[00:02:39.200 --> 00:02:40.600]  就是接程序表
[00:02:40.600 --> 00:02:42.000]  我都接得很厲害
[00:02:42.000 --> 00:02:44.200]  馬上又不謙虛了
[00:02:44.200 --> 00:02:45.800]  因為我可以很多張一起接
[00:02:45.800 --> 00:02:47.000]  因為有一次有師母教我
[00:02:47.000 --> 00:02:48.200]  「你不用逐張接的」
[00:02:48.200 --> 00:02:49.800]  「你很多張 一疊這樣接」
[00:02:49.800 --> 00:02:52.600]  「然後拔出來 再逐張這樣」
[00:02:52.600 --> 00:02:54.000]  但結果傳道人就說
[00:02:54.000 --> 00:02:55.200]  「你要接程序表」
[00:02:55.200 --> 00:02:56.000]  「你要做師事」
[00:02:56.000 --> 00:02:59.000]  「你就要早九個字回來教會」
[00:02:59.000 --> 00:03:01.600]  馬上又有點害怕了
[00:03:01.600 --> 00:03:02.400]  又說不行了
[00:03:02.400 --> 00:03:05.000]  我說「為甚麼早點回教會不行呢」
[00:03:05.000 --> 00:03:07.800]  究竟甚麼是謙卑呢
[00:03:07.800 --> 00:03:10.400]  謙卑的英文就是Humble
[00:03:10.400 --> 00:03:12.600]  我們看看一些定義
[00:03:12.600 --> 00:03:15.800]  在這個現代漢語字典
[00:03:15.800 --> 00:03:19.000]  就說謙卑就是謙虛
[00:03:19.000 --> 00:03:21.800]  「吾自高自大」
[00:03:21.800 --> 00:03:23.400]  即是不要認了
[00:03:23.400 --> 00:03:28.400]  而慈海就說謙虛就是虛心
[00:03:28.400 --> 00:03:31.400]  「吾自滿」
[00:03:31.400 --> 00:03:33.000]  看看英文又怎麼說
[00:03:33.000 --> 00:03:34.600]  牛津字典就說
[00:03:34.600 --> 00:03:36.200]  Showing you do not think
[00:03:36.200 --> 00:03:40.600]  that you are as important as other people
[00:03:40.600 --> 00:03:41.600]  即是說顯示
[00:03:41.600 --> 00:03:42.600]  我很喜歡這兩個字
[00:03:42.600 --> 00:03:44.000]  一個是Showing
[00:03:44.000 --> 00:03:46.800]  即是顯示出來給人看
[00:03:46.800 --> 00:03:51.800]  你不覺得自己是好像別人那麼重要
[00:03:51.800 --> 00:03:53.800]  有兩個字我覺得很想大家記一記
[00:03:53.800 --> 00:03:56.400]  就是Showing 顯出
[00:03:56.400 --> 00:03:59.000]  即是你的外表有沒有告訴人
[00:03:59.000 --> 00:04:03.400]  你很重要呢
[00:04:03.400 --> 00:04:05.600]  然後劍橋字典又怎麼說呢
[00:04:05.600 --> 00:04:06.800]  它說Not proud
[00:04:06.800 --> 00:04:10.000]  or not believing that you are important
[00:04:10.000 --> 00:04:13.200]  我覺得它的意思深過牛津一點
[00:04:13.200 --> 00:04:15.800]  就是它說你不要驕傲
[00:04:15.800 --> 00:04:16.600]  不要驕傲的時候
[00:04:16.600 --> 00:04:18.600]  還有你不要相信自己
[00:04:18.600 --> 00:04:20.200]  你很重要
[00:04:20.200 --> 00:04:21.600]  層次高一點
[00:04:21.600 --> 00:04:23.600]  第一個牛津那裡
[00:04:23.600 --> 00:04:25.800]  就是說你要表達出
[00:04:25.800 --> 00:04:27.000]  你不是那麼重要
[00:04:27.000 --> 00:04:28.400]  其實他心裡可能也覺得
[00:04:28.400 --> 00:04:30.200]  我很重要
[00:04:30.200 --> 00:04:31.600]  這間公司沒有我
[00:04:31.600 --> 00:04:33.200]  倒閉了
[00:04:33.200 --> 00:04:36.400]  但可能他表現出不是的
[00:04:36.400 --> 00:04:39.000]  但是劍橋字典就說
[00:04:39.000 --> 00:04:39.800]  你不要驕傲
[00:04:39.800 --> 00:04:42.000]  還有不要相信你自己
[00:04:42.000 --> 00:04:43.800]  是真的那麼重要
[00:04:43.800 --> 00:04:46.400]  這個可能難一點
[00:04:46.400 --> 00:04:48.400]  有我們今天一起在聖經裏面學習
[00:04:48.400 --> 00:04:51.200]  甚麼是聖經裏面說的謙虛
[00:04:51.200 --> 00:04:53.000]  去突破我們的人生
[00:04:53.000 --> 00:04:55.400]  但先說正面的教材的時候
[00:04:55.400 --> 00:04:57.800]  我們先說一個反面教材
[00:04:57.800 --> 00:04:58.800]  如果我問大家
[00:04:58.800 --> 00:04:59.800]  你猜一下聖經裏面
[00:04:59.800 --> 00:05:02.200]  甚麼人物你覺得很不謙虛呢
[00:05:02.200 --> 00:05:04.400]  我不知道你想起誰
[00:05:04.400 --> 00:05:07.400]  但我就想起一個例子
