
[00:00:00.000 --> 00:00:02.240]  撒旦要引誘夏娃的時候
[00:00:02.240 --> 00:00:04.920]  他說你吃這個禁果 你眼睛就會明亮
[00:00:04.920 --> 00:00:05.920]  聖經怎樣記載呢?
[00:00:05.920 --> 00:00:08.360]  當你吃了的時候 眼睛就明亮過來
[00:00:08.360 --> 00:00:10.360]  是不是真的明亮呢?
[00:00:10.360 --> 00:00:12.640]  他看那些不好的東西就明亮
[00:00:12.640 --> 00:00:15.440]  聖經告訴你禁果不可以吃的時候
[00:00:15.440 --> 00:00:17.240]  他以為這些是給他有智慧
[00:00:17.240 --> 00:00:19.880]  給他眼光有明亮
[00:00:19.880 --> 00:00:23.200]  事實上是世界的神弄黑了他的眼睛
[00:00:23.200 --> 00:00:24.760]  以至今天我們看不見
[00:00:24.760 --> 00:00:27.120]  什麼叫是非 什麼叫黑白
[00:00:27.120 --> 00:00:30.720]  在剛才我們讀這段聖經裏面是一個很有趣的一段聖經
[00:00:30.720 --> 00:00:32.960]  教我們怎樣開眼
[00:00:32.960 --> 00:00:37.440]  怎樣睜大眼睛來看到上帝的族人
[00:00:37.440 --> 00:00:42.080]  看到上帝的心意是一個什麼樣的心意
[00:00:42.080 --> 00:00:46.240]  這段聖經是一個很奇怪的聖經
[00:00:46.240 --> 00:00:49.880]  我想起來 當蘇聯的太空人上太空的時候
[00:00:49.880 --> 00:00:51.280]  下來的時候 第一句話
[00:00:51.280 --> 00:00:53.000]  沒有上帝的我看不到
[00:00:53.000 --> 00:00:56.880]  美國的太空人到了月球的時候
[00:00:56.880 --> 00:00:58.280]  他就怎樣呢?
[00:00:58.280 --> 00:00:59.680]  詩篇第八篇就念
[00:00:59.680 --> 00:01:01.600]  諸天屬於上帝的榮耀
[00:01:01.600 --> 00:01:04.360]  窮倉傳揚他的信神
[00:01:04.360 --> 00:01:05.600]  兩個完全不同
[00:01:05.600 --> 00:01:07.600]  當我們中國的太空人上來
[00:01:07.600 --> 00:01:09.440]  楊利偉下來的時候
[00:01:09.440 --> 00:01:10.560]  有人問他
[00:01:10.560 --> 00:01:12.160]  你有沒有見到上帝?
[00:01:12.160 --> 00:01:13.200]  他就很懂得回答
[00:01:13.200 --> 00:01:16.640]  我的即時不是看這件事的
[00:01:16.640 --> 00:01:21.240]  他比那些蘇聯人聰明很多
[00:01:21.240 --> 00:01:23.960]  究竟我們怎樣開眼
[00:01:23.960 --> 00:01:27.000]  讓我們睜大眼睛來看得見
[00:01:27.000 --> 00:01:30.000]  首先我們在這段聖經看到有三大矛盾
[00:01:30.000 --> 00:01:32.480]  第一個叫做巴塞達的矛盾
[00:01:32.480 --> 00:01:35.000]  第二是耶穌叫做伊治的矛盾
[00:01:35.000 --> 00:01:37.920]  第三個就是今天跟我們有關係的一個更大的矛盾
[00:01:37.920 --> 00:01:40.280]  首先我們看看巴塞達的矛盾
[00:01:40.280 --> 00:01:42.080]  第22節
[00:01:42.080 --> 00:01:43.440]  他們來到巴塞達
[00:01:43.440 --> 00:01:46.320]  有人帶著一個盒子來到求他我
[00:01:46.320 --> 00:01:48.600]  求他我他
[00:01:48.600 --> 00:01:53.680]  這個記載 這個神蹟是一件很奇怪的一件事
[00:01:53.680 --> 00:01:55.680]  可以看到
[00:01:55.680 --> 00:02:00.160]  首先馬可告訴你這件事是發生在巴塞達
[00:02:00.160 --> 00:02:02.160]  巴塞達是一個甚麼地方來的
[00:02:02.160 --> 00:02:04.520]  如果我們看看地理形勢就知道
[00:02:04.520 --> 00:02:07.840]  巴塞達是加利利海最北的地方
[00:02:07.840 --> 00:02:09.440]  是北端的地方
[00:02:09.440 --> 00:02:10.760]  我們知道
[00:02:10.760 --> 00:02:13.920]  在巴勒斯坦是一個很乾旱的地方
[00:02:13.920 --> 00:02:15.760]  水是一個最重要的
[00:02:15.760 --> 00:02:18.560]  所有以色列的水從哪裏來的呢
[00:02:18.560 --> 00:02:21.520]  就是在黎巴嫩的黑門山
[00:02:21.520 --> 00:02:24.000]  那些雪融化之後就流這些水
[00:02:24.000 --> 00:02:26.960]  經過約旦河然後去到加利利海
[00:02:26.960 --> 00:02:30.280]  今天其中以巴衝突其中一個最大的問題
[00:02:30.280 --> 00:02:32.760]  或者敘利亞和以前的敘利亞
[00:02:32.760 --> 00:02:36.680]  或者黎巴嫩或者其他阿拉伯國和以色列
[00:02:36.680 --> 00:02:40.120]  其中一個最大的衝突的地方就是水的問題
[00:02:40.120 --> 00:02:41.880]  誰拿了水 誰拿了水
[00:02:41.880 --> 00:02:44.080]  水是一個很重要的
[00:02:44.080 --> 00:02:47.400]  以色列能夠將沙漠變成良田就是水的問題
[00:02:47.400 --> 00:02:48.680]  就是水
[00:02:48.680 --> 00:02:51.240]  而這個巴塞達
[00:02:51.240 --> 00:02:57.000]  就是剛剛約旦河在北面流下來
[00:02:57.000 --> 00:03:02.880]  去到加利利海大概距離有兩英里的地方
[00:03:02.880 --> 00:03:05.080]  這個巴塞達的名字是叫做
[00:03:05.080 --> 00:03:08.160]  這個名字的意思叫做狩獵之地
[00:03:08.160 --> 00:03:09.600]  A place of hunting
[00:03:09.600 --> 00:03:11.560]  可能那些人很喜歡在那裏打鳥也說不定
[00:03:11.560 --> 00:03:14.640]  不知道有甚麼可以打 黃巾或者兔子之類
[00:03:14.640 --> 00:03:17.080]  但是這個字也可以叫做滿足之地
[00:03:17.080 --> 00:03:18.840]  A place of satisfaction
[00:03:18.840 --> 00:03:20.400]  如果我們看看這段聖經的時候
[00:03:20.400 --> 00:03:23.360]  我們發現巴塞達發現兩件非常有趣的事
[00:03:23.360 --> 00:03:27.680]  第一件事是耶穌在這個地方用五個餅
[00:03:27.680 --> 00:03:32.240]  五餅二魚餵飽了五千個男人
[00:03:32.240 --> 00:03:34.080]  而只是男人就有五千個
[00:03:34.080 --> 00:03:36.640]  通常來說女性就多於男性
[00:03:36.640 --> 00:03:39.560]  同是參加聽道的多數都是女性多於男性
[00:03:39.560 --> 00:03:41.320]  所以我估計如果計算小孩
[00:03:41.320 --> 00:03:43.040]  計算甚麼是有萬多人
[00:03:43.040 --> 00:03:48.920]  用五餅二魚吃飽了一萬多人
[00:03:48.920 --> 00:03:51.520]  這段聖經為甚麼是獨特的呢
