
[00:00:00.000 --> 00:00:05.440]  十誡我們只是讀了九條
[00:00:05.440 --> 00:00:10.880]  因為今天我們講到來到第九條的誡命
[00:00:10.880 --> 00:00:15.000]  不可作假見證 陷害人
[00:00:15.000 --> 00:00:21.160]  八月底我們就會講最後的一句
[00:00:21.160 --> 00:00:26.500]  假見證當然不是說在教會裡面講見證
[00:00:26.500 --> 00:00:29.500]  不准加鹽加醋
[00:00:29.500 --> 00:00:32.860]  不過固然我們要小心
[00:00:32.860 --> 00:00:36.980]  不要作見證 廣東話很傳神 是吧?
[00:00:36.980 --> 00:00:39.760]  你講見證將榮耀歸給神
[00:00:39.760 --> 00:00:41.520]  不過不要作出來
[00:00:41.520 --> 00:00:44.780]  有那樣沒有那樣你要分得清楚
[00:00:44.780 --> 00:00:50.900]  不過這裡不是在講我們見證會裡面的見證
[00:00:50.900 --> 00:00:54.880]  你應該看得到 它說陷害人
[00:00:54.880 --> 00:01:02.080]  新譯本就更加準確的說 不可以作假的證供
[00:01:02.080 --> 00:01:06.420]  那就馬上不同了的感覺
[00:01:06.420 --> 00:01:09.880]  作證供 落口供
[00:01:09.880 --> 00:01:18.700]  你馬上想到是一個司法的制度裡面的其中一環
[00:01:19.380 --> 00:01:25.340]  是啊 上帝的吩咐很現實的
[00:01:25.340 --> 00:01:31.480]  它不是假設一個完美的社會
[00:01:31.480 --> 00:01:36.100]  或者一個完美的群體
[00:01:36.100 --> 00:01:41.320]  就算教會屬於神的兒女走在一起
[00:01:41.320 --> 00:01:46.040]  都不是完美 都不是沒有問題
[00:01:46.040 --> 00:01:51.480]  沒有事的 沒有衝突的 沒有爭拗的
[00:01:51.480 --> 00:01:54.340]  如果你有這樣的想法
[00:01:54.340 --> 00:01:58.040]  你快點小心分辨
[00:01:58.040 --> 00:02:01.540]  這個不是由聖經那裡而來的
[00:02:01.540 --> 00:02:06.580]  聖經的出發點從來都不是完美
[00:02:06.580 --> 00:02:11.600]  聖經的出發點是很現實的
[00:02:11.600 --> 00:02:15.280]  在家庭裡面是有衝突的
[00:02:15.280 --> 00:02:20.200]  在群體當中是有不同的意見的
[00:02:20.200 --> 00:02:22.480]  甚至教會都是一樣
[00:02:22.480 --> 00:02:28.660]  實際上是上帝對他的子民的教導
[00:02:28.660 --> 00:02:32.280]  你看看 它不是教導它的百姓說
[00:02:32.280 --> 00:02:35.680]  你們當中不可以有爭論
[00:02:35.680 --> 00:02:42.120]  你們當中絕對不准有訴訟上法庭
[00:02:42.120 --> 00:02:45.040]  以色列人當中沒有法庭這回事的
[00:02:45.040 --> 00:02:46.780]  因為不需要的
[00:02:46.780 --> 00:02:51.380]  是外邦人才會爭論到上去見官的
[00:02:51.380 --> 00:02:54.240]  不是這樣的
[00:02:54.240 --> 00:02:56.520]  在以色列人當中
[00:02:56.520 --> 00:03:03.880]  一樣會有兩個人或者兩班人叫大架
[00:03:03.880 --> 00:03:07.100]  那就要處理的了
[00:03:07.100 --> 00:03:12.000]  我們就是有時候那個出發點錯了
[00:03:12.000 --> 00:03:15.320]  我們認為不應該吵架的 沒有的
[00:03:15.320 --> 00:03:17.320]  為什麼會有呢?
[00:03:17.320 --> 00:03:21.380]  那就逃避 當沒有發生
[00:03:21.380 --> 00:03:24.320]  離開 換一個環境
[00:03:24.320 --> 00:03:27.700]  希望在新的地方沒有這個事
[00:03:27.700 --> 00:03:31.120]  不過很快你就會失望了
[00:03:31.120 --> 00:03:34.980]  很快又會有相同的事情再發生
[00:03:34.980 --> 00:03:36.580]  那就再找吧
[00:03:36.580 --> 00:03:38.640]  北美洲就是這樣開始的
[00:03:38.640 --> 00:03:41.440]  在歐洲找不到伊甸園
[00:03:41.440 --> 00:03:44.600]  找不到美麗的烏托邦
[00:03:44.600 --> 00:03:46.880]  那就搬過來北美洲
[00:03:46.880 --> 00:03:49.500]  美國找不到就搬上加拿大
[00:03:49.500 --> 00:03:53.080]  加拿大東邊找不到就搬去西邊
[00:03:53.080 --> 00:03:59.100]  但聖經不是這樣教我們的
[00:03:59.100 --> 00:04:04.860]  聖經是要我們在現實的生活當中
[00:04:04.860 --> 00:04:09.060]  怎樣去面對、怎樣去處理
[00:04:09.060 --> 00:04:16.660]  當有兩個人的爭執衝突到一個很嚴重的地步
[00:04:16.660 --> 00:04:20.060]  要去見審判官
[00:04:20.060 --> 00:04:24.780]  這個司法的過程 你知道了
[00:04:24.780 --> 00:04:28.640]  審判官要判斷的時候
[00:04:28.640 --> 00:04:33.300]  就要傳召有人作證
[00:04:33.300 --> 00:04:36.500]  你是否在場的
[00:04:36.500 --> 00:04:39.820]  事情到底是怎樣發生的
[00:04:39.820 --> 00:04:43.300]  當然那兩個人已經說了很多次了
[00:04:43.300 --> 00:04:46.260]  他有他講 他有他講
[00:04:46.260 --> 00:04:48.500]  當然是很不同的版本
[00:04:48.500 --> 00:04:52.700]  很不同的感受 很不同的說法
[00:04:52.700 --> 00:04:56.860]  要找一些撞車你就明白了
[00:04:56.860 --> 00:04:59.180]  有人說我看著你
[00:04:59.180 --> 00:05:02.520]  是他cut線沒有打燈
[00:05:02.520 --> 00:05:04.520]  事實是甚麼呢?
[00:05:04.520 --> 00:05:11.240]  現在說的不可作假見證、陷害人
[00:05:11.240 --> 00:05:14.460]  是說一個這樣的處境
[00:05:14.460 --> 00:05:21.180]  這個處境就是假設了在一個不完美的群體當中
[00:05:21.180 --> 00:05:25.260]  有衝突、有爭執
[00:05:25.260 --> 00:05:27.260]  而且很嚴重
[00:05:27.260 --> 00:05:29.260]  去到一個程度 是吧?
[00:05:29.260 --> 00:05:34.600]  是要有一個過程 有一個司法的制度
[00:05:34.600 --> 00:05:38.480]  來處理問題
[00:05:38.480 --> 00:05:42.440]  佛教裏面其中有一句話
[00:05:42.440 --> 00:05:48.460]  就教導我們這些敬畏神的兒女
[00:05:48.460 --> 00:05:52.300]  在這個司法的過程
