
[00:00:00.000 --> 00:00:05.000]  各位大姐妹 大家早安
[00:00:05.000 --> 00:00:07.000]  讓我們在聆聽主的說話熱線
[00:00:07.000 --> 00:00:10.000]  讓我們一起同心低頭禱告
[00:00:10.000 --> 00:00:14.000]  將為心思意念交給上主我們的神
[00:00:14.000 --> 00:00:17.000]  天父多謝你讓我們再次回來
[00:00:17.000 --> 00:00:20.000]  在你寶貴說話的面前學習
[00:00:20.000 --> 00:00:22.000]  在你的啟示當中
[00:00:22.000 --> 00:00:25.000]  讓我們學會怎樣去做一個
[00:00:25.000 --> 00:00:31.000]  按照主理正義而去活的基督徒
[00:00:31.000 --> 00:00:36.000]  求你讓我們每一個屬你的子民謹慎度日
[00:00:36.000 --> 00:00:39.000]  好使我們所行所想
[00:00:39.000 --> 00:00:42.000]  在平日的生命生活當中
[00:00:42.000 --> 00:00:45.000]  都能夠成為主理的見證
[00:00:45.000 --> 00:00:47.000]  合乎主用
[00:00:47.000 --> 00:00:49.000]  求你的帶領
[00:00:49.000 --> 00:00:53.000]  無論在網絡上連結我們的大兄姐妹
[00:00:53.000 --> 00:00:55.000]  以及在實體崇拜的每一個
[00:00:55.000 --> 00:00:58.000]  在祈求主理的帶領
[00:00:58.000 --> 00:01:01.000]  讓我們每一個都能夠再次在
[00:01:01.000 --> 00:01:04.000]  這個屬靈的學習過程當中
[00:01:04.000 --> 00:01:07.000]  有聖靈管束著我們
[00:01:07.000 --> 00:01:10.000]  也都賦予我們力量
[00:01:10.000 --> 00:01:15.000]  能夠一同去活出一個合神生意的生命
[00:01:15.000 --> 00:01:18.000]  禱告奉靠主耶穌基督
[00:01:18.000 --> 00:01:20.000]  得勝的名字而求
[00:01:20.000 --> 00:01:22.000]  大門
[00:01:22.000 --> 00:01:28.000]  信主本來是一件非常嚴肅的事情
[00:01:28.000 --> 00:01:31.000]  是需要帶著很謹慎
[00:01:31.000 --> 00:01:34.000]  以及一個很尊重的態度
[00:01:34.000 --> 00:01:38.000]  來相信我們這位上主
[00:01:38.000 --> 00:01:41.000]  走這條屬靈的道路
