
[00:00:00.000 --> 00:00:05.000]  剛才我們讀了這一篇
[00:00:05.000 --> 00:00:10.000]  可能大家都相當熟悉的詩篇
[00:00:10.000 --> 00:00:14.000]  最近大家都看到滿城風雨
[00:00:14.000 --> 00:00:17.000]  醜聞滿天飛
[00:00:17.000 --> 00:00:21.000]  如果你是當事人
[00:00:21.000 --> 00:00:24.000]  不知道你會怎麼做
[00:00:24.000 --> 00:00:26.000]  旁觀的人
[00:00:26.000 --> 00:00:30.000]  我發覺總是有過人的智慧
[00:00:30.000 --> 00:00:32.000]  要麼就大意凜然
[00:00:32.000 --> 00:00:35.000]  義正詞嚴
[00:00:35.000 --> 00:00:37.000]  勸人要坦白
[00:00:37.000 --> 00:00:39.000]  勸人要直接認
[00:00:39.000 --> 00:00:42.000]  那就一定有出路
[00:00:42.000 --> 00:00:45.000]  詩篇三十二篇
[00:00:45.000 --> 00:00:49.000]  可以說是被揭發的人
[00:00:49.000 --> 00:00:51.000]  他的心聲
[00:00:51.000 --> 00:00:54.000]  當然今天我們大家要懂得
[00:00:54.000 --> 00:00:56.000]  分別什麼叫揭發
[00:00:56.000 --> 00:00:59.000]  什麼叫抹黑
[00:00:59.000 --> 00:01:02.000]  分別在於真實性
[00:01:02.000 --> 00:01:06.000]  也在於動機
[00:01:06.000 --> 00:01:09.000]  我發覺在詩篇
[00:01:09.000 --> 00:01:13.000]  三十二篇所給我們看見的
[00:01:13.000 --> 00:01:15.000]  無論是動機
[00:01:15.000 --> 00:01:18.000]  或者是真確性
[00:01:18.000 --> 00:01:23.000]  都全部是非常精緻的
[00:01:23.000 --> 00:01:25.000]  非常好的
[00:01:25.000 --> 00:01:28.000]  就在這十一節的經文裏
[00:01:28.000 --> 00:01:32.000]  是蘊藏了很豐富的真理
[00:01:32.000 --> 00:01:33.000]  智慧
[00:01:33.000 --> 00:01:35.000]  恩典
[00:01:35.000 --> 00:01:38.000]  也都混雜了淚水
[00:01:38.000 --> 00:01:41.000]  和歡笑
[00:01:41.000 --> 00:01:44.000]  我敢說詩篇三十二篇
[00:01:44.000 --> 00:01:50.000]  是我們罪人的引路明燈
[00:01:50.000 --> 00:01:55.000]  剛才我們讀了這篇詩篇
[00:01:55.000 --> 00:02:02.000]  我試試讀一個和合本的修訂本
[00:02:02.000 --> 00:02:04.000]  給大家聽聽
[00:02:04.000 --> 00:02:07.000]  過犯得赦免
[00:02:07.000 --> 00:02:11.000]  罪惡蒙遮蓋的人有福
[00:02:11.000 --> 00:02:14.000]  耶和華不算為有罪
[00:02:14.000 --> 00:02:18.000]  內心沒有鬼咋的人有福了
[00:02:18.000 --> 00:02:20.000]  我閉口不認罪的時候
[00:02:20.000 --> 00:02:25.000]  因終日新淫而骨頭枯乾
[00:02:25.000 --> 00:02:27.000]  黑夜白日
[00:02:27.000 --> 00:02:31.000]  你的手壓在我身上沉重
[00:02:31.000 --> 00:02:34.000]  我的精力耗盡
[00:02:34.000 --> 00:02:37.000]  如同夏天的剛寒
[00:02:37.000 --> 00:02:39.000]  我向你陳明我的罪
[00:02:39.000 --> 00:02:40.000]  不隱瞞我的惡
[00:02:40.000 --> 00:02:45.000]  我要向耶和華承認我的過犯
[00:02:45.000 --> 00:02:48.000]  你就赦免我的罪惡
[00:02:48.000 --> 00:02:51.000]  為此凡虔誠人都當
[00:02:51.000 --> 00:02:53.000]  趁你可尋找的時候
[00:02:53.000 --> 00:02:54.000]  向你禱告
[00:02:54.000 --> 00:02:56.000]  大水氾濫的時候
[00:02:56.000 --> 00:02:58.000]  必不淋到他
[00:02:58.000 --> 00:03:01.000]  你是我藏身之處
[00:03:01.000 --> 00:03:04.000]  你必保佑我脫離苦難
[00:03:04.000 --> 00:03:06.000]  以得救的歡呼
[00:03:06.000 --> 00:03:09.000]  赦免還擾我
[00:03:09.000 --> 00:03:11.000]  我要教導你
[00:03:11.000 --> 00:03:13.000]  只是你當行的路
[00:03:13.000 --> 00:03:16.000]  我要定徵在你身上怨誡你
[00:03:16.000 --> 00:03:20.000]  你不可著那無知的雷馬
[00:03:20.000 --> 00:03:24.000]  須用卓環姜繩勒住
[00:03:24.000 --> 00:03:27.000]  不然他就不會靠近你
[00:03:27.000 --> 00:03:30.000]  惡人必多受苦楚
[00:03:30.000 --> 00:03:33.000]  唯獨倚靠耶和華的
[00:03:33.000 --> 00:03:37.000]  必有慈愛四面還擾他
[00:03:37.000 --> 00:03:39.000]  而人啊
[00:03:39.000 --> 00:03:43.000]  你們應當靠耶和華歡喜快樂
[00:03:43.000 --> 00:03:45.000]  心裡正直的人啊
[00:03:45.000 --> 00:03:50.000]  你們都當歡呼
[00:03:50.000 --> 00:03:52.000]  結構很簡單
[00:03:52.000 --> 00:03:54.000]  一至二節
[00:03:54.000 --> 00:03:57.000]  是赦免過後的福分
[00:03:57.000 --> 00:03:59.000]  三至四節
[00:03:59.000 --> 00:04:03.000]  是含在罪裡面的那種痛苦
[00:04:03.000 --> 00:04:05.000]  第五節
[00:04:05.000 --> 00:04:09.000]  是全篇的一個書鈕
[00:04:09.000 --> 00:04:11.000]  一個轉捩點
[00:04:11.000 --> 00:04:12.000]  一節而已
[00:04:12.000 --> 00:04:15.000]  卸下罪擔的驚喜
[00:04:15.000 --> 00:04:17.000]  六至七節
[00:04:17.000 --> 00:04:20.000]  是復和之後的穩妥
[00:04:20.000 --> 00:04:22.000]  八至九節
