
[00:00:00.000 --> 00:00:14.000]  靚節目早晨,61週年唐慶,好像跟去年60週年唐慶很快趣又一年,時間真的很快
[00:00:14.000 --> 00:00:18.000]  我今天想和大家的思想就是有關我們的歷史
[00:00:18.000 --> 00:00:23.000]  今年是宗教改革500週年,在宗教改革200年之後
[00:00:23.000 --> 00:00:31.000]  在德國的信宗教會,當時為了要對抗天主教而來的逼迫
[00:00:31.000 --> 00:00:35.000]  所以他們要努力去建立他們的教義
[00:00:35.000 --> 00:00:44.000]  在200多年當時的教會都沒有想過宣教
[00:00:44.000 --> 00:00:48.000]  直到17世紀末,即是1690年的時候
[00:00:48.000 --> 00:00:54.000]  有兩個很敬賢的宣教士,一個叫普士周,一個叫薛神波
[00:00:54.000 --> 00:01:00.000]  當時他得到丹麥的皇帝叫肥力四世的支持
[00:01:00.000 --> 00:01:03.000]  他們很想宣教,但當時是沒有人支持他們
[00:01:03.000 --> 00:01:10.000]  他是最早的,就差派去到南印度的一個丹麥的殖民地宣教
[00:01:10.000 --> 00:01:15.000]  和丹麥的皇家差會和英國的宣教士一起去做
[00:01:15.000 --> 00:01:20.000]  直到18世紀,即是1750年代的時候
[00:01:20.000 --> 00:01:24.000]  當時歐洲就開始留意到要去宣教
[00:01:24.000 --> 00:01:30.000]  因為天主教已經在海外宣教了200多年
[00:01:30.000 --> 00:01:35.000]  整個南美洲、菲律賓、東南亞很多地方都是在天主教的宣教下面
[00:01:35.000 --> 00:01:37.000]  但基督教宣教還沒有起步
[00:01:37.000 --> 00:01:43.000]  直到18世紀初的時候,當時在英國的倫敦會已經開始宣教
[00:01:43.000 --> 00:01:47.000]  信義宗教會也在這個時候開始宣教
[00:01:47.000 --> 00:01:50.000]  當時是受到一些敬賢主義影響的
[00:01:50.000 --> 00:01:54.000]  其中一個叫莫拉維派,他們很熱心傳呼音
[00:01:54.000 --> 00:02:00.000]  於是德國的信義宗教會就成立一些所謂的差傳小組
[00:02:00.000 --> 00:02:04.000]  我們把信義宗教會宣教分成三個時期
[00:02:04.000 --> 00:02:07.000]  第一個時期就是平信徒的宣教
