
[00:00:00.000 --> 00:00:05.080]  好 都是先讀了經文
[00:00:05.080 --> 00:00:07.800]  三章十二節到四章六節
[00:00:07.800 --> 00:00:10.780]  我們今天繼續講哥倫多後書的
[00:00:10.780 --> 00:00:14.600]  OK 好 那我控制是不是?
[00:00:14.600 --> 00:00:18.880]  好 那就OK
[00:00:18.880 --> 00:00:23.940]  好 那我們不如一起讀三章十二節到四章六節
[00:00:23.940 --> 00:00:25.140]  我們一起讀
[00:00:25.140 --> 00:00:30.880]  而比起我們既有這樣的盼望就大膽講說
[00:00:30.880 --> 00:00:34.720]  不像摩西將柏子蒙在面上
[00:00:34.720 --> 00:00:40.720]  叫以色列人不能定睛看著那張廢者的結局
[00:00:40.720 --> 00:00:43.620]  但他們的心肺剛硬
[00:00:43.620 --> 00:00:47.360]  直到今日中讀舊約的時候
[00:00:47.360 --> 00:00:50.420]  這柏子還沒有竊去
[00:00:50.420 --> 00:00:55.140]  這柏子在基督裡已經廢去了
[00:00:55.140 --> 00:01:00.600]  然而直到今日每逢中讀摩西書的時候
[00:01:00.600 --> 00:01:03.600]  柏子還在他們心上
[00:01:03.600 --> 00:01:07.120]  但他們的心何時歸回主
[00:01:07.120 --> 00:01:10.500]  柏子就隨時除去了
[00:01:10.500 --> 00:01:12.460]  主就是那靈
[00:01:12.460 --> 00:01:14.420]  主的靈在那裡
[00:01:14.420 --> 00:01:17.300]  那裡就得以自由
[00:01:17.300 --> 00:01:20.340]  我們眾人既然躺著眠
[00:01:20.340 --> 00:01:23.060]  得以看見主的榮光
[00:01:23.060 --> 00:01:26.140]  好像從鏡子裡反照
[00:01:26.140 --> 00:01:28.500]  就變成主的形狀
[00:01:28.500 --> 00:01:30.340]  榮上加榮
[00:01:30.340 --> 00:01:34.040]  如同主的靈變成的
[00:01:34.040 --> 00:01:36.640]  我們既然蒙憐憫
[00:01:36.640 --> 00:01:38.500]  受了這積分
[00:01:38.500 --> 00:01:40.180]  就不喪膽
[00:01:40.180 --> 00:01:45.060]  乃將那些暗昧可恥的士氣絕了
[00:01:45.060 --> 00:01:46.700]  不行詭詐
[00:01:46.700 --> 00:01:49.220]  不謀講神的道
[00:01:49.220 --> 00:01:52.180]  將神裡表明出來
[00:01:52.180 --> 00:01:54.980]  好在神面前把自己
[00:01:54.980 --> 00:01:57.660]  佔領各人的良心
[00:01:57.660 --> 00:02:01.060]  如果我們的福音蒙蔽
[00:02:01.060 --> 00:02:04.900]  就是蒙蔽在滅亡的人身上
[00:02:04.900 --> 00:02:06.820]  此等不信之人
[00:02:06.820 --> 00:02:10.660]  被這世界上的眼弄瞎了心
[00:02:10.660 --> 00:02:11.540]  西庚神
[00:02:11.540 --> 00:02:16.140]  不叫基督榮耀福音的光照著他們
[00:02:16.140 --> 00:02:19.140]  基督本是神的形
[00:02:19.140 --> 00:02:22.260]  我們不得是全自己
[00:02:22.260 --> 00:02:25.380]  乃是全基督耶穌為主
[00:02:25.380 --> 00:02:30.020]  並且自己因耶穌作你們的牧人
[00:02:30.020 --> 00:02:34.780]  那分副光從黑暗裡照出來的神
[00:02:34.780 --> 00:02:37.780]  已經照在我們心裡
[00:02:37.780 --> 00:02:41.260]  叫我們得知神榮耀的光
[00:02:41.260 --> 00:02:44.700]  顯在耶穌基督的面上
[00:02:44.700 --> 00:02:46.900]  我們低頭做一個禱告
