
[00:00:00.000 --> 00:00:02.000]  歡迎大家收看「大紀元」
[00:00:03.000 --> 00:00:06.400]  歡問大兄姊妹平安 新年快樂
[00:00:06.400 --> 00:00:10.900]  非常榮幸有機會在桂堂2021年
[00:00:10.900 --> 00:00:12.000]  新的一年裏面
[00:00:12.000 --> 00:00:14.500]  第一個主日崇拜分享新華語
[00:00:14.500 --> 00:00:19.000]  我都知道今天是桂堂的獎議會的就職禮
[00:00:19.000 --> 00:00:22.200]  我真的衷心盼望教會能夠上下一心
[00:00:22.200 --> 00:00:24.400]  一同為主發光
[00:00:24.400 --> 00:00:27.600]  2020年過了
[00:00:27.600 --> 00:00:30.000]  如果我們用艱辛兩個字
[00:00:30.000 --> 00:00:33.400]  形容過去一年我相信平不為過
[00:00:33.400 --> 00:00:35.800]  但迎接新的一年裏面
[00:00:35.800 --> 00:00:39.800]  2021年我們當然希望新的一年比舊的一年好得多
[00:00:39.800 --> 00:00:42.400]  但看回今天疫情的發展
[00:00:42.400 --> 00:00:45.400]  其實前面都不是真的很樂觀
[00:00:45.400 --> 00:00:49.400]  儘管疫苗已經開始接種
[00:00:49.400 --> 00:00:54.000]  但能夠平均地去分配
[00:00:54.000 --> 00:00:55.600]  實在都不容易
[00:00:55.600 --> 00:01:02.600]  我聽說每一年最多可以出到大約10億支疫苗
[00:01:02.600 --> 00:01:04.800]  每人要打兩支
[00:01:04.800 --> 00:01:08.200]  但全世界有78億人口
[00:01:08.200 --> 00:01:10.600]  所以真的需要一段時間
[00:01:10.600 --> 00:01:17.200]  才能夠達到70%的人可以接種
[00:01:17.200 --> 00:01:20.800]  以至能夠做到群體免疫的果效
[00:01:20.800 --> 00:01:23.000]  所以需要做一段很長的時間
[00:01:23.000 --> 00:01:27.200]  另外最近英國和南非的變種
[00:01:27.200 --> 00:01:29.400]  都給我們一些驚懼
[00:01:29.400 --> 00:01:32.400]  不知道會不會有什麼不定的因素
[00:01:32.400 --> 00:01:38.800]  但我們發覺我們都受疫情影響了不短時間
[00:01:38.800 --> 00:01:41.800]  有些人都說Pandemic fatigue
[00:01:41.800 --> 00:01:44.200]  因為疫情都搞得我們真的很疲乏
[00:01:44.200 --> 00:01:46.800]  但我發覺面對這些困難的時候
[00:01:46.800 --> 00:01:50.600]  如果我們只是注目在當中的時候
[00:01:50.600 --> 00:01:52.800]  我不知道大家會不會有一個感覺
