
[00:00:00.000 --> 00:00:02.000]  各位電視節目的早安
[00:00:02.000 --> 00:00:06.000]  今天主要給我機會來到北宣這個大家庭
[00:00:06.000 --> 00:00:11.000]  我非常欣賞和看到我的題目
[00:00:11.000 --> 00:00:13.000]  「使命與承傳」
[00:00:13.000 --> 00:00:17.000]  其實來到北宣我覺得這個題目簡直是班門弄斧
[00:00:17.000 --> 00:00:21.000]  因為事實上我所知道的在環教會
[00:00:21.000 --> 00:00:26.000]  在環教會當中我想北宣能夠承傳那個榜樣
[00:00:26.000 --> 00:00:28.000]  是我非常欣賞和羨慕的
[00:00:28.000 --> 00:00:30.000]  由《藤甘墨絲》到現在
[00:00:30.000 --> 00:00:36.000]  今天看到有在第二堂和第四堂有機會參與的時間
[00:00:36.000 --> 00:00:40.000]  有不同的北宣的神學生、年輕人興起
[00:00:40.000 --> 00:00:42.000]  實在很感恩
[00:00:42.000 --> 00:00:48.000]  我知道今年都是北宣的70週年唐慶
[00:00:48.000 --> 00:00:49.000]  在這裡代表神學院
[00:00:49.000 --> 00:00:51.000]  也榮幸地代表神學院
[00:00:51.000 --> 00:00:56.000]  恭賀北宣的70週年的時刻
[00:00:56.000 --> 00:01:00.000]  也代表博路神學院向大家問安
[00:01:00.000 --> 00:01:02.000]  在神的恩典之下
[00:01:02.000 --> 00:01:04.000]  過去很多年有50年代
[00:01:04.000 --> 00:01:07.000]  一直開始我們在九龍塘做校舍的地方
[00:01:07.000 --> 00:01:10.000]  自從2019年搬到美孚
[00:01:10.000 --> 00:01:12.000]  交通更加集中
[00:01:12.000 --> 00:01:15.000]  上帝給我們更多的機會
[00:01:15.000 --> 00:01:17.000]  我們也有不同的課程
[00:01:17.000 --> 00:01:19.000]  包括我們會鼓勵弟兄姊妹考慮
[00:01:19.000 --> 00:01:21.000]  今天是十年神學主日
[00:01:21.000 --> 00:01:24.000]  會不會探討做傳道人
[00:01:24.000 --> 00:01:26.000]  一個營會
[00:01:26.000 --> 00:01:28.000]  一個獻心營的營會
[00:01:28.000 --> 00:01:30.000]  還有其它課程在這裡不多說
[00:01:30.000 --> 00:01:33.000]  大家可以在我們網上看
[00:01:33.000 --> 00:01:37.000]  包括有金靈、晚間的普及課程和學位課程等等
[00:01:37.000 --> 00:01:40.000]  如果大家有興趣可以上我們網頁看
[00:01:40.000 --> 00:01:42.000]  「使命與傳承」
[00:01:42.000 --> 00:01:48.000]  我選了這段聖經提摩太后書第二章一到第七節
[00:01:48.000 --> 00:01:52.000]  這段經文我想今天在有限的時間
[00:01:52.000 --> 00:01:57.000]  我只會有些重點和大家分享
[00:01:57.000 --> 00:02:00.000]  不過我想闊一點看這段經文
[00:02:00.000 --> 00:02:02.000]  就是提摩太后書
[00:02:02.000 --> 00:02:04.000]  保羅在世
[00:02:04.000 --> 00:02:07.000]  在聖經裡面記載是最後一段書
[00:02:07.000 --> 00:02:11.000]  提摩太是保羅的接班人
[00:02:11.000 --> 00:02:15.000]  是他栽培的一個年輕的傳道人
[00:02:15.000 --> 00:02:20.000]  但你看保羅寫提摩太前書和提摩太后書
[00:02:20.000 --> 00:02:22.000]  整個氣氛是不同的
[00:02:22.000 --> 00:02:24.000]  提摩太前書好像是還有機會
[00:02:24.000 --> 00:02:27.000]  很正常地有機會的傳道
[00:02:27.000 --> 00:02:29.000]  保羅教一個年輕的牧者
[00:02:29.000 --> 00:02:31.000]  他怎樣去做一個牧人
[00:02:31.000 --> 00:02:33.000]  但提摩太后書就不同
[00:02:33.000 --> 00:02:37.000]  提摩太后書好像是保羅最後的祝福
[00:02:37.000 --> 00:02:39.000]  他將他們心裡最重要的事情
[00:02:39.000 --> 00:02:42.000]  要提醒這個接班人
[00:02:42.000 --> 00:02:44.000]  所以我想今天從這個角度
[00:02:44.000 --> 00:02:47.000]  提摩太后書整個佈局
[00:02:47.000 --> 00:02:50.000]  整個發展的內容
[00:02:50.000 --> 00:02:55.000]  然後再回頭看這段經文扮演什麼角色
[00:02:55.000 --> 00:02:57.000]  提摩太后書
[00:02:57.000 --> 00:03:02.000]  這四張聖經裡每一張我選了一節聖經
[00:03:02.000 --> 00:03:05.000]  一張的十四節
[00:03:05.000 --> 00:03:07.000]  保羅對提摩太說
[00:03:07.000 --> 00:03:09.000]  從前所教託你的善道
[00:03:09.000 --> 00:03:14.000]  你要靠著那住在我們裡面的聖靈牢牢守著
[00:03:14.000 --> 00:03:18.000]  保羅開始時提醒提摩太
[00:03:18.000 --> 00:03:21.000]  要守著他曾經教導他的真道
[00:03:21.000 --> 00:03:23.000]  教導他的善道
[00:03:23.000 --> 00:03:24.000]  到第二章
[00:03:24.000 --> 00:03:27.000]  這十五節可以說是很多神學院
[00:03:27.000 --> 00:03:31.000]  包括波羅神學院在內的神學院的院訓
[00:03:31.000 --> 00:03:33.000]  所以我邀請大家一起讀一次
[00:03:33.000 --> 00:03:34.000]  提摩太后書二章十五節
[00:03:34.000 --> 00:03:35.000]  請一起讀一次
[00:03:35.000 --> 00:03:40.000]  彌當竭力在神面前不忘喜悅
[00:03:40.000 --> 00:03:42.000]  作無愧的工人
[00:03:42.000 --> 00:03:46.000]  按著他正義分解真理的道路
[00:03:46.000 --> 00:03:51.000]  作為傳道不單止第一章說要守著我們所領受的教訓
[00:03:51.000 --> 00:03:54.000]  再進一步他要教導弟兄姊妹
[00:03:54.000 --> 00:03:55.000]  怎樣教導呢?
[00:03:55.000 --> 00:03:59.000]  不是發揮他對真道的一些意見
[00:03:59.000 --> 00:04:01.000]  是要將合乎聖經
[00:04:01.000 --> 00:04:02.000]  合乎神心意
[00:04:02.000 --> 00:04:05.000]  合乎聖經作者要表達的
[00:04:05.000 --> 00:04:07.000]  按著正義分解真理的道路
[00:04:07.000 --> 00:04:09.000]  牧養弟兄姊妹
[00:04:09.000 --> 00:04:10.000]  第三章
[00:04:10.000 --> 00:04:15.000]  保羅引用一段《刺經》裏面記載的事情
[00:04:15.000 --> 00:04:18.000]  從前雅尼和長比兩個人起來
[00:04:18.000 --> 00:04:20.000]  迪黨摩西這段經文不是在舊的聖經裏面
