
[00:00:00.000 --> 00:00:05.680]  祝你們姐妹子女平安
[00:00:05.680 --> 00:00:09.520]  剛才歐穆斯提醒我
[00:00:09.520 --> 00:00:13.760]  廣恩已經21年了
[00:00:13.760 --> 00:00:17.200]  真是這麼快
[00:00:17.200 --> 00:00:20.640]  我還記得當年在這裏
[00:00:20.640 --> 00:00:25.920]  有音樂報道晚會
[00:00:25.920 --> 00:00:31.200]  沈祖堯醫生的女兒有份參加
[00:00:31.200 --> 00:00:33.200]  我的女兒也有份參加
[00:00:33.200 --> 00:00:34.800]  不過當時我們不認識
[00:00:34.800 --> 00:00:37.360]  兩個爸爸坐在後面傻乎乎的
[00:00:37.360 --> 00:00:39.360]  我們只認識周捷
[00:00:39.360 --> 00:00:41.600]  因為他做SOTY
[00:00:41.600 --> 00:00:44.000]  你可能不知道我說什麼
[00:00:44.000 --> 00:00:50.000]  你好像來拿那個BCD出來看看
[00:00:50.000 --> 00:00:57.600]  很精彩的一個聖誕音樂報道會
[00:00:57.600 --> 00:01:02.480]  感謝主在21年當中
[00:01:02.480 --> 00:01:07.280]  教會成長經歷很多
[00:01:07.280 --> 00:01:12.720]  這是神的恩典與我們同在
[00:01:12.720 --> 00:01:22.960]  我也感受到回來廣恩與回去沙宣有些分別
[00:01:22.960 --> 00:01:25.760]  如果你是來自沙宣的
[00:01:25.760 --> 00:01:28.240]  可能你會明白我在說什麼
[00:01:28.240 --> 00:01:30.640]  沙宣四堂崇拜
[00:01:30.640 --> 00:01:33.520]  我現在只能說晚堂
[00:01:33.520 --> 00:01:37.520]  所以看到的是部分弟兄姊妹
[00:01:37.520 --> 00:01:39.520]  往來很多都不認識
[00:01:39.520 --> 00:01:45.440]  但是回來廣恩真的很溫暖
[00:01:45.440 --> 00:01:49.040]  走近一半已經看到國良牧師
[00:01:49.040 --> 00:01:51.520]  進來頂姊妹問候
[00:01:51.520 --> 00:01:55.920]  我也簡單兩句
[00:01:55.920 --> 00:01:58.480]  多謝你們的代禱
[00:01:58.480 --> 00:02:04.320]  也讓你們知道2017年到現在
[00:02:04.320 --> 00:02:12.320]  快要十週年了 做了七十次化療
[00:02:12.320 --> 00:02:18.320]  也是有些累積的後遺症
[00:02:18.320 --> 00:02:23.040]  主要是水腫、手腳
[00:02:23.040 --> 00:02:27.840]  但是感恩的是過去差不多兩年
[00:02:27.840 --> 00:02:34.320]  神的恩典是意外地停止了
[00:02:34.320 --> 00:02:36.320]  沒有再做化療
[00:02:36.320 --> 00:02:40.640]  到現在為止踏入第二十二個月
[00:02:40.640 --> 00:02:44.800]  所以手的水腫消退
[00:02:44.800 --> 00:02:47.280]  現在剩下的是左腳
[00:02:47.280 --> 00:02:50.240]  我還要很小心走路
[00:02:50.240 --> 00:02:51.760]  上下樓梯
[00:02:51.760 --> 00:02:53.440]  特別下斜路
[00:02:53.440 --> 00:02:56.320]  去年一月尾我試過
[00:02:56.320 --> 00:02:58.320]  跌倒過一次
[00:02:58.320 --> 00:03:01.280]  神很有恩典
[00:03:01.280 --> 00:03:02.800]  給我這麼大的兒子
[00:03:02.800 --> 00:03:04.800]  第一次坐救傷車
[00:03:04.800 --> 00:03:06.800]  去急症室
[00:03:06.800 --> 00:03:08.800]  沒試過的
[00:03:08.800 --> 00:03:10.800]  原來這麼好的
[00:03:10.800 --> 00:03:12.800]  這麼好玩的
[00:03:12.800 --> 00:03:14.800]  去到急症室遇到一個醫生
[00:03:14.800 --> 00:03:16.800]  是忠臣的同學
[00:03:16.800 --> 00:03:18.800]  感恩
[00:03:18.800 --> 00:03:28.800]  接下來下個月頭我要再回去醫院做全身檢查
[00:03:28.800 --> 00:03:32.800]  那個PET CT的結果
[00:03:32.800 --> 00:03:36.800]  就決定和醫生商量
[00:03:36.800 --> 00:03:38.800]  接著會怎樣
[00:03:38.800 --> 00:03:42.800]  我當然拼命祈禱不用做了
[00:03:42.800 --> 00:03:48.800]  不過耶穌的禱告是甚麼
[00:03:48.800 --> 00:03:52.800]  不要照我的意思
[00:03:52.800 --> 00:03:56.800]  只要照你的意思
[00:03:56.800 --> 00:03:58.800]  多謝你們的代禱
[00:03:58.800 --> 00:04:00.800]  我很早已經分享過
[00:04:00.800 --> 00:04:02.800]  上帝和我說
[00:04:02.800 --> 00:04:04.800]  施敬我不醫好你
[00:04:04.800 --> 00:04:06.800]  行不行
[00:04:06.800 --> 00:04:08.800]  我呆了一呆
[00:04:08.800 --> 00:04:10.800]  不是醫好醫不好
[00:04:10.800 --> 00:04:12.800]  不行
[00:04:12.800 --> 00:04:14.800]  有沒有搞錯
[00:04:14.800 --> 00:04:16.800]  會的 上帝很幽默的
[00:04:16.800 --> 00:04:18.800]  所以多謝你們
[00:04:18.800 --> 00:04:28.800]  今年我們有五次崇拜
[00:04:28.800 --> 00:04:36.800]  我們會以詩篇的壓軸
[00:04:36.800 --> 00:04:40.800]  Hallelujah作為主題
[00:04:40.800 --> 00:04:44.800]  你們應該看到很大的字
[00:04:44.800 --> 00:04:48.800]  我在考時光師
[00:04:48.800 --> 00:04:52.800]  看後面很小的螢光幕
[00:04:52.800 --> 00:04:54.800]  不過不要緊
[00:04:54.800 --> 00:05:04.800]  詩篇是66卷聖經當中
[00:05:04.800 --> 00:05:08.800]  最長的一卷
[00:05:08.800 --> 00:05:10.800]  有多少張
[00:05:10.800 --> 00:05:12.800]  150篇
[00:05:12.800 --> 00:05:14.800]  真的很長
[00:05:14.800 --> 00:05:16.800]  不過其實
[00:05:16.800 --> 00:05:20.800]  詩篇也是一本詩集
[00:05:20.800 --> 00:05:22.800]  現在教會不流行
[00:05:22.800 --> 00:05:24.800]  以前我們還拿著
