
[00:00:00.000 --> 00:00:03.400]  我提過幾次了,你不用再叫我院長了
[00:00:03.400 --> 00:00:06.880]  還有我上星期在一間熟悉的教會講道
[00:00:06.880 --> 00:00:09.280]  主席說今天很高興來講道
[00:00:09.280 --> 00:00:13.400]  我上去就問,其實你是不是真的很高興我來呢?
[00:00:13.400 --> 00:00:17.200]  弟兄姊妹今天是感恩節的主日
[00:00:17.200 --> 00:00:19.520]  我相信我們都存在感恩的心
[00:00:19.520 --> 00:00:21.640]  正如剛才李牧師在祈禱裡面說
[00:00:21.640 --> 00:00:23.720]  我們都透過詩歌、透過敬拜
[00:00:23.720 --> 00:00:26.240]  來將我們感恩的心告訴上帝
[00:00:26.240 --> 00:00:29.000]  我相信上帝都透過不同的弟兄姊妹
[00:00:29.000 --> 00:00:34.200]  不同的我們在教會裡面相處的一些肢體
[00:00:34.200 --> 00:00:36.600]  來成為你生命上的祝福
[00:00:36.600 --> 00:00:42.000]  趁這個時間,有沒有一些人你想多謝上帝
[00:00:42.000 --> 00:00:47.600]  多謝上帝在你生命當中所帶來的祝福?
[00:00:47.600 --> 00:00:51.600]  有沒有?有沒有牧者你要多謝?
[00:00:51.600 --> 00:00:55.400]  有沒有一些師班人你想多謝他們
[00:00:55.400 --> 00:00:58.000]  真的要很多時間練習
[00:00:58.000 --> 00:01:00.000]  有沒有一些主學的老師
[00:01:00.000 --> 00:01:02.000]  包括你親朋好友的主學老師
[00:01:02.000 --> 00:01:03.600]  你的孫女的主學老師
[00:01:03.600 --> 00:01:05.000]  你應該多謝他們
[00:01:05.000 --> 00:01:08.000]  有沒有一些弟兄姊妹去探訪你
[00:01:08.000 --> 00:01:11.000]  你應該多謝他們?有沒有?
[00:01:11.000 --> 00:01:14.000]  有沒有?不如我們趁這個感恩主日
[00:01:14.000 --> 00:01:16.000]  我們儘管大家起來去多謝一下
[00:01:16.000 --> 00:01:18.000]  你想多謝一兩個人
[00:01:18.000 --> 00:01:19.000]  不要太久,不要太久
[00:01:19.000 --> 00:01:21.000]  因為我都要講道
[00:01:21.000 --> 00:01:23.600]  趁這個感恩主日
[00:01:23.600 --> 00:01:26.000]  大家可不可以有些行動去多謝
[00:01:26.000 --> 00:01:29.000]  上帝透過其他弟兄姊妹在你生命當中
[00:01:29.000 --> 00:01:31.000]  所做的工作?
[00:01:31.000 --> 00:01:35.000]  如果你還來得及
[00:01:35.000 --> 00:01:37.000]  或者你不方便剛才走去其他地方的話
[00:01:37.000 --> 00:01:39.000]  請你散會的時候
[00:01:39.000 --> 00:01:41.000]  除了我們想去哪裡喝茶之外
[00:01:41.000 --> 00:01:42.000]  你也要想一下
[00:01:42.000 --> 00:01:44.000]  我們這些弟兄姊妹在主裡面
[00:01:44.000 --> 00:01:47.000]  我們講一些彼此祝福彼此造就的說話
[00:01:47.000 --> 00:01:53.000]  我和大家繼續思想著聖經裏面
[00:01:53.000 --> 00:01:56.000]  掃羅的生平
[00:01:56.000 --> 00:02:00.000]  我們思想到關於他在跟從主的路上
[00:02:00.000 --> 00:02:04.000]  有些什麼地方成為我們的榜樣
[00:02:04.000 --> 00:02:06.000]  也成為我們尷尬的
[00:02:06.000 --> 00:02:10.000]  可不可以轉去頭影片
[00:02:10.000 --> 00:02:14.000]  好像還沒有出來
[00:02:14.000 --> 00:02:17.000]  可能要人幫幫忙
[00:02:17.000 --> 00:02:20.000]  不要緊,等他整理的時候
[00:02:20.000 --> 00:02:22.000]  我和大家看掃羅的生平的時候
[00:02:22.000 --> 00:02:25.000]  我們在看掃羅在第十三章
[00:02:25.000 --> 00:02:27.000]  如果大家還記得上次
[00:02:27.000 --> 00:02:31.000]  他在人生調教他人生的動機
[00:02:31.000 --> 00:02:33.000]  當群眾離開他
[00:02:33.000 --> 00:02:35.000]  當他缺乏支持的時候
[00:02:35.000 --> 00:02:38.000]  他就強行做一些上帝不喜歡做的事
[00:02:38.000 --> 00:02:39.000]  自己獻祭
[00:02:39.000 --> 00:02:41.000]  不知道大家還記不記得這段聖經
[00:02:41.000 --> 00:02:42.000]  今天我們看第十五章
[00:02:42.000 --> 00:02:44.000]  有些解謎的人告訴我們
[00:02:44.000 --> 00:02:46.000]  這段聖經距離第十三章
[00:02:46.000 --> 00:02:48.000]  雖然是兩章經文的記載
[00:02:48.000 --> 00:02:52.000]  但時間上可能是超過二十多年的時候
[00:02:52.000 --> 00:02:55.000]  但我不知道怎麼搞
[00:02:55.000 --> 00:02:57.000]  我這裡搞了
[00:02:57.000 --> 00:03:01.000]  這裡搞了
[00:03:01.000 --> 00:03:06.000]  我們還沒有連接到
[00:03:06.000 --> 00:03:08.000]  如果沒有我就這樣說
[00:03:08.000 --> 00:03:13.000]  我就這樣說
[00:03:13.000 --> 00:03:18.000]  謝謝
[00:03:18.000 --> 00:03:20.000]  我要謝謝你
[00:03:20.000 --> 00:03:22.000]  每次來都找你搞
[00:03:22.000 --> 00:03:30.000]  這次李牧師和我說原來是感恩的主人
[00:03:30.000 --> 00:03:32.000]  我也有些掙扎
