
[00:00:00.000 --> 00:00:05.600]  各位弟兄姊妹、各位朋友,你們好!
[00:00:05.600 --> 00:00:10.200]  歡迎大家參加我們三藩市報道會網上的五堂崇拜
[00:00:10.200 --> 00:00:13.400]  我們今天繼續思想啟示錄的訊息
[00:00:13.400 --> 00:00:18.200]  我們來到啟示錄第20章4-6節
[00:00:18.200 --> 00:00:20.800]  題目叫做「千禧年國道」
[00:00:20.800 --> 00:00:23.200]  在未思想這段聖經之前
[00:00:23.200 --> 00:00:25.200]  請我們同心低頭禱告
[00:00:25.200 --> 00:00:27.600]  慈悲人一天,我們滿心感謝你
[00:00:27.600 --> 00:00:30.800]  因為知道你是萬王之王、萬主之主
[00:00:30.800 --> 00:00:34.400]  你將來會降臨在這個世上審判活人死人
[00:00:34.400 --> 00:00:36.800]  並且成立千禧年的國道
[00:00:36.800 --> 00:00:39.000]  求你讓我們明白你的話語
[00:00:39.000 --> 00:00:40.800]  並且能夠好好警醒
[00:00:40.800 --> 00:00:44.000]  我們今日禱告,乃是奉耶穌基督命求
[00:00:44.000 --> 00:00:46.000]  阿們!
[00:00:46.000 --> 00:00:49.600]  天那希是美國一個很出名的牧師
[00:00:49.600 --> 00:00:52.600]  他寫了一連串的小說
[00:00:52.600 --> 00:00:56.200]  是關於耶穌基督再來末世的情況
[00:00:56.200 --> 00:00:58.800]  叫做《The Left Behind Series》
[00:00:58.800 --> 00:01:02.400]  在最後一本所謂的《大衛王國》
[00:01:02.400 --> 00:01:04.600]  《The Messianic Kingdom》
[00:01:04.600 --> 00:01:08.600]  描繪在主耶穌基督再來之後
[00:01:08.600 --> 00:01:12.000]  與這些復活的信徒
[00:01:12.000 --> 00:01:15.000]  一起統治這個世界
[00:01:15.000 --> 00:01:16.800]  一千年之久
[00:01:16.800 --> 00:01:20.600]  這一千年的階段我們稱為千禧年國道
[00:01:20.600 --> 00:01:24.200]  又稱為利塞亞王國
[00:01:24.200 --> 00:01:28.800]  他如何描繪這個時代的情況呢?
[00:01:28.800 --> 00:01:31.400]  他說在千禧年國道
[00:01:31.400 --> 00:01:33.400]  是由復活了的耶穌
[00:01:33.400 --> 00:01:36.400]  與復活了的信徒
[00:01:36.400 --> 00:01:39.200]  一起掌管這個王國
[00:01:39.200 --> 00:01:42.000]  領導這個王國除了有主耶穌
[00:01:42.000 --> 00:01:43.800]  被殺的高人之外
[00:01:43.800 --> 00:01:45.400]  還有復活了的大衛
[00:01:45.400 --> 00:01:48.200]  並且有舊約的十二長老
[00:01:48.200 --> 00:01:51.000]  新約的十二使徒附政
[00:01:51.000 --> 00:01:54.000]  他說在千禧年國道裏面
[00:01:54.000 --> 00:01:56.600]  一個人活到一百歲之前
[00:01:56.600 --> 00:01:59.400]  如果都不接受耶穌基督做他的救主
[00:01:59.400 --> 00:02:00.800]  將會入地獄
[00:02:00.800 --> 00:02:02.800]  如果他一百歲之前
[00:02:02.800 --> 00:02:04.600]  接受了耶穌基督的時候
[00:02:04.600 --> 00:02:06.400]  他就成為一個信徒
[00:02:06.400 --> 00:02:09.200]  稱為Natural Believers
[00:02:09.200 --> 00:02:13.400]  他在這個期間會重建這個聖殿
[00:02:13.400 --> 00:02:16.800]  並且設立祭司的制度
[00:02:16.800 --> 00:02:20.000]  以耶路撒冷為世界的中心
[00:02:20.000 --> 00:02:25.000]  這個祭司制度是管理聖殿祭祀的事宜
[00:02:25.000 --> 00:02:31.000]  而這個國道是管理所有的政制、宗教
[00:02:31.000 --> 00:02:35.400]  所有的文化都是歸這個國道所管理的
[00:02:35.400 --> 00:02:38.400]  這個世上是有兩種信徒的
[00:02:38.400 --> 00:02:41.400]  一種就是復活了的信徒
[00:02:41.400 --> 00:02:44.200]  就是說在耶穌未來之前
[00:02:44.200 --> 00:02:46.800]  自古以來信了耶穌
[00:02:46.800 --> 00:02:48.400]  無論是舊約也好新約也好
[00:02:48.400 --> 00:02:49.400]  信了耶穌
[00:02:49.400 --> 00:02:52.000]  當耶穌基督再來的時候
[00:02:52.000 --> 00:02:53.400]  他們就會復活了
[00:02:53.400 --> 00:02:55.600]  他們就稱為「榮耀的信徒」
[00:02:55.600 --> 00:02:58.000]  Glorified Believers
[00:02:58.000 --> 00:03:00.800]  而那些在千禧年國道信了耶穌的
[00:03:00.800 --> 00:03:03.600]  就稱為Natural Believers
[00:03:03.600 --> 00:03:06.000]  這些人都會老
[00:03:06.000 --> 00:03:07.400]  但不會死
[00:03:07.400 --> 00:03:10.200]  一直到千禧年末年的時候
[00:03:10.200 --> 00:03:11.400]  他們都不會死
[00:03:11.400 --> 00:03:13.600]  而復活了的聖信徒
[00:03:13.600 --> 00:03:16.000]  就是那些Glorified Believers
[00:03:16.000 --> 00:03:17.800]  又不會死又不會老
[00:03:17.800 --> 00:03:20.000]  但是Natural Believers就會老
[00:03:20.000 --> 00:03:21.000]  但不會死
[00:03:21.000 --> 00:03:24.000]  直到千禧年末
[00:03:24.000 --> 00:03:25.200]  乍看之下
[00:03:25.200 --> 00:03:27.800]  這個真的好像天方夜譚
[00:03:27.800 --> 00:03:29.400]  但奇怪的是
[00:03:29.400 --> 00:03:33.000]  在美國有千千萬萬的信徒
[00:03:33.000 --> 00:03:37.000]  以為天那希所說的尼塞亞王國
[00:03:37.000 --> 00:03:38.200]  不是小說
[00:03:38.200 --> 00:03:40.000]  是聖經的真理
[00:03:40.000 --> 00:03:42.200]  真的令人難以置信
[00:03:42.200 --> 00:03:43.000]  事實上
[00:03:43.000 --> 00:03:45.400]  這個所謂時代論的末世觀
[00:03:45.400 --> 00:03:48.800]  在華人教會裏更為普遍
[00:03:48.800 --> 00:03:50.400]  他們以為主宰的時候
[00:03:50.400 --> 00:03:52.000]  教會就會被提
[00:03:52.000 --> 00:03:53.800]  而且是秘密被提
[00:03:53.800 --> 00:03:56.600]  英文所謂Secret Rapture
[00:03:56.600 --> 00:03:58.400]  其後有七年的災難
[00:03:58.400 --> 00:04:01.200]  就是啟示錄所描繪的七印
[00:04:01.200 --> 00:04:03.200]  七號和七碗
[00:04:03.200 --> 00:04:06.000]  最後有所謂哈米吉多頓大戰
[00:04:06.000 --> 00:04:07.800]  敵基督被打倒
[00:04:07.800 --> 00:04:11.600]  建立了這個尼塞亞王國
[00:04:11.600 --> 00:04:14.200]  這個大衛王國
[00:04:14.200 --> 00:04:17.000]  但是一個不可思議的王國
[00:04:17.000 --> 00:04:19.000]  又稱為千禧年國度
[00:04:19.000 --> 00:04:20.400]  一千年後
[00:04:20.400 --> 00:04:22.200]  撒旦被釋放
[00:04:22.200 --> 00:04:25.200]  發生了哥格和馬國之戰
[00:04:25.200 --> 00:04:27.200]  魔鬼被打倒
[00:04:27.200 --> 00:04:29.600]  被關在火壺裏
[00:04:29.600 --> 00:04:33.000]  這些事都記載在啟示錄二十章
[00:04:33.000 --> 00:04:35.200]  一節至十五節
[00:04:35.200 --> 00:04:39.200]  究竟時代論對啟示錄的解讀
[00:04:39.200 --> 00:04:41.400]  是否正確呢?
[00:04:41.400 --> 00:04:43.400]  在基督教的教會裏
[00:04:43.400 --> 00:04:47.000]  這成為了一個爭論了二千多年的課題
[00:04:47.000 --> 00:04:50.000]  大概來說有三種不同的看法
[00:04:50.000 --> 00:04:54.000]  第一種看法就是毛千禧年派
[00:04:54.000 --> 00:04:56.000]  所謂毛千禧年派
[00:04:56.000 --> 00:04:58.400]  他們以為啟示錄第二十章
