
[00:00:00.000 --> 00:00:05.240]  大衛轉的第十五講
[00:00:05.240 --> 00:00:08.320]  我們今天要講兩章的經文
[00:00:08.320 --> 00:00:11.320]  就是撒姆爾夏的第九章
[00:00:11.320 --> 00:00:13.240]  和撒姆爾夏的第十章
[00:00:13.240 --> 00:00:16.720]  我也講過撒姆爾夏有一章的書
[00:00:16.720 --> 00:00:17.560]  我不會講
[00:00:17.560 --> 00:00:20.480]  就是撒姆爾夏的第八章
[00:00:20.480 --> 00:00:23.160]  因為是有關大衛的戰績
[00:00:23.160 --> 00:00:25.480]  沒有什麼屬靈的教導在裏面
[00:00:25.480 --> 00:00:28.480]  所以我會跳過這一章的書
[00:00:28.480 --> 00:00:31.800]  今天會講第九和第十章
[00:00:31.800 --> 00:00:36.680]  題目是別樣感性超越神的話語
[00:00:36.680 --> 00:00:39.120]  我們上次也講過
[00:00:39.120 --> 00:00:42.280]  大衛雖然是一個合神心意的人
[00:00:42.280 --> 00:00:45.480]  但他往往做事就是被他的感性
[00:00:45.480 --> 00:00:48.800]  被他的感情超越了神的話語
[00:00:48.800 --> 00:00:51.080]  今天也不例外
[00:00:51.080 --> 00:00:54.200]  我們會見到在亞門人身上
[00:00:54.200 --> 00:00:56.320]  同樣的事也發生了
[00:00:56.320 --> 00:01:00.720]  這兩章的書有兩個很重要的主題
[00:01:00.720 --> 00:01:04.000]  第一個主題就是大衛的王位
[00:01:04.000 --> 00:01:06.160]  在這章的書裏面
[00:01:06.160 --> 00:01:08.880]  大衛這個名字出現六次
[00:01:08.880 --> 00:01:11.840]  但王這個字就出現了十次
[00:01:11.840 --> 00:01:14.720]  另外有一次稱他為大衛王
[00:01:14.720 --> 00:01:17.600]  和撒姆爾夏的七章是一模一樣
[00:01:17.600 --> 00:01:20.720]  大衛被擁納為王
[00:01:20.720 --> 00:01:24.240]  現在他得到所有的數羅財富
[00:01:24.240 --> 00:01:27.760]  他喜歡怎樣運用這些財富都可以
[00:01:27.760 --> 00:01:31.200]  於是他就揀選用這些財富
[00:01:31.200 --> 00:01:34.480]  來施慈愛給他的故人
[00:01:34.480 --> 00:01:37.040]  甚至給他的敵人
[00:01:37.040 --> 00:01:41.120]  所以第二個主題就是神的慈愛
[00:01:41.120 --> 00:01:45.200]  你說大衛施慈愛
[00:01:45.200 --> 00:01:47.520]  和神的慈愛有什麼關係呢?
[00:01:47.520 --> 00:01:52.720]  我們要知道所有的慈愛都是來自神
[00:01:52.720 --> 00:01:56.880]  就好像約翰一書的四章十九節告訴我們
[00:01:56.880 --> 00:02:00.880]  是神先愛我們以至我們能夠愛人
[00:02:00.880 --> 00:02:06.800]  所以大衛只不過是將神的慈愛施給他的故人
[00:02:06.800 --> 00:02:08.800]  甚至施給他的敵人
[00:02:08.800 --> 00:02:11.680]  為什麼會說這兩章書呢?
[00:02:11.680 --> 00:02:14.160]  因為這兩章書是有連帶的關係
[00:02:14.160 --> 00:02:16.400]  首先在第九章
[00:02:16.400 --> 00:02:21.280]  大衛要將慈愛施給他故人的後人
[00:02:21.280 --> 00:02:23.280]  是第九章
[00:02:23.280 --> 00:02:24.560]  而在第十章
[00:02:24.560 --> 00:02:28.000]  他想將他的慈愛施給他的敵人
[00:02:28.000 --> 00:02:30.000]  就是亞門人
[00:02:30.000 --> 00:02:32.960]  我們來看看第一點
