
[00:00:00.000 --> 00:00:08.560]  各位早晨!很高興又來到大家當中分享神的話
[00:00:08.560 --> 00:00:13.440]  今天我選的主題就是真正的感恩
[00:00:13.440 --> 00:00:17.920]  我們這個星期快要是這個受難節
[00:00:17.920 --> 00:00:21.520]  我們紀念耶穌的死、耶穌的復活
[00:00:21.520 --> 00:00:26.160]  我想大家都思想一下這個恩典
[00:00:26.160 --> 00:00:29.920]  我唱很多歌都是關於恩典的
[00:00:29.920 --> 00:00:34.960]  什麼叫真正的感恩呢?就是感覺是恩典
[00:00:34.960 --> 00:00:37.600]  這個我們經常都很熟悉的
[00:00:37.600 --> 00:00:39.680]  這個恩典我們經常都講的
[00:00:39.680 --> 00:00:41.920]  但是我們真的是不是感覺到是恩典呢?
[00:00:41.920 --> 00:00:45.360]  這個是我想今天跟大家來分享的
[00:00:45.360 --> 00:00:49.920]  我會選《路加福音》第十七章一至十九節
[00:00:49.920 --> 00:00:52.800]  《路加福音》是四本福音書裡面
[00:00:52.800 --> 00:00:58.080]  它是最關心那些受罪、受苦的人
[00:00:58.080 --> 00:01:00.640]  那些被人看不起的人
[00:01:00.640 --> 00:01:06.400]  所以它特別是覺得恩典是很重要的
[00:01:06.400 --> 00:01:10.480]  所以我們看《路加福音》可能會更加清楚的
[00:01:10.480 --> 00:01:14.000]  《路加福音》這段經文我選了很長的
[00:01:14.000 --> 00:01:19.120]  或者我也讀一讀給大家聽
[00:01:19.120 --> 00:01:22.960]  因為它好像沒有什麼拉加的
[00:01:22.960 --> 00:01:24.800]  其實是很多段的
[00:01:24.800 --> 00:01:28.640]  不過我也想讀一次給大家聽
[00:01:28.640 --> 00:01:30.880]  耶穌有對門徒說:
[00:01:30.880 --> 00:01:35.840]  「叛島人的是面不了的,但叛島人的有和了
[00:01:35.840 --> 00:01:41.200]  就算把磨石山在這人的頸上雕在海裡
[00:01:41.200 --> 00:01:44.320]  還強如他把隻小子裡的一個叛島了。」
[00:01:44.320 --> 00:01:47.840]  這是第一段關於叛島人的事
[00:01:47.840 --> 00:01:51.280]  第二段關於饒恕人的罪
[00:01:51.280 --> 00:01:53.600]  第三節到第四節
[00:01:53.600 --> 00:01:58.000]  「你們要謹慎,若是你的弟兄得罪你,就勸戒他
[00:01:58.000 --> 00:02:00.320]  他有後悔就饒恕他
[00:02:00.320 --> 00:02:02.240]  當有他一天七次得罪你
[00:02:02.240 --> 00:02:07.840]  有七次迴轉說我後悔了,你總要饒恕他。」
[00:02:07.840 --> 00:02:11.840]  接著第五、第六節
