
[00:00:00.000 --> 00:00:04.000]  各位觀眾朋友 鄧小平安
[00:00:04.000 --> 00:00:08.000]  究竟一間教會就好像我們全福堂那樣
[00:00:08.000 --> 00:00:12.000]  和其它一些社團有什麼分別
[00:00:12.000 --> 00:00:16.000]  譬如說我們的救生同學會
[00:00:16.000 --> 00:00:20.000]  又或者是大家一起
[00:00:20.000 --> 00:00:24.000]  早上去晨運之後
[00:00:24.000 --> 00:00:28.000]  去喝下茶那些老友記 有什麼分別
[00:00:28.000 --> 00:00:32.000]  今天我們一起來想這個問題
[00:00:32.000 --> 00:00:36.000]  我講這一篇道用剛才那段聖經
[00:00:36.000 --> 00:00:40.000]  就好像我上一次講到上一個月那樣
[00:00:40.000 --> 00:00:44.000]  我心裏面有個感動 全福堂是一間
[00:00:44.000 --> 00:00:48.000]  很好的教會 坦白講 很有士氣
[00:00:48.000 --> 00:00:52.000]  人越來越多 我們的士工發展得很好
[00:00:52.000 --> 00:00:56.000]  弟兄姊妹很開心 回來我們又很好的敬拜
[00:00:56.000 --> 00:01:00.000]  這些都是好的 不過作為全福堂的
[00:01:00.000 --> 00:01:04.000]  主任教會的顧問目者
[00:01:04.000 --> 00:01:08.000]  我心裏面不是要潑冷水
[00:01:08.000 --> 00:01:12.000]  但我經常覺得我們真的要看著神自己帶我們走的方向
[00:01:12.000 --> 00:01:16.000]  我上一次上一個月和大家講過
[00:01:16.000 --> 00:01:20.000]  我在過去這四十年裏面都見過不少教會
[00:01:20.000 --> 00:01:24.000]  也參與過不少教會 有些好像全福堂一樣這麼好的 心臟都和了
[00:01:24.000 --> 00:01:28.000]  一樣彎的 可以 不是每間都彎的 每間都彎就慘了
[00:01:28.000 --> 00:01:32.000]  有彎的 即是說會有墮落的
[00:01:32.000 --> 00:01:36.000]  所以在這個時間 我更想在我們全福堂大家過得很好的時候
[00:01:36.000 --> 00:01:40.000]  我們更加要小心 因為撒旦魔鬼一定不喜歡我們
[00:01:40.000 --> 00:01:44.000]  他一定會有很多方法 所以我心裏面特別有負擔
[00:01:44.000 --> 00:01:48.000]  很想和大家一起從聖經的角度
[00:01:48.000 --> 00:01:52.000]  再一次看神的心意在一間教會是怎樣
[00:01:52.000 --> 00:01:56.000]  今天這篇講道 剛才牧師也說了
[00:01:56.000 --> 00:01:58.000]  這篇講道是不容易講的 我會很坦白地講
[00:01:58.000 --> 00:02:02.000]  我們一起看聖經的標準 好嗎?
[00:02:02.000 --> 00:02:06.000]  我們只看聖經的標準來講 就是不同凡響的教會
[00:02:06.000 --> 00:02:10.000]  不同凡響的信仰 你看我今天的大綱
[00:02:10.000 --> 00:02:14.000]  你就知道我講三樣東西 不同凡響的信仰
[00:02:14.000 --> 00:02:18.000]  我們全福堂因為是一間教會
[00:02:18.000 --> 00:02:22.000]  因為有不同凡響的信仰和其他社團是不同的
[00:02:22.000 --> 00:02:26.000]  因為我們有不同凡響的會友 你不要罵我
[00:02:26.000 --> 00:02:28.000]  很嬌織的 不同凡響的會友
[00:02:28.000 --> 00:02:32.000]  一會兒我告訴你聖經說不同凡響的會友是怎樣的會友
[00:02:32.000 --> 00:02:36.000]  就是大家 還有我們有不同凡響的教會領袖
[00:02:36.000 --> 00:02:41.000]  這樣的時候我相信就是一個神會保守帶領
[00:02:41.000 --> 00:02:46.000]  和一路可以有成長的好的教會
[00:02:46.000 --> 00:02:55.000]  剛才我們講說一個教會和一般的社團有什麼不同
[00:02:55.000 --> 00:02:59.000]  其實沒有什麼很大的不同 在某些方面
[00:02:59.000 --> 00:03:03.000]  如果從一個社會學的角度 我記得在若干年前
[00:03:03.000 --> 00:03:13.000]  我在加拿大的多倫多就參加過有人邀請我和太太去一個籌款晚會
[00:03:13.000 --> 00:03:16.000]  這個籌款晚會是一個團體舉辦的
[00:03:16.000 --> 00:03:21.000]  團體的名字叫做Bruce Trail Club
[00:03:21.000 --> 00:03:23.000]  不知道牧師記不記得
