
[00:00:00.000 --> 00:00:05.000]  今天我就坐下
[00:00:05.000 --> 00:00:08.000]  可能在場的人反而看得沒那麼清楚
[00:00:08.000 --> 00:00:11.000]  因為變了比較水平線一點
[00:00:11.000 --> 00:00:15.000]  大家晚安
[00:00:15.000 --> 00:00:21.000]  上個禮拜尤其是兩次都有出席的
[00:00:21.000 --> 00:00:23.000]  來到現場的電影節目
[00:00:23.000 --> 00:00:27.000]  我知道其實在上個禮拜也是
[00:00:27.000 --> 00:00:30.000]  今天我出來也是有些塞車的
[00:00:30.000 --> 00:00:32.000]  禮拜六也是要上班
[00:00:32.000 --> 00:00:36.000]  我們無論是線上還是線下
[00:00:36.000 --> 00:00:40.000]  我們都是一起來借這個機會
[00:00:40.000 --> 00:00:43.000]  看啟示錄
[00:00:43.000 --> 00:00:48.000]  可能是一卷我們平時沒那麼多看的書
[00:00:48.000 --> 00:00:58.000]  我很簡單的說上次最終幾個大前題
[00:00:58.000 --> 00:01:02.000]  讀啟示錄開始的時候的幾個大前題
[00:01:02.000 --> 00:01:04.000]  如果是筆記的話
[00:01:04.000 --> 00:01:08.000]  第一版大家看到手上是地圖
[00:01:08.000 --> 00:01:16.000]  在第二版就是上次所說的第一節啟示錄的場景
[00:01:16.000 --> 00:01:20.000]  上次的大前題到最後做出某些結論
[00:01:20.000 --> 00:01:25.000]  就是2.3那裡
[00:01:25.000 --> 00:01:36.000]  2.3早期教會作為啟示錄本身成書的一個場景
[00:01:36.000 --> 00:01:41.000]  我們看完是由士團轉早期教會剛剛開始的時候
[00:01:41.000 --> 00:01:46.000]  我們一直在看彼得前書覆蓋的範圍
[00:01:46.000 --> 00:01:50.000]  和啟示錄七教會覆蓋的範圍差不多
[00:01:50.000 --> 00:01:54.000]  事實上彼得前書覆蓋的範圍還大很多
[00:01:54.000 --> 00:01:58.000]  涵蓋現在大部分的土耳其
[00:01:58.000 --> 00:02:02.000]  我們看過他們所面對的問題
[00:02:02.000 --> 00:02:06.000]  就發覺早期教會第一在政治上被懷疑
[00:02:06.000 --> 00:02:12.000]  我們看士團轉保羅去到接受雷加的時候
[00:02:12.000 --> 00:02:19.000]  猶太人捏造控告保羅的罪名
[00:02:19.000 --> 00:02:23.000]  就是他們說有另外一個王
[00:02:23.000 --> 00:02:26.000]  是他們違背該殺的凌予
[00:02:26.000 --> 00:02:30.000]  這個就在士團轉第十八章有記載
[00:02:30.000 --> 00:02:37.000]  起碼在語言上教會信徒
[00:02:37.000 --> 00:02:40.000]  因為他們承認上帝國
