
[00:00:00.000 --> 00:00:07.680]  首先,很感謝李和Cindy為我們選出這麼好的歌曲
[00:00:07.680 --> 00:00:12.000]  與我們今天的政道非常有密切的關係
[00:00:12.000 --> 00:00:17.920]  我們又要繼續講羅馬書的系列
[00:00:17.920 --> 00:00:21.200]  其實我們講的是14、15章
[00:00:21.200 --> 00:00:28.160]  我們這個系列中,每一個題目都有一個白紙
[00:00:28.160 --> 00:00:33.840]  第一篇的道我說的是基督徒如何處理是非黑白
[00:00:33.840 --> 00:00:38.800]  如果一件事與真理無關,是黑白不分明的時候
[00:00:38.800 --> 00:00:40.800]  我們應該如何處理
[00:00:40.800 --> 00:00:46.480]  上一次跟大家講了基督徒如何防止逆經叛道
[00:00:46.480 --> 00:00:52.720]  這個叛不是背叛的叛,這個叛是半腳石的叛
[00:00:52.720 --> 00:00:57.840]  如何不要使到大興寺會跌倒
[00:00:57.840 --> 00:01:03.600]  今天又要和大家講基督徒如何學習慈悲為懷
[00:01:03.600 --> 00:01:05.840]  你說什麼這麼搞笑
[00:01:05.840 --> 00:01:09.760]  慈悲為懷是佛教的口頭禪
[00:01:09.760 --> 00:01:12.800]  為什麼我們基督徒都說慈悲為懷
[00:01:12.800 --> 00:01:17.920]  這個悲不是悲哀的悲,這個悲是謙悲的悲
[00:01:17.920 --> 00:01:21.440]  我們基督教是說謙悲
[00:01:21.440 --> 00:01:25.120]  剛才的經文我們讀了
[00:01:25.120 --> 00:01:28.160]  羅馬書的15章1至2節
[00:01:28.160 --> 00:01:33.360]  說我們堅固的人應該擔待不堅固人的軟弱
[00:01:33.360 --> 00:01:35.360]  不求自己的喜悅
[00:01:35.360 --> 00:01:42.160]  我們國人務要叫鄰舍喜悅使他得益處建立德行
[00:01:42.160 --> 00:01:46.720]  保羅說我們千萬不要求自己的喜悅
[00:01:46.720 --> 00:01:49.360]  我們要求鄰舍的喜悅
[00:01:49.360 --> 00:01:54.880]  如果基督徒都是為了自己的喜悅求自己的喜悅
[00:01:54.880 --> 00:01:56.880]  那就天下大亂
[00:01:56.880 --> 00:01:59.600]  保羅說我們做堅固的人
[00:01:59.600 --> 00:02:03.360]  我們要擔待不堅固人的軟弱
[00:02:03.360 --> 00:02:06.560]  什麼叫做堅固的人
[00:02:06.560 --> 00:02:10.560]  堅固的人未必是零命成熟的人
[00:02:10.560 --> 00:02:15.920]  我們以前說過堅固的人就是那些信心強的人
[00:02:15.920 --> 00:02:21.040]  他很認識聖經,他很知道自己有很多自由
[00:02:21.040 --> 00:02:23.040]  可以做很多事情
[00:02:23.040 --> 00:02:26.480]  是那些信心軟弱的人不敢做
[00:02:26.480 --> 00:02:28.480]  但是經文說
[00:02:28.480 --> 00:02:32.240]  如果你的信心是堅固,如果你的信心是堅強的話
[00:02:32.240 --> 00:02:38.960]  你應該整理自己來遷就那些信心軟弱的人
[00:02:38.960 --> 00:02:40.960]  不要為了自己的喜悅
[00:02:40.960 --> 00:02:42.960]  你要求別人的喜悅
[00:02:42.960 --> 00:02:46.160]  你說怎樣求別人的喜悅
[00:02:46.160 --> 00:02:49.120]  我們是要有愛弟兄姊妹的心
[00:02:49.120 --> 00:02:53.680]  我們是要知道對方有軟弱
[00:02:53.680 --> 00:02:55.680]  不要說我行我素
[00:02:55.680 --> 00:02:57.680]  我喜歡怎樣做就怎樣做
